|    cntr_01|	dist_x|	pang_x|	ra_01|	dec_01|	ra|	dec|	sigra|	sigdec|	sigradec|	w1mpro|	w1sigmpro|	w1snr|	w1rchi2|	w2mpro|	w2sigmpro|	w2snr|	w2rchi2|	w3mpro|	w3sigmpro|	w3snr|	w3rchi2|	w4mpro|	w4sigmpro|	w4snr|	w4rchi2|	cc_flags|	ext_flg|	var_flg|	ph_qual|	w1mag|	w1sigm|	w1flg|	w2mag|	w2sigm|	w2flg|	w3mag|	w3sigm|	w3flg|	w4mag|	w4sigm|	w4flg|	w1mag_1|	w1sigm_1|	w1flg_1|	w2mag_1|	w2sigm_1|	w2flg_1|	w3mag_1|	w3sigm_1|	w3flg_1|	w4mag_1|	w4sigm_1|	w4flg_1|	w1mag_2|	w1sigm_2|	w1flg_2|	w2mag_2|	w2sigm_2|	w2flg_2|	w3mag_2|	w3sigm_2|	w3flg_2|	w4mag_2|	w4sigm_2|	w4flg_2|	w1mag_3|	w1sigm_3|	w1flg_3|	w2mag_3|	w2sigm_3|	w2flg_3|	w3mag_3|	w3sigm_3|	w3flg_3|	w4mag_3|	w4sigm_3|	w4flg_3|	w1mag_4|	w1sigm_4|	w1flg_4|	w2mag_4|	w2sigm_4|	w2flg_4|	w3mag_4|	w3sigm_4|	w3flg_4|	w4mag_4|	w4sigm_4|	w4flg_4|	w1mag_5|	w1sigm_5|	w1flg_5|	w2mag_5|	w2sigm_5|	w2flg_5|	w3mag_5|	w3sigm_5|	w3flg_5|	w4mag_5|	w4sigm_5|	w4flg_5|	w1mag_6|	w1sigm_6|	w1flg_6|	w2mag_6|	w2sigm_6|	w2flg_6|	w3mag_6|	w3sigm_6|	w3flg_6|	w4mag_6|	w4sigm_6|	w4flg_6|	w1mag_7|	w1sigm_7|	w1flg_7|	w2mag_7|	w2sigm_7|	w2flg_7|	w3mag_7|	w3sigm_7|	w3flg_7|	w4mag_7|	w4sigm_7|	w4flg_7|	w1mag_8|	w1sigm_8|	w1flg_8|	w2mag_8|	w2sigm_8|	w2flg_8|	w3mag_8|	w3sigm_8|	w3flg_8|	w4mag_8|	w4sigm_8|	w4flg_8|	w1rsemi|	w1ba|	w1pa|	w1gmag|	w1gerr|	w1gflg|	w2rsemi|	w2ba|	w2pa|	w2gmag|	w2gerr|	w2gflg|	w3rsemi|	w3ba|	w3pa|	w3gmag|	w3gerr|	w3gflg|	w4rsemi|	w4ba|	w4pa|	w4gmag|	w4gerr|	w4gflg|
166	0.129598	-90.194494	43.0975	-8.510278	43.0974636	-8.5102779	0.0558	0.0536	-0.0069	10.566	0.022	50.4	18.629999	9.627	0.02	55	3.582	7.156	0.015	70.8	1.86	4.69	0.025	43.6	0.9117	0	5	1311	AAAA	10.556	0.006	0	9.637	0.006	0	7.146	0.006	0	4.679	0.012	1	11.298	0.006	0	10.438	0.006	0	8.587	0.007	0	5.748	0.013	1	10.817	0.006	0	9.956	0.006	0	7.971	0.006	0	5.255	0.012	1	10.595	0.006	0	9.751	0.006	0	7.629	0.006	0	4.967	0.013	1	10.478	0.006	0	9.656	0.006	0	7.43	0.006	0	4.818	0.014	1	10.408	0.006	0	9.604	0.006	0	7.312	0.006	0	4.756	0.017	1	10.359	0.006	1	9.569	0.006	1	7.243	0.006	0	4.73	0.02	1	10.321	0.006	1	9.543	0.006	1	7.2	0.007	1	4.721	0.024	1	10.289	0.006	1	9.521	0.006	1	7.17	0.007	1	4.718	0.029	1	26.14	0.31	-85	10.452	0.006	1	26.14	0.31	-85	9.693	0.006	1	26.14	0.31	-85	7.528	0.006	1	37.24	0.49	-85	4.915	0.014	1
167	0.522436	21.284572	45.017917	-10.824722	-45.0179703	10.824587	0.0586	0.057	0.0083	10.402	0.022	48.6	5.403	9.627	0.019	56.5	2.052	7.225	0.017	62.3	1.162	4.868	0.029	37.2	1.023	0	5	1100	AAAA	10.394	0.006	0	9.628	0.006	0	7.27	0.009	0	4.825	0.019	1	11.074	0.006	0	10.407	0.006	0	8.716	0.01	0	5.899	0.02	0	10.655	0.006	0	9.947	0.006	0	8.095	0.009	0	5.401	0.019	1	10.469	0.006	0	9.754	0.006	0	7.74	0.008	0	5.113	0.02	1	10.367	0.006	0	9.662	0.006	0	7.527	0.008	0	4.963	0.022	1	10.299	0.006	0	9.608	0.006	0	7.397	0.009	0	4.896	0.026	1	10.25	0.006	0	9.572	0.006	0	7.316	0.009	0	4.864	0.031	1	10.214	0.006	1	9.545	0.006	1	7.267	0.01	0	4.853	0.038	1	10.186	0.006	1	9.525	0.006	1	7.234	0.011	1	4.853	0.045	17	21.65	0.61	35	10.284	0.006	0	21.65	0.61	35	9.604	0.006	0	21.65	0.61	35	7.398	0.009	0	25.78	0.71	35	5.136	0.02	1
168	0.197415	-85.677312	69.559167	-10.795833	-69.559111	10.7958292	0.0585	0.0587	-0.0094	10.635	0.023	47.4	11.41	9.867	0.021	50.7	3.321	7.003	0.016	67.6	3.67	4.729	0.026	41	1.492	0	5	110	AAAA	10.595	0.006	0	9.858	0.006	0	6.966	0.008	0	4.635	0.021	0	11.315	0.006	0	10.656	0.006	0	8.436	0.01	0	5.747	0.022	0	10.856	0.006	0	10.177	0.006	0	7.791	0.008	0	5.211	0.021	0	10.634	0.006	0	9.962	0.006	0	7.411	0.008	0	4.895	0.021	1	10.504	0.006	0	9.85	0.006	0	7.174	0.008	0	4.726	0.023	1	10.416	0.006	0	9.78	0.006	0	7.024	0.008	0	4.646	0.027	1	10.35	0.006	0	9.73	0.006	0	6.927	0.008	0	4.605	0.033	1	10.3	0.006	0	9.694	0.006	0	6.863	0.009	0	4.581	0.039	1	10.261	0.006	0	9.667	0.006	0	6.82	0.01	0	4.569	0.046	1	17.26	0.55	30	10.542	0.006	0	17.26	0.55	30	9.893	0.006	0	17.26	0.55	30	7.258	0.008	0	23.23	0.71	30	5.027	0.021	1
169	0.404139	147.434805	79.088333	-10.561389	-79.0883948	10.5614835	0.0561	0.0547	0.0031	10.402	0.023	47.5	7.185	9.456	0.019	57.6	1.51	6.404	0.016	67.4	1.06	4.213	0.025	42.9	0.8747	d000	5	1111	AAAA	10.233	0.006	1	9.372	0.006	1	6.405	0.006	1	4.173	0.012	1	10.997	0.006	1	10.182	0.006	1	7.83	0.007	1	5.249	0.013	1	10.494	0.006	1	9.691	0.006	1	7.23	0.006	1	4.749	0.012	1	10.139	0.006	1	9.429	0.006	1	6.888	0.006	1	4.453	0.012	1	9.829	0.006	1	9.244	0.006	1	6.685	0.006	1	4.3	0.014	1	9.612	0.006	1	9.112	0.006	1	6.562	0.006	1	4.234	0.016	1	9.496	0.005	1	9.031	0.006	1	6.486	0.006	1	4.205	0.019	1	9.437	0.005	1	8.986	0.006	1	6.436	0.007	1	4.196	0.023	1	9.397	0.005	1	8.955	0.006	1	6.403	0.007	1	4.194	0.027	1	25.01	0.6	-80	9.584	0.006	1	25.01	0.6	-80	9.086	0.006	1	25.01	0.6	-80	6.507	0.006	1	29.02	0.7	-80	4.401	0.013	1
170	0.236019	69.171985	22.027917	-18.808611	-22.0279814	18.8085878	0.0574	0.0563	-0.0065	10.421	0.023	47.6	2.805	9.597	0.02	53.4	1.154	7.111	0.016	69.6	1.166	4.903	0.025	43.1	1.027	0	0	0	AAAA	10.43	0.006	0	9.597	0.006	0	7.147	0.007	0	4.868	0.015	1	11.084	0.006	0	10.364	0.006	0	8.586	0.008	0	5.937	0.016	0	10.691	0.006	0	9.916	0.006	0	7.972	0.007	0	5.444	0.015	1	10.538	0.006	0	9.741	0.006	0	7.636	0.007	0	5.162	0.016	17	10.47	0.006	0	9.668	0.006	0	7.447	0.007	0	5.022	0.018	17	10.435	0.006	0	9.633	0.006	0	7.34	0.007	0	4.964	0.022	17	10.414	0.006	1	9.613	0.006	1	7.281	0.007	0	4.94	0.026	17	10.401	0.006	1	9.601	0.006	1	7.248	0.008	1	4.933	0.031	17	10.391	0.006	1	9.593	0.006	1	7.229	0.008	1	4.929	0.037	17	10.79	0.76	45	10.62	0.006	0	10.79	0.76	45	9.835	0.006	0	10.79	0.76	45	7.819	0.007	0	16.71	0.91	45	5.483	0.015	1
171	0.543176	-130.538284	200.602083	-16.728333	-200.6019636	16.7284314	0.0437	0.0518	-0.0107	9.372	0.024	46	8.31	7.944	0.02	55	1.81	4.049	0.014	77.3	3.946	1.403	0.014	76.9	1.425	0	5	1130	AAAA	9.387	0.005	0	7.959	0.005	0	4.082	0.005	0	1.36	0.006	0	10.086	0.006	0	8.732	0.005	0	5.512	0.005	0	2.428	0.006	0	9.648	0.005	0	8.278	0.005	0	4.907	0.005	0	1.936	0.006	0	9.456	0.005	0	8.096	0.005	0	4.575	0.005	0	1.65	0.006	0	9.358	0.005	0	8.017	0.005	0	4.386	0.005	0	1.503	0.006	1	9.299	0.005	0	7.976	0.005	0	4.279	0.005	0	1.44	0.006	1	9.257	0.005	0	7.949	0.005	0	4.22	0.005	0	1.412	0.006	1	9.224	0.005	16	7.93	0.005	0	4.187	0.005	0	1.401	0.006	17	9.196	0.005	16	7.915	0.005	0	4.168	0.005	0	1.396	0.007	17	25.74	0.87	70	9.203	0.005	16	25.74	0.87	70	7.919	0.005	0	25.74	0.87	70	4.173	0.005	0	27.77	0.89	70	1.528	0.006	1
172	1.234629	-141.524637	146.9175	-30.948611	-146.9172512	30.9488796	0.0439	0.0487	-0.0192	8.571	0.022	49.8	16.41	7.552	0.02	54.6	2.03	4.249	0.014	76.9	3.118	1.642	0.01	107.8	1.459	0	5	4001	AAAA	8.595	0.005	0	7.586	0.005	0	4.279	0.005	0	1.64	0.006	1	9.266	0.005	0	8.351	0.006	0	5.7	0.005	0	2.711	0.006	1	8.856	0.005	0	7.905	0.005	0	5.104	0.005	0	2.216	0.006	1	8.686	0.005	1	7.725	0.005	1	4.775	0.005	0	1.927	0.006	1	8.604	0.005	1	7.646	0.005	1	4.588	0.005	1	1.777	0.006	1	8.556	0.005	1	7.605	0.005	1	4.482	0.005	1	1.713	0.006	1	8.522	0.005	1	7.578	0.005	1	4.424	0.005	1	1.684	0.006	1	8.497	0.005	1	7.56	0.005	1	4.392	0.005	1	1.672	0.006	1	8.477	0.005	1	7.545	0.005	1	4.373	0.005	1	1.667	0.006	1	27.64	0.63	50	8.491	0.005	1	27.64	0.63	50	7.561	0.005	1	27.64	0.63	50	4.406	0.005	1	30.48	0.69	50	1.844	0.006	1
173	0.98134	97.810503	203.97375	-34.295556	-203.9740769	34.2955926	0.053	0.0534	-0.0129	8.733	0.024	46	4.095	7.791	0.021	52.5	1.682	4.942	0.016	69.5	1.708	2.62	0.018	59.7	0.9437	0	5	9420	AAAA	8.748	0.005	0	7.805	0.005	0	4.956	0.005	0	2.622	0.006	1	9.416	0.005	0	8.578	0.005	0	6.379	0.006	0	3.691	0.006	1	9.009	0.005	0	8.124	0.005	0	5.781	0.005	0	3.198	0.006	1	8.846	0.005	0	7.944	0.005	0	5.456	0.005	0	2.913	0.006	1	8.77	0.005	0	7.868	0.005	0	5.274	0.005	0	2.766	0.006	1	8.731	0.005	1	7.83	0.005	1	5.174	0.005	0	2.705	0.006	1	8.706	0.005	1	7.807	0.005	1	5.119	0.005	1	2.679	0.007	1	8.689	0.005	1	7.792	0.005	1	5.089	0.006	1	2.67	0.007	1	8.675	0.005	1	7.781	0.005	1	5.071	0.006	1	2.668	0.008	1	22.99	0.58	-65	8.725	0.005	0	22.99	0.58	-65	7.83	0.005	0	22.99	0.58	-65	5.184	0.005	0	26.67	0.67	-65	2.946	0.006	1
174	0.345672	138.838193	16.361667	-42.216111	-16.361752	42.2161834	0.0558	0.0531	-0.004	10.941	0.022	48.3	24.85	10.423	0.02	54.2	8.786	7.063	0.015	71.1	1.821	4.329	0.02	53.3	1.073	0	5	9000	AAAA	10.94	0.006	0	10.42	0.006	0	7.076	0.006	0	4.333	0.013	1	11.701	0.006	0	11.246	0.007	0	8.508	0.007	0	5.398	0.013	1	11.201	0.006	0	10.739	0.006	0	7.901	0.006	0	4.909	0.013	1	10.963	0.006	1	10.51	0.006	1	7.57	0.006	0	4.627	0.013	1	10.838	0.006	1	10.398	0.006	1	7.384	0.006	1	4.485	0.015	1	10.769	0.006	1	10.337	0.006	1	7.28	0.007	1	4.427	0.017	1	10.726	0.006	1	10.301	0.006	1	7.223	0.007	1	4.399	0.021	1	10.697	0.006	1	10.279	0.007	1	7.192	0.007	1	4.393	0.025	1	10.679	0.006	1	10.265	0.007	1	7.176	0.008	1	4.395	0.03	1	19.5	0.53	-75	10.808	0.006	1	19.5	0.53	-75	10.385	0.006	1	19.5	0.53	-75	7.408	0.006	1	25.16	0.68	-75	4.699	0.013	1
175	0.496197	-100.703855	49.259167	1.255	49.2590312	1.2549744	0.0502	0.0568	0.0097	10.143	0.022	48.3	3.906	9.263	0.019	58.4	1.417	6.307	0.013	80.7	1.935	4.02	0.023	47.8	1.114	0	5	nnnn	AAAA	10.191	0.006	1	9.298	0.006	1	6.316	0.006	1	3.969	0.014	1	10.873	0.006	1	10.073	0.006	1	7.739	0.006	1	5.03	0.014	1	10.452	0.006	1	9.617	0.006	1	7.141	0.006	1	4.545	0.014	1	10.279	0.006	1	9.432	0.006	1	6.815	0.006	1	4.263	0.014	1	10.2	0.006	1	9.354	0.006	1	6.632	0.006	1	4.12	0.016	1	10.157	0.006	1	9.315	0.006	1	6.53	0.006	1	4.067	0.019	1	10.131	0.006	1	9.292	0.006	1	6.474	0.006	1	4.051	0.023	1	10.112	0.006	1	9.277	0.006	1	6.442	0.006	1	4.053	0.028	17	10.098	0.006	1	9.267	0.006	1	6.423	0.007	1	4.063	0.034	17	16.49	0.47	5	10.286	0.006	1	16.49	0.47	5	9.456	0.006	1	16.49	0.47	5	6.851	0.006	1	24.22	0.68	5	4.367	0.014	1
176	1.056019	110.846438	340.070833	8.053889	340.0711102	8.0537845	0.0523	0.0503	-0.0085	10.174	0.023	46.4	5.525	9.483	0.019	55.9	2.244	6.413	0.015	72.1	2.2	3.787	0.018	61.7	0.861	0	5	1100	AAAA	10.186	0.006	0	9.492	0.006	0	6.427	0.006	0	3.798	0.009	1	10.868	0.006	0	10.276	0.006	0	7.861	0.007	0	4.866	0.01	1	10.447	0.006	0	9.811	0.006	0	7.252	0.006	0	4.374	0.009	1	10.269	0.006	0	9.62	0.006	0	6.919	0.006	0	4.093	0.01	1	10.179	0.006	1	9.535	0.006	1	6.731	0.006	1	3.95	0.011	1	10.123	0.006	1	9.489	0.006	1	6.623	0.006	1	3.89	0.012	1	10.081	0.006	1	9.457	0.006	1	6.56	0.007	1	3.864	0.014	1	10.046	0.006	1	9.432	0.006	1	6.522	0.007	1	3.857	0.017	1	10.016	0.006	1	9.41	0.006	1	6.499	0.007	1	3.856	0.02	1	19.18	0.82	-80	10.107	0.006	1	19.18	0.82	-80	9.477	0.006	1	19.18	0.82	-80	6.603	0.006	1	22.06	0.87	-80	4.154	0.01	1
177	0.181909	-79.240572	121.193333	10.776667	121.1932828	10.7766761	0.0582	0.0581	0.0051	10.719	0.024	45.8	26.01	10.168	0.02	55.3	7.662	7.271	0.015	71.4	6.331	5.2	0.031	35.5	1.065	0	5	2011	AAAA	10.713	0.006	0	10.166	0.006	0	7.214	0.009	0	5.132	0.03	1	11.496	0.006	0	11.003	0.007	0	8.688	0.011	0	6.221	0.033	1	10.974	0.006	0	10.485	0.006	0	8.039	0.009	0	5.708	0.03	1	10.713	0.006	0	10.24	0.006	0	7.669	0.009	0	5.413	0.032	1	10.566	0.006	0	10.112	0.007	0	7.449	0.009	0	5.259	0.036	1	10.473	0.006	1	10.035	0.007	1	7.316	0.009	0	5.188	0.043	1	10.408	0.006	1	9.982	0.007	1	7.235	0.01	1	5.156	0.051	1	10.356	0.006	1	9.941	0.007	1	7.185	0.01	1	5.148	0.062	1	10.306	0.006	1	9.904	0.008	1	7.151	0.011	1	5.143	0.074	1	19.86	0.48	25	10.563	0.006	1	19.86	0.48	25	10.12	0.007	1	19.86	0.48	25	7.478	0.009	1	26.37	0.64	25	5.477	0.032	1
178	0.305112	52.608866	335.9375	11.835833	335.9375688	11.8358848	0.0608	0.0616	-0.0144	11.205	0.024	46.1	9.321	10.573	0.022	50	3.195	7.216	0.017	62.8	2.032	4.652	0.029	37.6	1.281	0	5	11nn	AAAA	11.228	0.006	0	10.578	0.007	0	7.257	0.01	0	4.626	0.027	1	11.942	0.006	0	11.376	0.008	0	8.695	0.012	0	5.689	0.028	1	11.489	0.006	0	10.897	0.007	0	8.082	0.01	0	5.202	0.027	1	11.285	0.006	0	10.69	0.007	0	7.739	0.01	0	4.925	0.029	1	11.18	0.006	0	10.59	0.007	0	7.541	0.01	0	4.783	0.033	1	11.119	0.006	1	10.533	0.008	1	7.427	0.01	1	4.723	0.039	1	11.08	0.006	1	10.496	0.008	1	7.362	0.011	1	4.695	0.047	1	11.054	0.006	1	10.467	0.009	1	7.323	0.012	1	4.678	0.057	1	11.034	0.007	1	10.445	0.009	1	7.298	0.013	1	4.668	0.067	1	15.05	0.62	-25	11.243	0.006	0	15.05	0.62	-25	10.659	0.007	0	15.05	0.62	-25	7.688	0.01	0	20.79	0.77	-25	5.095	0.027	1
179	0.296756	-176.369512	140.929167	22.909167	140.929161	22.9090844	0.053	0.0553	-0.0106	9.815	0.023	46.5	2.903	8.966	0.02	53.4	1.271	6.206	0.015	70.1	1.053	3.998	0.021	52.1	0.8122	0	4	11	AAAA	9.805	0.006	0	8.963	0.006	0	6.208	0.006	0	3.989	0.01	1	10.469	0.006	0	9.735	0.006	0	7.633	0.006	0	5.057	0.01	1	10.066	0.006	0	9.282	0.006	0	7.033	0.006	0	4.565	0.01	1	9.9	0.006	0	9.101	0.006	0	6.702	0.006	0	4.277	0.01	1	9.817	0.006	0	9.021	0.006	0	6.513	0.006	0	4.126	0.011	1	9.768	0.006	1	8.979	0.006	1	6.408	0.006	1	4.06	0.013	1	9.734	0.006	1	8.952	0.006	1	6.348	0.006	1	4.031	0.015	1	9.706	0.006	1	8.931	0.006	1	6.314	0.006	1	4.018	0.017	1	9.679	0.006	1	8.913	0.006	1	6.292	0.006	1	4.009	0.02	1	20.68	0.66	-5	9.757	0.006	1	20.68	0.66	-5	8.975	0.006	1	20.68	0.66	-5	6.412	0.006	1	24.24	0.76	-5	4.326	0.01	1
180	0.412709	-58.578091	307.14625	25.733333	307.1461414	25.7333931	0.0559	0.054	-0.0102	9.689	0.023	47	43.380001	9.032	0.021	52.9	21.98	4.901	0.015	74	38.139999	2.675	0.021	51.9	7.836	0	5	9190	AAAA	9.681	0.006	0	9.044	0.006	0	5.015	0.006	0	2.689	0.006	1	10.479	0.006	0	9.902	0.006	0	6.501	0.006	0	3.791	0.006	0	9.942	0.006	0	9.363	0.006	0	5.84	0.006	0	3.265	0.006	1	9.679	0.006	0	9.109	0.006	0	5.469	0.006	0	2.974	0.006	1	9.538	0.006	0	8.983	0.006	0	5.257	0.006	0	2.821	0.006	1	9.453	0.006	0	8.913	0.006	0	5.135	0.006	0	2.752	0.006	1	9.396	0.006	0	8.869	0.006	0	5.065	0.006	0	2.721	0.007	1	9.354	0.006	1	8.84	0.006	1	5.025	0.006	1	2.708	0.007	1	9.32	0.006	1	8.817	0.006	1	5.001	0.006	1	2.703	0.008	1	29.4	0.48	70	9.35	0.006	1	29.4	0.48	70	8.846	0.006	1	29.4	0.48	70	5.077	0.006	1	33.88	0.57	70	2.902	0.006	1
181	0.357968	138.340318	12.895833	29.401389	12.8959092	29.4013146	0.029	0.0287	-0.0009	10.783	0.023	46.5	10.6	10.36	0.021	52.7	4.144	7.283	0.015	72.4	3.317	4.784	0.026	41.8	1.206	0	5	5322	AAAA	10.768	0.006	0	10.351	0.006	0	7.241	0.008	0	4.697	0.016	1	11.484	0.006	0	11.161	0.007	0	8.711	0.01	0	5.821	0.017	1	11.029	0.006	0	10.67	0.006	0	8.066	0.008	0	5.273	0.016	1	10.814	0.006	0	10.445	0.006	0	7.692	0.008	0	4.941	0.016	1	10.686	0.006	0	10.32	0.006	0	7.457	0.008	0	4.755	0.017	1	10.587	0.006	0	10.229	0.007	0	7.296	0.008	0	4.662	0.02	1	10.488	0.006	1	10.141	0.007	1	7.174	0.008	1	4.611	0.023	1	10.364	0.006	1	10.036	0.007	1	7.076	0.008	1	4.585	0.027	1	10.198	0.006	1	9.906	0.007	1	6.997	0.009	1	4.573	0.032	1	17.61	0.62	-60	10.675	0.006	0	17.61	0.62	-60	10.314	0.006	0	17.61	0.62	-60	7.459	0.008	0	23.11	0.78	-60	5.029	0.016	1
182	0.622363	53.02158	177.19125	29.641111	177.1914089	29.6412151	0.0547	0.0556	-0.0055	10.24	0.022	50	8.929	9.521	0.021	51.9	2.435	6.993	0.015	71.3	1.992	4.544	0.024	44.9	0.844	0	5	110	AAAA	10.279	0.006	0	9.557	0.006	0	7.01	0.009	0	4.55	0.017	1	10.971	0.006	0	10.341	0.006	0	8.437	0.01	0	5.609	0.018	1	10.54	0.006	0	9.876	0.006	0	7.835	0.009	0	5.126	0.017	1	10.357	0.006	0	9.684	0.006	0	7.506	0.009	0	4.85	0.018	1	10.268	0.006	0	9.598	0.006	0	7.32	0.009	0	4.71	0.02	1	10.217	0.006	0	9.554	0.006	0	7.216	0.009	0	4.652	0.024	1	10.186	0.006	1	9.527	0.006	1	7.158	0.01	1	4.621	0.029	1	10.166	0.006	1	9.509	0.006	1	7.127	0.011	1	4.602	0.034	17	10.151	0.006	1	9.497	0.006	1	7.108	0.012	1	4.594	0.04	17	19.1	0.56	10	10.256	0.006	0	19.1	0.56	10	9.597	0.006	0	19.1	0.56	10	7.33	0.009	0	24.64	0.71	10	4.911	0.017	1
183	0.760619	-53.817309	108.51625	35.279167	108.5160411	35.2792914	0.0534	0.0546	-0.0152	9.434	0.022	48.8	3.548	8.55	0.021	50.8	1.034	5.32	0.015	73.5	1.344	3.022	0.02	54.6	0.7332	0h00	5	0	AAAA	9.438	0.006	0	8.557	0.006	0	5.373	0.006	0	2.997	0.007	1	10.112	0.006	0	9.33	0.006	0	6.802	0.006	0	4.063	0.007	1	9.698	0.006	0	8.876	0.006	0	6.198	0.006	0	3.573	0.007	1	9.529	0.006	0	8.694	0.006	0	5.868	0.006	0	3.289	0.007	1	9.447	0.006	0	8.615	0.006	0	5.682	0.006	0	3.143	0.007	1	9.4	0.006	1	8.573	0.006	1	5.579	0.006	0	3.08	0.008	1	9.367	0.006	1	8.547	0.006	1	5.522	0.006	1	3.051	0.008	1	9.336	0.006	1	8.524	0.006	1	5.49	0.006	1	3.04	0.009	1	9.3	0.006	1	8.502	0.006	1	5.47	0.006	1	3.037	0.011	1	18.98	0.73	75	9.403	0.006	1	18.98	0.73	75	8.578	0.006	1	18.98	0.73	75	5.598	0.006	1	22.33	0.81	75	3.378	0.007	1
184	0.450818	-40.312584	161.204167	38.181111	161.2040636	38.1812066	0.0597	0.059	-0.004	10.985	0.022	49.4	41.970001	10.554	0.02	53.4	14.13	7.584	0.016	67.9	11.24	5.554	0.033	33.4	1.228	0	5	2100	AAAA	10.878	0.006	0	10.489	0.007	0	7.468	0.009	0	5.466	0.046	17	11.665	0.006	0	11.349	0.008	0	8.952	0.01	0	6.555	0.049	16	11.139	0.006	0	10.808	0.007	0	8.293	0.009	0	6.042	0.046	17	10.872	0.006	0	10.543	0.007	0	7.916	0.008	0	5.759	0.048	17	10.725	0.006	0	10.403	0.007	0	7.697	0.008	0	5.611	0.055	17	10.638	0.006	0	10.325	0.007	0	7.569	0.008	0	5.545	0.066	17	10.583	0.006	0	10.279	0.007	0	7.495	0.009	0	5.522	0.08	17	10.547	0.006	1	10.251	0.008	1	7.451	0.009	1	5.525	0.098	17	10.522	0.006	1	10.234	0.008	1	7.423	0.01	1	5.536	0.119	17	28.05	0.35	-85	10.598	0.006	0	28.05	0.35	-85	10.315	0.007	0	28.05	0.35	-85	7.645	0.009	0	37.08	0.52	-85	5.685	0.056	17
185	0.49699	-123.734311	336.774167	36.361667	336.7740241	36.36159	0.0642	0.0615	0.0026	10.556	0.022	50.1	22.459999	10.352	0.02	53	8.467	8.007	0.018	59.4	1.734	5.688	0.038	28.6	0.8485	0	5	1100	AAAA	10.547	0.006	0	10.35	0.007	0	7.896	0.01	0	5.582	0.034	1	11.323	0.006	0	11.211	0.008	0	9.373	0.012	0	6.689	0.037	1	10.808	0.006	0	10.669	0.007	0	8.721	0.01	0	6.158	0.034	1	10.535	0.006	1	10.39	0.007	1	8.327	0.009	1	5.848	0.035	1	10.365	0.006	1	10.224	0.007	1	8.07	0.009	1	5.682	0.039	1	10.245	0.006	1	10.111	0.007	1	7.892	0.009	1	5.593	0.046	1	10.16	0.006	1	10.031	0.007	1	7.767	0.009	1	5.541	0.054	1	10.096	0.006	1	9.973	0.008	1	7.679	0.01	1	5.516	0.065	1	10.045	0.006	1	9.926	0.008	1	7.616	0.01	1	5.504	0.077	1	27.89	0.68	85	10.069	0.006	1	27.89	0.68	85	9.95	0.008	1	27.89	0.68	85	7.643	0.01	1	30.46	0.74	85	5.715	0.038	1
186	0.256184	161.908983	88.723333	46.439444	88.7233654	46.4393768	0.0483	0.0427	-0.0116	8.264	0.023	47.1	3.869	7.281	0.021	50.8	4.703	4.384	0.014	79.5	7.308	1.745	0.013	84.9	1.505	0	5	120	AAAA	8.282	0.005	0	7.334	0.005	0	4.424	0.006	0	1.738	0.006	0	8.946	0.006	0	8.118	0.006	0	5.857	0.006	0	2.812	0.006	0	8.543	0.005	0	7.653	0.005	0	5.249	0.006	0	2.314	0.006	0	8.384	0.005	0	7.466	0.005	0	4.914	0.005	0	2.023	0.006	0	8.309	0.005	0	7.387	0.005	0	4.722	0.006	0	1.87	0.006	17	8.263	0.005	0	7.345	0.005	0	4.612	0.006	0	1.801	0.006	17	8.228	0.006	0	7.318	0.005	0	4.548	0.006	0	1.766	0.006	17	8.199	0.006	0	7.297	0.005	0	4.508	0.006	0	1.75	0.006	17	8.173	0.006	0	7.279	0.006	0	4.48	0.006	0	1.742	0.007	17	54.88	0.51	0	8.057	0.006	1	54.88	0.51	0	7.21	0.006	1	54.88	0.51	0	4.368	0.006	1	60.5	0.59	0	1.721	0.006	17
187	0.724804	129.369624	133.802083	64.396111	133.8024435	64.3959834	0.0617	0.06	-0.0052	11.046	0.024	45.4	8.978	10.234	0.02	53.7	2.284	7.753	0.017	64.7	1.576	5.657	0.031	35	1.024	0	5	110	AAAA	11.075	0.006	0	10.236	0.006	0	7.744	0.008	0	5.671	0.04	1	11.788	0.006	0	11.028	0.006	0	9.187	0.01	0	6.733	0.041	1	11.336	0.006	0	10.555	0.006	0	8.569	0.008	0	6.247	0.04	1	11.132	0.006	0	10.354	0.006	0	8.224	0.008	0	5.964	0.042	1	11.026	0.006	0	10.26	0.006	0	8.022	0.008	0	5.823	0.048	1	10.967	0.006	1	10.207	0.006	1	7.905	0.008	1	5.774	0.058	1	10.93	0.006	1	10.176	0.006	1	7.835	0.009	1	5.763	0.071	1	10.905	0.006	1	10.155	0.007	1	7.793	0.01	1	5.772	0.087	1	10.885	0.006	1	10.138	0.007	1	7.764	0.011	1	5.792	0.107	1	17	0.52	50	11.08	0.006	0	17	0.52	50	10.324	0.006	0	17	0.52	50	8.151	0.008	0	24.25	0.72	50	6.03	0.041	1
