Name	W1	W1_err	W2	W2_err	W3	W3_err	W4	W4_err	Point/Extended
IC5063	0.11943092	0.00066	0.147774697	0.000816633	0.834647145	0.003843692	2.833753678	0.018269885	Extended
IGRJ11366-6002	0.031211654	0.000258723	0.024751418	0.000136781	0.050992102	0.001080206	0.13401768	0.003085871	Extended
IGRJ23308+7120	0.00952175	5.26E-05	0.007158138	3.96E-05	0.020984707	0.000193276	0.03203038	0.000678525	Extended
IISZ010	0.010732892	0.000217478	0.017298167	0.000334576	0.063959184	0.00082472	0.13866348	0.002809703	Point
IIZw083	0.052325909	0.001060267	0.075023976	0.001312893	0.316448406	0.004371896	0.85263292	0.016491383	Point
IRAS03219+4031	0.003329023	8.28E-05	0.003003309	6.92E-05	0.028385916	0.000470599	0.167633996	0.003705519	Point
IRAS04124-0803	0.044865941	0.000909107	0.067795377	0.001248837	0.213355043	0.002751102	0.482571975	0.009333769	Point
IRAS05078+1626	0.036603008	0.00077539	0.054903506	0.001061928	0.25392351	0.003274211	0.989833383	0.016410064	Point
IRAS05218-1212	null	null	null	null	null	null	null	null	null
IRAS05589+2828	0.076827514	0.001627497	0.106169575	0.00185793	0.235886405	0.003258891	0.548481643	0.008082724	Point
KAZ320	0.016289838	0.000360084	0.023014422	0.000445138	0.065751083	0.000968944	0.160976358	0.003706618	Point
KUG1141+371	0.007283108	4.02E-05	0.006234478	4.02E-05	0.011176425	0.000144114	0.019767971	0.000892142	Extended
KUG1208+386	0.030027334	0.000165937	0.032329581	0.00017866	0.047239241	0.000304563	0.083553009	0.001077372	Extended
LCRSB034324.7-394349	0.027945815	0.000128695	0.033604704	0.000154755	0.048428711	0.000267627	0.064322379	0.000710917	Extended
LCRSB232242.2-384320	0.012402715	6.85E-05	0.009817481	6.33E-05	0.028203494	0.000181835	0.039044701	0.000863076	Extended
LEDA138501	null	null	null	null	null	null	null	null	null
LEDA170194	0.015343229	8.48E-05	0.014927947	9.62E-05	0.040766452	0.000262831	0.077403767	0.001140664	Extended
LEDA214543	0.017247128	9.53E-05	0.018672397	0.000103187	0.018531173	0.000221882	0.037321758	0.001065613	Extended
LEDA38038	0.085805826	0.00039515	0.102707008	0.000472983	0.210621602	0.000969948	0.592055059	0.003271817	Extended
M106	1.819352192	0.031838021	1.079443901	0.018889887	1.863386361	0.013729938	2.354843755	0.03470226	Extended
MCG-01-05-047	0.066913967	0.00036978	0.052722995	0.000291358	0.138389427	0.000764768	0.276160841	0.003560949	Extended
MCG-01-09-045	0.02002243	0.000110648	0.012566087	9.26E-05	0.010881854	0.000220496	0.012256377	0.001591684	Extended
MCG-01-13-025	0.039365591	0.000217542	0.032568674	0.000179981	0.031528471	0.000348466	0.04707194	0.001300646	Extended
MCG-01-24-012	0.012679928	7.01E-05	0.018163523	0.000100375	0.064018119	0.000353777	0.208334933	0.001343185	Extended
MCG-01-30-041	0.023158839	0.00012798	0.019408862	0.000107257	0.055963248	0.000360808	0.145868695	0.002283951	Extended
MCG-01-33-063	0.011899173	6.58E-05	0.007277799	5.36E-05	0.020620677	0.000208916	0.039587866	0.001494933	Extended
MCG-01-40-001	0.027791807	0.000153583	0.019373143	0.000142747	0.074593831	0.000480924	0.285208258	0.002626865	Extended
MCG-02-02-095	0.004807472	3.10E-05	0.003209224	2.96E-05	0.009408121	0.000129978	0.0324162	0.000925549	Extended
MCG-02-08-014	0.020413467	0.000112809	0.022803425	0.000126016	0.030867603	0.000170581	0.090440321	0.001166181	Extended
MCG-02-08-038	0.023829601	0.000131687	0.024751418	0.000136781	0.034793884	0.000288417	0.073783983	0.001359151	Extended
MCG-02-12-050	0.018789567	0.000103835	0.018967063	0.000104816	0.039582472	0.000291654	0.081575942	0.001577819	Extended
MCG-02-14-009	0.045406369	0.000250925	0.039884126	0.000220408	0.079050189	0.000436847	0.145198489	0.001738526	Extended
MCG-03-04-072	0.021004714	0.000444959	0.024911511	0.000458887	0.045321358	0.00066788	0.091445449	0.002105609	Point
MCG-03-34-064	0.064493624	0.000297004	0.116842295	0.000538079	0.67842667	0.00312427	2.047208598	0.011313293	Extended
MCG-05-23-016	0.124255831	0.000572219	0.162480062	0.000748248	0.54739763	0.002520859	1.530248973	0.008456468	Extended
MCG-06-30-015	0.100165181	0.000461278	0.1268236	0.000584044	0.267363989	0.001231257	0.55457731	0.003064707	Extended
MCG-07-03-007	0.014706752	8.13E-05	0.012055912	6.66E-05	0.034474892	0.000190515	0.110347398	0.001321238	Extended
MCG+00-09-042	0.023785746	0.000131445	0.028366129	0.000156757	0.057584144	0.000318222	0.149817345	0.001931816	Extended
MCG+01-57-016	0.028048961	0.000155004	0.027822752	0.000153754	0.072360725	0.00039988	0.182289686	0.00167895	Extended
MCG+02-21-013	0.018429637	0.000101846	0.015388634	9.92E-05	0.032322349	0.00026793	0.05389669	0.001588502	Extended
MCG+02-57-002	0.009851827	5.44E-05	0.00936699	6.04E-05	0.02663808	0.000245346	0.07662352	0.001905467	Extended
MCG+04-22-042	0.038718344	0.000213965	0.044177392	0.000244133	0.086278565	0.000476793	0.155582984	0.001432972	Extended
MCG+04-48-002	0.05632702	0.000311275	0.049750801	0.000274933	0.295054955	0.001630534	0.577513441	0.003191457	Extended
MCG+05-03-013	0.016623282	9.19E-05	0.012870638	7.11E-05	0.032892957	0.000242364	0.081425812	0.001199935	Extended
MCG+05-28-032	0.024452135	0.000135127	0.024911511	0.000137666	0.037042724	0.000307058	0.09077413	0.001421303	Extended
MCG+06-16-028	0.05364346	0.000296445	0.063679563	0.000351906	0.182600899	0.00100909	0.372530724	0.002401794	Extended
MCG+06-24-008	0.017845009	9.86E-05	0.012858789	8.29E-05	0.027714236	0.000229732	0.044500214	0.002295228	Extended
MCG+06-49-019	0.029048036	0.000160525	0.017996998	0.000132607	0.027765335	0.000255728	0.043287459	0.00151503	Extended
MCG+08-11-011	0.185317647	0.001024103	0.224491591	0.001240586	0.566895373	0.00313278	1.713807728	0.009470852	Extended
MCG+11-11-032	0.011447661	6.33E-05	0.012752639	7.05E-05	0.017390133	0.000128135	0.032386357	0.001222986	Extended
MCG+12-10-067	0.019875441	0.000109836	0.020436197	0.000112935	0.071367899	0.000394394	0.165944207	0.001834083	Extended
Mrk10	0.030811779	0.000170272	0.026521622	0.000146564	0.069807633	0.000450066	0.152884021	0.001548925	Extended
Mrk1018	0.029779457	0.000164567	0.031419558	0.000173631	0.042491583	0.000273953	0.063206552	0.001397169	Extended
Mrk1210	0.033660207	0.000186013	0.060589878	0.000334832	0.346978777	0.001597896	1.181305149	0.006528134	Extended
