cntr_01	dist_x	pang_x	ra_01	dec_01	designation	ra	dec	w1mpro	w1sigmpro	w1snr	w1rchi2	w2mpro	w2sigmpro	w2snr	w2rchi2	w3mpro	w3sigmpro	w3snr	w3rchi2	w4mpro	w4sigmpro	w4snr	w4rchi2	ext_flg	w1rsemi	w1ba	w1pa	w1gmag	w1gerr	w1gflg	w2rsemi	w2ba	w2pa	w2gmag	w2gerr	w2gflg	w3rsemi	w3ba	w3pa	w3gmag	w3gerr	w3gflg	w4rsemi	w4ba	w4pa	w4gmag	w4gerr	w4gflg
131	0.645284	-16.437075	224.421667	-43.132222	J145741.18-430755.3	224.4215972	-43.1320503	10.01	0.023	47.1	13.27	8.782	0.022	49.5	1.906	5.303	0.014	75.9	3.177	2.347	0.017	63.4	0.8313	3	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
132	0.338323	-22.267839	276.080833	-56.369167	J182419.38-562208.6	276.080769	-56.3690797	10.567	0.022	50.3	25.450001	9.693	0.02	55.5	5.461	6.548	0.016	68.1	2.675	3.919	0.022	49.9	1.029	5	29.9	0.43	5	10.172	0.006	1	29.9	0.43	5	9.533	0.006	1	29.9	0.43	5	6.634	0.006	1	35.61	0.55	5	4.112	0.011	1
133	0.713298	40.08675	313.009583	-57.068889	J205202.35-570407.4	313.009818	-57.0687373	9.208	0.023	48.1	21.610001	7.896	0.021	52.4	3.403	3.888	0.016	69.7	2.905	1.099	0.012	91.1	1.348	5	41.07	0.85	-60	8.534	0.006	1	41.07	0.85	-60	7.664	0.006	1	41.07	0.85	-60	3.948	0.005	1	42.73	0.87	-60	1.175	0.007	1
134	0.87025	27.848405	174.175	-60.051944	J113642.05-600306.2	174.1752262	-60.0517307	10.504	0.022	48.3	13.37	9.923	0.019	56.5	4.236	6.798	0.015	71.4	1.465	4.178	0.021	52.7	0.872	5	22.89	0.51	60	9.991	0.009	1	22.89	0.51	60	9.604	0.006	1	22.89	0.51	60	6.983	0.023	1	27.63	0.64	60	4.488	0.025	1
135	0.599908	-3.328294	352.657083	71.379444	J233037.69+712246.5	352.657053	71.3796108	11.48	0.023	46.4	12.04	11.119	0.021	52.8	3.557	7.95	0.019	56.7	2.461	5.636	0.032	33.7	1.164	5	14.51	0.94	-65	11.28	0.006	1	14.51	0.94	-65	10.951	0.006	1	14.51	0.94	-65	7.947	0.01	1	17.74	0.97	-65	6.042	0.023	17
136	0.451333	-148.216176	198.274167	-11.128333	J131305.78-110742.3	198.2740994	-11.1284399	11.15	0.022	49.3	1.83	9.993	0.021	52.1	1.292	6.737	0.014	75.5	1.369	4.451	0.022	49.2	0.8384	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
137	0.730811	-179.689779	306.732917	-2.2775	J202655.89-021639.7	306.7329156	-2.277703	9.43	0.022	48.4	13.28	8.4	0.019	57.3	2.704	5.001	0.015	70.7	3.448	2.479	0.021	52.4	0.8903	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
138	3.517493	-125.782216	51.305	40.698611	J032512.94+404152.9	51.3039545	40.6980398	12.421	0.027	40.6	3.328	11.894	0.025	43.7	1.915	7.619	0.018	61.7	1.372	4.245	0.024	44.8	0.9486	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
139	0.7691	-62.157654	63.719583	-7.927778	J041452.65-075539.6	63.7193926	-7.927678	9.597	0.022	48.6	0.939	8.51	0.02	54.9	0.9216	5.429	0.014	77.8	1.546	3.097	0.021	51.6	0.833	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
140	2.261729	12.773344	77.689583	16.498889	J051045.53+162958.2	77.6897282	16.4995016	9.818	0.023	47.3	1.609	8.739	0.021	51.8	1.264	5.24	0.014	79.2	2.161	2.317	0.018	61.3	0.9989	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
142	3.920725	-129.570265	90.544583	28.472778	J060210.47+282819.5	90.5436283	28.472084	9.013	0.023	47.8	1.494	8.023	0.019	58.3	1.813	5.32	0.015	70.1	1.486	2.958	0.016	68.3	0.7244	2	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
143	0.279627	80.612097	344.887083	24.918333	J225932.92+245506.0	344.8871678	24.918346	10.697	0.024	45.7	2.333	9.683	0.021	52.9	1.734	6.707	0.016	67.8	1.987	4.289	0.025	43.1	0.7886	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
144	0.285829	-147.456167	176.124583	36.885833	J114429.88+365308.7	176.1245299	36.8857664	11.707	0.024	45.9	7.737	11.148	0.022	50.3	1.723	8.377	0.02	55.5	0.9134	6.051	0.038	28.2	1.058	5	14.61	0.92	0	11.571	0.006	0	14.61	0.92	0	11.101	0.007	0	14.61	0.92	0	8.631	0.014	0	17.87	0.95	0	6.566	0.049	1
145	0.396091	-25.641444	182.684583	38.336111	J121044.28+382010.3	182.6845226	38.3362103	10.012	0.022	49	2.571	9.255	0.02	53.4	1.29	6.751	0.016	68	0.8631	4.536	0.024	45.5	0.9527	4	15.41	0.85	-5	10.033	0.006	0	15.41	0.85	-5	9.314	0.006	0	15.41	0.85	-5	7.066	0.007	0	19.21	0.92	-5	5.001	0.014	1
146	0.31309	140.367855	56.302083	-39.574722	J034512.51-393429.2	56.3021553	-39.5747892	10.029	0.023	48	1.811	9.162	0.019	57	1.23	6.607	0.015	74.7	0.9465	4.651	0.022	48.3	0.9517	4	12.34	0.95	35	10.111	0.005	0	12.34	0.95	35	9.272	0.005	0	12.34	0.95	35	7.039	0.006	0	15.88	0.97	35	5.285	0.012	1
147	0.129042	-122.501073	351.350833	-38.446944	J232524.19-382649.0	351.3507947	-38.4469637	10.931	0.024	45.3	9.968	10.501	0.02	53.7	3.313	7.201	0.016	69.8	5.147	5.318	0.034	32.3	1.052	5	12.3	0.84	45	10.993	0.006	0	12.3	0.84	45	10.608	0.007	0	12.3	0.84	45	7.626	0.007	0	16.56	0.92	45	5.827	0.024	1
149	0.225292	-145.508666	189.77625	-16.179722	J123906.29-161047.1	189.7762131	-16.1797738	11.042	0.022	48.8	14.72	10.253	0.02	54	3.473	7.089	0.016	69.9	2.067	4.707	0.024	45.5	0.8957	5	17.24	0.89	55	10.762	0.006	0	17.24	0.89	55	10.153	0.007	0	17.24	0.89	55	7.226	0.007	0	20.14	0.92	55	5.084	0.016	1
150	0.901156	66.72824	252.677917	4.605	J165042.75+043618.3	252.6781474	4.6050989	10.567	0.022	48.4	5.142	9.795	0.019	58.3	1.611	7.708	0.017	64.6	1.485	5.317	0.03	36.7	0.9867	5	12.84	0.84	-50	10.635	0.006	0	12.84	0.84	-50	9.91	0.006	0	12.84	0.84	-50	8.082	0.013	0	17.28	0.92	-50	5.876	0.031	1
151	0.360297	60.974534	180.698333	-53.835556	J120247.63-535007.8	180.6984816	-53.835507	9.009	0.02	55.2	2.897	8.047	0.019	56.1	1.653	5.216	0.011	100.6	2.188	2.544	0.011	94.5	0.9013	4	19.34	0.81	-25	8.893	0.005	1	19.34	0.81	-25	8.059	0.005	1	19.34	0.81	-25	5.443	0.005	1	22.49	0.87	-25	2.875	0.006	1
152	0.573401	8.544803	184.739583	47.303889	J121857.50+471814.5	184.7396182	47.3040464	8.54	0.023	48.2	49.310001	8.178	0.02	53.4	27.98	5.477	0.015	70.9	9.635	3.311	0.02	55.3	6.803	5	180	0.8	-25	5.577	0.019	1	180	0.8	-25	5.505	0.019	1	180	0.8	-25	3.076	0.008	17	180	0.93	-25	1.376	0.016	17
153	0.644859	54.136102	28.204167	-3.446944	J015249.03-032648.6	28.2043121	-3.4468395	9.957	0.023	47.7	47.66	9.325	0.02	54.7	13.95	6.424	0.014	79	13.37	4.124	0.024	45.1	4.454	5	65.36	0.22	-20	9.163	0.006	0	65.36	0.22	-20	8.783	0.006	0	65.36	0.22	-20	5.899	0.006	0	90.57	0.36	-20	3.703	0.014	17
154	0.545958	92.053052	52.845833	-5.141667	J033123.03-050830.0	52.8459855	-5.1416721	11.093	0.024	45.9	31.66	10.856	0.022	49	9.487	8.957	0.027	40.3	1.414	7.086	0.107	10.1	1.029	5	23.94	0.78	-85	10.473	0.006	1	23.94	0.78	-85	10.34	0.008	1	23.94	0.78	-85	8.66	0.022	1	26.51	0.83	-85	7.085	0.141	1
155	0.653229	159.38448	72.922917	-3.809167	J045141.51-034833.6	72.9229807	-3.8093365	9.966	0.022	49	11.77	9.412	0.021	52.5	4.548	7.412	0.017	63.9	1.54	5.451	0.031	35	1.086	5	23.08	0.91	45	9.739	0.006	1	23.08	0.91	45	9.306	0.006	1	23.08	0.91	45	7.505	0.012	1	25.54	0.93	45	5.624	0.03	1
156	0.89875	81.544107	140.1925	-8.056111	J092046.25-080321.8	140.1927494	-8.0560744	11.017	0.024	45.5	7.437	9.87	0.02	53.1	1.517	6.352	0.014	75.2	1.881	3.499	0.02	53.6	0.652	5	13.59	0.84	30	10.969	0.006	0	13.59	0.84	30	9.94	0.006	0	13.59	0.84	30	6.736	0.006	0	18.3	0.92	30	4.009	0.007	1
157	0.855338	-17.237815	178.159167	-5.207222	J115238.18-051225.1	178.159096	-5.2069953	10.553	0.021	50.7	15.21	9.99	0.019	56.4	4.08	6.733	0.015	74.4	2.455	4.174	0.022	50.4	1.078	5	24.4	0.51	20	10.315	0.006	0	24.4	0.51	20	9.868	0.006	0	24.4	0.51	20	6.882	0.007	0	29.46	0.64	20	4.396	0.017	1
158	0.856081	31.109583	195.079583	-8.0875	J130019.12-080514.2	195.0797074	-8.0872964	11.402	0.024	45.1	41.709999	11.334	0.022	49.2	15.02	8.198	0.021	52.4	7.955	5.948	0.042	26	1.597	5	26.66	0.3	-10	11.038	0.006	0	26.66	0.3	-10	10.933	0.008	0	26.66	0.3	-10	7.966	0.011	0	37.16	0.47	-10	5.812	0.041	1
159	0.183313	19.978123	233.33625	-8.700556	J153320.70-084201.8	233.3362676	-8.7005077	11.144	0.022	48.8	35.400002	10.654	0.019	56	9.543	6.778	0.015	70.7	2.923	3.659	0.021	52	0.8537	5	43.53	0.37	75	10.117	0.006	1	43.53	0.37	75	9.87	0.008	1	43.53	0.37	75	6.57	0.007	1	49.36	0.45	75	3.668	0.01	17
160	0.483562	-53.81155	10.786667	-11.601111	J004308.77-113603.7	10.786556	-11.6010318	12.009	0.027	39.7	13.04	11.798	0.023	47.8	2.99	8.299	0.021	52	1.265	5.653	0.036	30.3	0.8991	5	13.34	0.62	-75	12.022	0.007	0	13.34	0.62	-75	11.822	0.01	0	13.34	0.62	-75	8.818	0.015	0	20.35	0.81	-75	6.029	0.031	1
161	0.129598	-90.194175	43.0975	-8.510278	J025223.39-083037.0	43.0974636	-8.5102779	10.566	0.022	50.4	18.629999	9.627	0.02	55	3.582	7.156	0.015	70.8	1.86	4.69	0.025	43.6	0.9117	5	26.14	0.31	-85	10.452	0.006	1	26.14	0.31	-85	9.693	0.006	1	26.14	0.31	-85	7.528	0.006	1	37.24	0.49	-85	4.915	0.014	1
162	0.522424	21.283695	45.017917	-10.824722	J030004.31-104928.5	45.0179703	-10.824587	10.402	0.022	48.6	5.403	9.627	0.019	56.5	2.052	7.225	0.017	62.3	1.162	4.868	0.029	37.2	1.023	5	21.65	0.61	35	10.284	0.006	0	21.65	0.61	35	9.604	0.006	0	21.65	0.61	35	7.398	0.009	0	25.78	0.71	35	5.136	0.02	1
163	0.197426	-85.681005	69.559167	-10.795833	J043814.18-104744.9	69.559111	-10.7958292	10.635	0.023	47.4	11.41	9.867	0.021	50.7	3.321	7.003	0.016	67.6	3.67	4.729	0.026	41	1.492	5	17.26	0.55	30	10.542	0.006	0	17.26	0.55	30	9.893	0.006	0	17.26	0.55	30	7.258	0.008	0	23.23	0.71	30	5.027	0.021	1
164	0.404142	147.433107	79.088333	-10.561389	J051621.21-103341.3	79.0883948	-10.5614835	10.402	0.023	47.5	7.185	9.456	0.019	57.6	1.51	6.404	0.016	67.4	1.06	4.213	0.025	42.9	0.8747	5	25.01	0.6	-80	9.584	0.006	1	25.01	0.6	-80	9.086	0.006	1	25.01	0.6	-80	6.507	0.006	1	29.02	0.7	-80	4.401	0.013	1
165	0.236007	69.171913	22.027917	-18.808611	J012806.71-184830.9	22.0279814	-18.8085878	10.421	0.023	47.6	2.805	9.597	0.02	53.4	1.154	7.111	0.016	69.6	1.166	4.903	0.025	43.1	1.027	0	10.79	0.76	45	10.62	0.006	0	10.79	0.76	45	9.835	0.006	0	10.79	0.76	45	7.819	0.007	0	16.71	0.91	45	5.483	0.015	1
166	0.543096	-130.547108	200.602083	-16.728333	J132224.47-164342.3	200.6019636	-16.7284314	9.372	0.024	46	8.31	7.944	0.02	55	1.81	4.049	0.014	77.3	3.946	1.403	0.014	76.9	1.425	5	25.74	0.87	70	9.203	0.005	16	25.74	0.87	70	7.919	0.005	0	25.74	0.87	70	4.173	0.005	0	27.77	0.89	70	1.528	0.006	1
167	1.234632	-141.524752	146.9175	-30.948611	J094740.14-305655.9	146.9172512	-30.9488796	8.571	0.022	49.8	16.41	7.552	0.02	54.6	2.03	4.249	0.014	76.9	3.118	1.642	0.01	107.8	1.459	5	27.64	0.63	50	8.491	0.005	1	27.64	0.63	50	7.561	0.005	1	27.64	0.63	50	4.406	0.005	1	30.48	0.69	50	1.844	0.006	1
168	0.981338	97.809586	203.97375	-34.295556	J133553.77-341744.1	203.9740769	-34.2955926	8.733	0.024	46	4.095	7.791	0.021	52.5	1.682	4.942	0.016	69.5	1.708	2.62	0.018	59.7	0.9437	5	22.99	0.58	-65	8.725	0.005	0	22.99	0.58	-65	7.83	0.005	0	22.99	0.58	-65	5.184	0.005	0	26.67	0.67	-65	2.946	0.006	1
169	0.345669	138.839723	16.361667	-42.216111	J010526.82-421258.2	16.361752	-42.2161834	10.941	0.022	48.3	24.85	10.423	0.02	54.2	8.786	7.063	0.015	71.1	1.821	4.329	0.02	53.3	1.073	5	19.5	0.53	-75	10.808	0.006	1	19.5	0.53	-75	10.385	0.006	1	19.5	0.53	-75	7.408	0.006	1	25.16	0.68	-75	4.699	0.013	1
170	0.496208	-100.7036	49.259167	1.255	J031702.16+011517.9	49.2590312	1.2549744	10.143	0.022	48.3	3.906	9.263	0.019	58.4	1.417	6.307	0.013	80.7	1.935	4.02	0.023	47.8	1.114	5	16.49	0.47	5	10.286	0.006	1	16.49	0.47	5	9.456	0.006	1	16.49	0.47	5	6.851	0.006	1	24.22	0.68	5	4.367	0.014	1
171	1.05613	110.844165	340.070833	8.053889	J224017.06+080313.6	340.0711102	8.0537845	10.174	0.023	46.4	5.525	9.483	0.019	55.9	2.244	6.413	0.015	72.1	2.2	3.787	0.018	61.7	0.861	5	19.18	0.82	-80	10.107	0.006	1	19.18	0.82	-80	9.477	0.006	1	19.18	0.82	-80	6.603	0.006	1	22.06	0.87	-80	4.154	0.01	1
172	0.181792	-79.237321	121.193333	10.776667	J080446.38+104636.0	121.1932828	10.7766761	10.719	0.024	45.8	26.01	10.168	0.02	55.3	7.662	7.271	0.015	71.4	6.331	5.2	0.031	35.5	1.065	5	19.86	0.48	25	10.563	0.006	1	19.86	0.48	25	10.12	0.007	1	19.86	0.48	25	7.478	0.009	1	26.37	0.64	25	5.477	0.032	1
173	0.305119	52.607093	335.9375	11.835833	J222345.01+115009.1	335.9375688	11.8358848	11.205	0.024	46.1	9.321	10.573	0.022	50	3.195	7.216	0.017	62.8	2.032	4.652	0.029	37.6	1.281	5	15.05	0.62	-25	11.243	0.006	0	15.05	0.62	-25	10.659	0.007	0	15.05	0.62	-25	7.688	0.01	0	20.79	0.77	-25	5.095	0.027	1
174	0.296775	-176.348382	140.929167	22.909167	J092342.99+225432.7	140.929161	22.9090844	9.815	0.023	46.5	2.903	8.966	0.02	53.4	1.271	6.206	0.015	70.1	1.053	3.998	0.021	52.1	0.8122	4	20.68	0.66	-5	9.757	0.006	1	20.68	0.66	-5	8.975	0.006	1	20.68	0.66	-5	6.412	0.006	1	24.24	0.76	-5	4.326	0.01	1
175	0.412716	-58.576684	307.14625	25.733333	J202835.07+254400.2	307.1461414	25.7333931	9.689	0.023	47	43.380001	9.032	0.021	52.9	21.98	4.901	0.015	74	38.139999	2.675	0.021	51.9	7.836	5	29.4	0.48	70	9.35	0.006	1	29.4	0.48	70	8.846	0.006	1	29.4	0.48	70	5.077	0.006	1	33.88	0.57	70	2.902	0.006	1
176	0.357978	138.339501	12.895833	29.401389	J005135.01+292404.7	12.8959092	29.4013146	10.783	0.023	46.5	10.6	10.36	0.021	52.7	4.144	7.283	0.015	72.4	3.317	4.784	0.026	41.8	1.206	5	17.61	0.62	-60	10.675	0.006	0	17.61	0.62	-60	10.314	0.006	0	17.61	0.62	-60	7.459	0.008	0	23.11	0.78	-60	5.029	0.016	1
177	0.622366	53.021288	177.19125	29.641111	J114845.93+293828.3	177.1914089	29.6412151	10.24	0.022	50	8.929	9.521	0.021	51.9	2.435	6.993	0.015	71.3	1.992	4.544	0.024	44.9	0.844	5	19.1	0.56	10	10.256	0.006	0	19.1	0.56	10	9.597	0.006	0	19.1	0.56	10	7.33	0.009	0	24.64	0.71	10	4.911	0.017	1
178	0.760612	-53.818032	108.51625	35.279167	J071403.84+351645.4	108.5160411	35.2792914	9.434	0.022	48.8	3.548	8.55	0.021	50.8	1.034	5.32	0.015	73.5	1.344	3.022	0.02	54.6	0.7332	5	18.98	0.73	75	9.403	0.006	1	18.98	0.73	75	8.578	0.006	1	18.98	0.73	75	5.598	0.006	1	22.33	0.81	75	3.378	0.007	1
179	0.450882	-40.32139	161.204167	38.181111	J104448.97+381052.3	161.2040636	38.1812066	10.985	0.022	49.4	41.970001	10.554	0.02	53.4	14.13	7.584	0.016	67.9	11.24	5.554	0.033	33.4	1.228	5	28.05	0.35	-85	10.598	0.006	0	28.05	0.35	-85	10.315	0.007	0	28.05	0.35	-85	7.645	0.009	0	37.08	0.52	-85	5.685	0.056	17
180	0.497077	-123.72927	336.774167	36.361667	J222705.76+362141.7	336.7740241	36.36159	10.556	0.022	50.1	22.459999	10.352	0.02	53	8.467	8.007	0.018	59.4	1.734	5.688	0.038	28.6	0.8485	5	27.89	0.68	85	10.069	0.006	1	27.89	0.68	85	9.95	0.008	1	27.89	0.68	85	7.643	0.01	1	30.46	0.74	85	5.715	0.038	1
181	0.256172	161.906142	88.723333	46.439444	J055453.60+462621.7	88.7233654	46.4393768	8.264	0.023	47.1	3.869	7.281	0.021	50.8	4.703	4.384	0.014	79.5	7.308	1.745	0.013	84.9	1.505	5	54.88	0.51	0	8.057	0.006	1	54.88	0.51	0	7.21	0.006	1	54.88	0.51	0	4.368	0.006	1	60.5	0.59	0	1.721	0.006	17
182	0.724842	129.366784	133.802083	64.396111	J085512.58+642345.5	133.8024435	64.3959834	11.046	0.024	45.4	8.978	10.234	0.02	53.7	2.284	7.753	0.017	64.7	1.576	5.657	0.031	35	1.024	5	17	0.52	50	11.08	0.006	0	17	0.52	50	10.324	0.006	0	17	0.52	50	8.151	0.008	0	24.25	0.72	50	6.03	0.041	1
183	0.359528	32.933574	161.035417	70.405278	J104408.53+702419.3	161.0355786	70.4053616	10.843	0.022	48.4	22.879999	9.94	0.02	54	5.82	6.484	0.015	74.8	4.87	4.056	0.019	58	1.225	5	26.95	0.42	20	10.481	0.006	0	26.95	0.42	20	9.812	0.006	0	26.95	0.42	20	6.618	0.006	0	33.65	0.56	20	4.256	0.012	17
184	0.259258	-122.514758	116.87125	60.933611	J074729.07+605600.8	116.871125	60.9335724	10.543	0.025	44	14.15	9.853	0.02	53.5	3.954	6.938	0.016	68.7	3.051	4.328	0.023	47.7	1.458	5	33.65	0.47	-50	10.005	0.006	0	33.65	0.47	-50	9.529	0.006	0	33.65	0.47	-50	6.642	0.007	0	37.55	0.55	-50	4.345	0.011	1
185	0.342959	-109.379117	31.566667	-0.291389	J020615.97-001729.1	31.5665768	-0.2914205	10.135	0.022	49.8	7.942	9.35	0.02	54.4	2.57	6.964	0.015	71.5	1.07	4.976	0.028	38.5	0.9113	5	21.19	0.66	0	10.042	0.006	1	21.19	0.66	0	9.345	0.006	1	21.19	0.66	0	7.181	0.007	1	24.83	0.76	0	5.304	0.024	1
186	0.716367	-98.085723	121.024583	5.113889	J080405.85+050649.8	121.0243855	5.1138609	9.982	0.022	49.8	6.363	8.602	0.02	53.6	1.863	4.629	0.015	74.6	3.432	1.685	0.017	64.9	0.9331	5	16.1	0.91	75	9.909	0.006	0	16.1	0.91	75	8.632	0.006	0	16.1	0.91	75	4.901	0.005	0	19.84	0.95	75	2.125	0.006	17
187	0.588815	-81.046238	180.31	-3.678056	J120114.36-034040.9	180.3098381	-3.6780301	11.324	0.023	47.6	8.083	10.679	0.022	49.9	2.155	7.813	0.02	54.9	1.38	5.673	0.038	28.9	1.125	1	11.17	0.86	-30	11.417	0.006	0	11.17	0.86	-30	10.864	0.008	0	11.17	0.86	-30	8.354	0.012	0	16.09	0.92	-30	6.326	0.051	0
188	0.733235	-59.46592	226.485833	3.707222	J150556.55+034226.3	226.4856575	3.7073257	10.514	0.022	48.8	8.302	9.753	0.02	55.2	2.449	6.6	0.016	68.8	2.495	4.028	0.021	51.1	1	5	18.28	0.53	50	10.455	0.006	0	18.28	0.53	50	9.791	0.006	0	18.28	0.53	50	6.939	0.006	0	23.59	0.68	50	4.419	0.008	1
189	0.417058	6.388517	135.493333	60.151667	J090158.40+600906.4	135.4933592	60.1517818	10.261	0.023	46.6	12.01	9.776	0.021	52.2	4.461	6.29	0.015	72.6	5.565	3.867	0.024	44.5	0.9639	5	18.28	0.53	90	10.239	0.006	0	18.28	0.53	90	9.814	0.006	0	18.28	0.53	90	6.707	0.006	0	23.59	0.68	90	4.256	0.008	17
190	0.357083	52.363559	182.30875	47.058333	J120914.12+470330.2	182.3088653	47.0583939	10.921	0.022	48.9	9.132	10.157	0.019	56.6	2.33	6.815	0.016	69.6	1.431	4.593	0.024	44.5	0.9433	5	15.78	0.78	15	10.844	0.006	0	15.78	0.78	15	10.172	0.006	0	15.78	0.78	15	7.132	0.006	0	19.95	0.86	15	5.035	0.014	1
191	0.716965	-18.027507	184.479167	58.659722	J121754.97+583935.6	184.4790482	58.6599116	11.858	0.023	47.3	4.995	11.278	0.021	52.3	1.387	8.041	0.017	62.2	1.108	5.876	0.033	32.6	0.9648	5	11.73	0.92	5	11.887	0.006	0	11.73	0.92	5	11.369	0.008	0	11.73	0.92	5	8.52	0.01	0	16.75	0.97	5	6.442	0.039	1
192	0.570824	152.487075	208.264167	69.308333	J135303.44+691829.4	208.264374	69.3081927	10.35	0.023	47.3	5.778	9.386	0.02	53.4	1.976	5.867	0.015	73.5	2.016	3.361	0.017	62.6	0.8504	5	18.13	0.73	40	10.274	0.006	0	18.13	0.73	40	9.402	0.006	0	18.13	0.73	40	6.127	0.006	0	22.48	0.84	40	3.733	0.007	1
193	0.612313	12.430001	233.968333	57.9025	J153552.41+575409.5	233.9684022	57.9026661	10.471	0.023	46.9	2.666	9.536	0.019	56.4	1.748	6.572	0.015	74.6	1.66	4.118	0.019	56.1	1.08	0	10.5	0.85	70	10.635	0.006	0	10.5	0.85	70	9.741	0.006	0	10.5	0.85	70	7.205	0.006	0	15.34	0.93	70	4.809	0.007	1
195	0.830242	34.474611	1.58125	20.202778	J000619.53+201210.6	1.5813891	20.2029679	9.057	0.022	50	0.9722	8.083	0.02	53	1.115	5.72	0.014	76.8	1.951	3.576	0.02	53.9	0.8389	4	16.04	1	-30	9.131	0.005	0	16.04	1	-30	8.158	0.005	0	16.04	1	-30	5.994	0.006	0	19.29	1	-30	3.966	0.01	17
196	0.53171	72.806136	12.19625	31.956944	J004847.13+315725.1	12.1964163	31.9569881	9.269	0.023	46.5	2.858	8.091	0.02	53.2	1.407	5.074	0.015	74.3	2.106	2.67	0.017	65.5	0.7723	4	25.48	0.91	-20	9.164	0.006	0	25.48	0.91	-20	8.068	0.006	0	25.48	0.91	-20	5.182	0.006	0	27.29	0.92	-20	2.839	0.007	1
197	0.400513	-42.24374	14.972083	31.826944	J005953.27+314937.2	14.9719953	31.8270268	11.192	0.022	50.2	7.5	10.63	0.019	57.2	2.08	8.66	0.021	52.3	1.264	6.812	0.058	18.7	0.9663	5	13.98	0.94	80	11.099	0.006	1	13.98	0.94	80	10.635	0.008	1	13.98	0.94	80	8.856	0.014	0	17.1	0.97	80	7.25	0.067	17
198	1.235314	-96.557945	21.885833	19.178889	J012732.51+191043.8	21.8854724	19.1788497	10.154	0.022	50.4	11.52	9.452	0.019	57.3	3.372	6.205	0.014	75.9	2.311	3.729	0.021	52	0.8855	5	17.29	0.88	30	10.053	0.006	0	17.29	0.88	30	9.423	0.006	0	17.29	0.88	30	6.431	0.006	0	20.42	0.92	30	4.092	0.007	1
199	0.645888	46.781046	162.37875	22.964444	J104930.93+225752.4	162.378892	22.9645673	11.022	0.023	46.8	4.611	10.08	0.021	52.8	1.837	6.818	0.018	60.4	1.984	4.346	0.022	48.9	1.048	5	12.19	0.82	10	11.123	0.006	0	12.19	0.82	10	10.239	0.006	0	12.19	0.82	10	7.359	0.008	0	16.41	0.9	10	4.949	0.012	17
200	0.069963	37.29739	220.15875	53.504444	J144038.10+533016.0	220.1587698	53.5044599	11.294	0.023	47.2	5.298	10.075	0.02	53.7	1.853	6.116	0.014	76.3	3.013	3.116	0.016	68	1.039	1	9.73	0.93	-70	11.48	0.006	0	9.73	0.93	-70	10.323	0.006	0	9.73	0.93	-70	6.805	0.006	0	14.24	0.96	-70	3.891	0.006	1
201	0.845164	117.324952	185.850417	2.679167	J122324.15+024044.6	185.8506255	2.6790589	11.181	0.021	50.9	5.934	10.47	0.021	52.2	1.371	8.013	0.022	49.5	0.8643	6.259	0.069	15.8	1.029	1	10.83	0.9	-25	11.287	0.007	1	10.83	0.9	-25	10.614	0.007	1	10.83	0.9	-25	8.576	0.019	1	15.46	0.95	-25	7.007	0.109	1
202	0.883219	65.712938	311.040417	-10.723611	J204409.75-104324.6	311.0406443	-10.7235102	8.765	0.023	47	1.589	7.867	0.02	54.3	1.404	5.182	0.013	83.2	2.541	2.787	0.02	53.5	0.7896	4	14.25	0.85	80	8.841	0.005	0	14.25	0.85	80	7.949	0.005	0	14.25	0.85	80	5.591	0.006	0	17.77	0.92	80	3.323	0.006	0
203	0.806478	-86.835408	33.64	-0.766667	J021433.54-004559.9	33.6397763	-0.7666543	10.272	0.023	46.2	21.799999	9.896	0.02	54.5	8.306	6.634	0.015	70.3	4.523	3.912	0.021	51.4	1.031	5	27.82	0.94	-55	9.733	0.006	1	27.82	0.94	-55	9.468	0.006	1	27.82	0.94	-55	6.359	0.007	1	29.75	0.95	-55	3.932	0.009	1
204	0.493879	-103.112011	40.395417	7.187222	J024134.86+071113.8	40.395282	7.1871911	10.726	0.022	49	6.457	10.117	0.021	52.2	1.815	7.291	0.017	62.8	1.396	4.769	0.029	37.8	0.9386	5	14.03	0.76	-85	10.743	0.006	0	14.03	0.76	-85	10.185	0.006	0	14.03	0.76	-85	7.656	0.009	0	19.45	0.88	-85	5.21	0.025	1
205	0.220962	9.923536	103.05125	74.426944	J065212.30+742537.2	103.0512894	74.4270049	8.337	0.023	47.3	9.414	7.604	0.02	53.6	5.071	5.203	0.015	72.9	13.5	2.816	0.024	44.5	1.584	5	25.01	0.72	-50	8.345	0.005	1	25.01	0.72	-50	7.601	0.005	1	25.01	0.72	-50	5.388	0.006	1	27.96	0.78	-50	3.007	0.007	1
