cntr_01	dist_x	pang_x	ra_01	dec_01	designation	ra	dec	w1mpro	w1sigmpro	w1snr	w1rchi2	w2mpro	w2sigmpro	w2snr	w2rchi2	w3mpro	w3sigmpro	w3snr	w3rchi2	w4mpro	w4sigmpro	w4snr	w4rchi2	ext_flg	w1rsemi	w1ba	w1pa	w1gmag	w1gerr	w1gflg	w2rsemi	w2ba	w2pa	w2gmag	w2gerr	w2gflg	w3rsemi	w3ba	w3pa	w3gmag	w3gerr	w3gflg	w4rsemi	w4ba	w4pa	w4gmag	w4gerr	w4gflg
27	0.457501	88.448923	140.97375	-31.691944	J092353.73-314130.9	140.9738993	-31.691941	11.948	0.023	46.5	12.79	11.532	0.022	48.9	2.936	9.141	0.029	37.5	0.89	6.825	0.068	16	1.165	5	14.03	0.76	-5	11.83	0.007	1	14.03	0.76	-5	11.457	0.009	17	14.03	0.76	-5	9.43	0.023	1	19.45	0.88	-5	7.275	0.1	1
28	0.594342	25.12029	141.447917	69.464722	J092547.54+692753.5	141.4481165	69.4648717	10.602	0.022	48.4	4.705	9.67	0.019	56.2	3.019	7.078	0.014	77.6	3.242	5.034	0.026	41.3	0.9933	1	10.55	0.84	-5	10.782	0.006	0	10.55	0.84	-5	9.882	0.006	0	10.55	0.84	-5	7.736	0.007	0	16.13	0.93	-5	5.66	0.017	1
29	0.347713	-150.099105	144.02625	-65.809167	J093606.27-654833.3	144.0261325	-65.8092504	12.422	0.023	47	3.845	11.925	0.02	53.6	1.421	9.501	0.033	33.2	0.9589	7.531	0.083	13	0.9635	1	9.97	0.84	5	12.553	0.017	0	9.97	0.84	5	12.117	0.014	0	9.97	0.84	5	10.101	0.02	0	15.25	0.93	5	8.081	0.089	1
30	0.776867	126.245962	149.9275	-31.216111	J095942.64-311258.4	149.9277035	-31.2162387	9.542	0.022	48.9	1.217	8.601	0.019	57.3	3.744	6.115	0.015	71.6	1.512	3.848	0.018	60.4	1.076	5	13.98	0.69	85	9.668	0.006	0	13.98	0.69	85	8.768	0.006	0	13.98	0.69	85	6.621	0.006	0	20.13	0.83	85	4.331	0.01	1
31	1.326948	-75.98122	160.09375	-46.423889	J104022.37-462525.6	160.0932312	-46.4237996	10.484	0.022	49.8	20.219999	9.808	0.02	53.3	4.821	6.393	0.015	72.4	2.493	3.847	0.018	59	0.8583	5	19.7	0.7	90	10.294	0.006	1	19.7	0.7	90	9.749	0.006	1	19.7	0.7	90	6.629	0.007	1	23.48	0.79	90	4.182	0.01	1
32	1.201842	-20.334449	176.41875	-18.454444	J114540.47-182714.8	176.4186277	-18.4541314	10.27	0.023	46.2	2.346	9.396	0.02	54.9	1.564	6.666	0.016	66.5	1.495	4.51	0.029	37	0.8371	5	11.46	0.78	65	10.42	0.006	0	11.46	0.78	65	9.581	0.006	0	11.46	0.78	65	7.264	0.007	0	17.25	0.9	65	5.099	0.02	1
33	0.842674	83.669248	180.24125	6.806389	J120057.95+064823.0	180.2414843	6.8064147	11.007	0.024	45.9	14.37	10.322	0.021	52.7	4.044	7.073	0.017	64.4	2.502	4.675	0.026	42.3	1.005	5	16.22	0.63	40	10.928	0.006	0	16.22	0.63	40	10.349	0.006	0	16.22	0.63	40	7.438	0.007	0	20.84	0.76	40	5.15	0.017	1
34	0.503893	-96.514455	187.905	-47.967222	J123137.15-475802.0	187.9047923	-47.9672381	10.435	0.022	49	11.57	9.63	0.02	54.5	3.342	6.271	0.014	76.4	6	3.788	0.021	51	1.102	5	16.15	0.95	70	10.307	0.006	0	16.15	0.95	70	9.612	0.006	0	16.15	0.95	70	6.494	0.006	0	19.53	0.96	70	4.175	0.007	1
35	0.425859	99.29179	188.464167	-21.0625	J123351.43-210345.0	188.4642918	-21.0625191	11.409	0.023	47.5	2.922	10.484	0.021	52.2	3.277	7.154	0.015	73.2	1.477	4.545	0.024	44.5	0.8691	1	9.05	0.94	-35	11.618	0.006	1	9.05	0.94	-35	10.755	0.006	1	9.05	0.94	-35	7.917	0.007	1	14.61	0.98	-35	5.271	0.016	1
36	0.916616	114.108266	191.990833	-58.5	J124757.90-583000.3	191.9912781	-58.500104	11.356	0.023	47.3	9.439	10.944	0.021	52.2	2.586	8.555	0.02	53.6	1.393	6.111	0.032	33.4	1.502	1	11.13	0.74	-85	11.499	0.011	1	11.13	0.74	-85	11.131	0.011	1	11.13	0.74	-85	9.18	0.07	1	17.24	0.88	-85	6.588	0.048	1
