Name,RA_(J2000),DEC_(J2000),RA_deg,DEC_deg,Redshift,Dist_[Mpc],BAT_Type
ESO383-18,13h33m26.1s,-34d00m53s,203.35875,-34.01472222,0.012412,53.66655371,Sy 2
ESO399-20,20h06m57.7s,-34d32m58s,301.7404167,-34.54944444,0.024951,108.9068993,Sy 1 Galaxy Pair
ESO417-G006,02h56m21.5s,-32d11m08s,44.08958333,-32.18555556,0.016291,70.64604073,Sy 2
ESO426-G002,06h23m46.4s,-32d13m00s,95.94333333,-32.21666667,0.022429,97.71419488,Sy 2
ESO439-G009,11h27m23.4s,-29d15m27s,171.8475,-29.2575,0.02389,104.1931371,Sy 2 (58 month)
ESO464-G016,21h02m23.8s,-28d10m29s,315.5991667,-28.17472222,0.036352,160.0161325,AGN (58 month)
ESO479-G031,02h44m47.7s,-24d30m50s,41.19875,-24.51388889,0.023526,102.5776521,LINER
ESO490-IG026,06h40m11.7s,-25d53m43s,100.04875,-25.89527778,0.02485,108.4578677,Sy 1.2
ESO499-G041,10h05m55.4s,-23d03m25s,151.4808333,-23.05694444,0.012816,55.43038551,Sy 1.5
ESO506-G027,12h38m54.6s,-27d18m28s,189.7275,-27.30777778,0.025024,109.231488,Sy 2
ESO509-G038,13h31m13.9s,-25d24m10s,202.8079167,-25.40277778,0.025971,113.4453676,Sy 1
ESO509-IG066NED01,13h34m39.6s,-23d26m48s,203.665,-23.44666667,0.034307,150.7872955,Sy 2
ESO511-G030,14h19m22.4s,-26d38m41s,214.8433333,-26.64472222,0.022389,97.53700555,Sy 1
ESO533-G050,22h34m49.8s,-25d40m37s,338.7075,-25.67694444,0.026445,115.5567068,Sy 2
ESO548-G081,03h42m03.7s,-21d14m39s,55.51541667,-21.24416667,0.01448,62.70653781,Sy 1
ESO549-G049,04h02m25.7s,-18d02m51s,60.60708333,-18.0475,0.026291,114.8705853,Sy 2 LINER
ESO553-G022,05h11m57.8s,-18d29m38s,77.99083333,-18.49388889,0.042079,186.0032508,Sy 2
ESO553-G043,05h26m27.3s,-21d17m12s,81.61375,-21.28666667,0.027756,121.4038439,Sy 2
ESO565-G019,09h34m43.6s,-21d55m40s,143.6816667,-21.92777778,0.016285,70.61970112,Sy 2
ESO578-G009,13h56m36.7s,-19d31m45s,209.1529167,-19.52916667,0.035021,154.0064542,Sy 1
Fairall1146,08h38m30.8s,-35d59m33s,129.6283333,-35.9925,0.031578,138.5133321,Sy 1.5
Fairall272,08h23m01.1s,-04d56m05s,125.7545833,-4.934722222,0.021815,94.9954809,Sy 2
Fairall49,18h36m58.3s,-59d24m09s,279.2429167,-59.4025,0.020021,87.06588951,Sy 2
Fairall51,18h44m54.0s,-62d21m53s,281.225,-62.36472222,0.014178,61.38464095,Sy 1
Fairall9,01h23m45.8s,-58d48m21s,20.94083333,-58.80583333,0.047016,208.5726468,Sy 1
HB890241+622,02h44m57.7s,+62d28m07s,41.24041667,62.46861111,0.044,194.7667351,Sy 1
IC0486,08h00m21.0s,+26d36m49s,120.0875,26.61361111,0.026875,117.4733107,Sy 1
IC1657,01h14m07.0s,-32d39m03s,18.52916667,-32.65083333,0.011952,51.65953213,Sy 2
IC1816,02h31m51.0s,-36d40m19s,37.9625,-36.67194444,0.016945,73.51846563,Sy 1.8
IC2461,09h19m58.0s,+37d11m29s,139.9916667,37.19138889,0.007539,25.5,Sy 1.9
IC2637,11h13m49.7s,+09d35m11s,168.4570833,9.586388889,0.02923,127.9911945,Sy 1.5
IC2921,11h32m49.3s,+10d17m47s,173.2054167,10.29638889,0.044037,194.9357562,Sy 1
IC4329A,13h49m19.3s,-30d18m34s,207.3304167,-30.30944444,0.016054,69.60580477,Sy 1.2
IC4518A,14h57m41.2s,-43d07m56s,224.4216667,-43.13222222,0.016261,70.51434503,Sy 2
IC4709,18h24m19.4s,-56d22m09s,276.0808333,-56.36916667,0.016905,73.34270208,Sy 2
IC5063,20h52m02.3s,-57d04m08s,313.0095833,-57.06888889,0.011348,49.0263316,Sy 2
IGRJ11366-6002,11h36m42.0s,-60d03m07s,174.175,-60.05194444,0.014,60.60578899,Sy 2 LINER
IGRJ23308+7120,23h30m37.7s,+71d22m46s,352.6570833,71.37944444,0.036979,162.851057,Sy 2
IISZ010,13h13m05.8s,-11d07m42s,198.2741667,-11.12833333,0.034267,150.607047,Sy 1
IIZw083,20h26m55.9s,-02d16m39s,306.7329167,-2.2775,0.029143,127.6020005,Sy 2
IRAS03219+4031,03h25m13.2s,+40d41m55s,51.305,40.69861111,0.047726,211.8310638,Sy 2
IRAS04124-0803,04h14m52.7s,-07d55m40s,63.71958333,-7.927777778,0.03816,168.1976515,Sy 1
IRAS05078+1626,05h10m45.5s,+16d29m56s,77.68958333,16.49888889,0.017879,77.62550874,Sy 1.5
IRAS05218-1212,05h24m06.5s,-12d10m00s,81.02708333,-12.16666667,0.049,217.6858221,Sy 1
IRAS05589+2828,06h02m10.7s,+28d28m22s,90.54458333,28.47277778,0.033,144.9029726,Sy 1
KAZ320,22h59m32.9s,+24d55m06s,344.8870833,24.91833333,0.0345,151.6571388,Sy 1
KUG1141+371,11h44m29.9s,+36d53m09s,176.1245833,36.88583333,0.03806,167.7445895,Sy 1
KUG1208+386,12h10m44.3s,+38d20m10s,182.6845833,38.33611111,0.022792,99.32266199,Sy 1
LCRSB034324.7-394349,03h45m12.5s,-39d34m29s,56.30208333,-39.57472222,0.042783,189.2121411,Sy 1
LCRSB232242.2-384320,23h25m24.2s,-38d26m49s,351.3508333,-38.44694444,0.0359,157.9740112,Sy 1
LEDA138501,02h09m34.3s,+52d26m33s,32.39291667,52.4425,0.0492,218.6058646,Sy 1
LEDA170194,12h39m06.3s,-16d10m47s,189.77625,-16.17972222,0.036675,161.4762349,Sy 2
LEDA214543,16h50m42.7s,+04d36m18s,252.6779167,4.605,0.032059,140.6732151,Sy 2
LEDA38038,12h02m47.6s,-53d50m08s,180.6983333,-53.83555556,0.027966,122.3414857,Sy 2
M106,12h18m57.5s,+47d18m14s,184.7395833,47.30388889,0.001494,7.61,Sy 1.9 LINER
MCG-01-05-047,01h52m49.0s,-03d26m49s,28.20416667,-3.446944444,0.017197,74.62601583,Sy 2
MCG-01-09-045,03h31m23.0s,-05d08m30s,52.84583333,-5.141666667,0.012822,55.45658909,Sy 2
MCG-01-13-025,04h51m41.5s,-03d48m33s,72.92291667,-3.809166667,0.015894,68.903743,Sy 1.2
MCG-01-24-012,09h20m46.2s,-08d03m22s,140.1925,-8.056111111,0.019644,85.40218363,Sy 2
MCG-01-30-041,11h52m38.2s,-05d12m26s,178.1591667,-5.207222222,0.018816,81.75145203,Sy 1.8
MCG-01-33-063,13h00m19.1s,-08d05m15s,195.0795833,-8.0875,0.026291,114.8705853,Sy 2 (58 month)
MCG-01-40-001,15h33m20.7s,-08d42m02s,233.33625,-8.700555556,0.022706,98.94151548,Sy 2
MCG-02-02-095,00h43m08.8s,-11d36m04s,10.78666667,-11.60111111,0.01887,81.98940731,Sy 2
MCG-02-08-014,02h52m23.4s,-08d30m37s,43.0975,-8.510277778,0.016752,72.67050275,Sy 2 Hidden
MCG-02-08-038,03h00m04.3s,-10d49m29s,45.01791667,-10.82472222,0.032589,143.0548459,Sy 1
MCG-02-12-050,04h38m14.2s,-10d47m45s,69.55916667,-10.79583333,0.036352,160.0161325,Sy 1.2
MCG-02-14-009,05h16m21.2s,-10d33m41s,79.08833333,-10.56138889,0.028453,124.5170147,Sy 1
MCG-03-04-072,01h28m06.7s,-18d48m31s,22.02791667,-18.80861111,0.046,203.91543,Sy 1 NL
MCG-03-34-064,13h22m24.5s,-16d43m42s,200.6020833,-16.72833333,0.016541,71.74373316,Sy 1.8
MCG-05-23-016,09h47m40.2s,-30d56m55s,146.9175,-30.94861111,0.008486,36.58169972,Sy 2
MCG-06-30-015,13h35m53.7s,-34d17m44s,203.97375,-34.29555556,0.007749,33.38577246,Sy 1.2
MCG-07-03-007,01h05m26.8s,-42d12m58s,16.36166667,-42.21611111,0.029884,130.9184179,Sy 2
MCG+00-09-042,03h17m02.2s,+01d15m18s,49.25916667,1.255,0.023761,103.6205182,Sy 2 LINER
MCG+01-57-016,22h40m17.0s,+08d03m14s,340.0708333,8.053888889,0.024974,109.0091633,Sy 1.8
MCG+02-21-013,08h04m46.4s,+10d46m36s,121.1933333,10.77666667,0.034434,151.3596526,Sy 2
MCG+02-57-002,22h23m45.0s,+11d50m09s,335.9375,11.83583333,0.029,126.9623967,Sy 1.5
MCG+04-22-042,09h23m43.0s,+22d54m33s,140.9291667,22.90916667,0.032349,141.9761485,Sy 1.2
MCG+04-48-002,20h28m35.1s,+25d44m00s,307.14625,25.73333333,0.0139,60.16832261,Sy 2
MCG+05-03-013,00h51m35.0s,+29d24m05s,12.89583333,29.40138889,0.035955,158.2224297,Sy 1
MCG+05-28-032,11h48m45.9s,+29d38m28s,177.19125,29.64111111,0.023016,100.3156406,LINER
MCG+06-16-028,07h14m03.9s,+35d16m45s,108.51625,35.27916667,0.015694,68.02640073,Sy 2
MCG+06-24-008,10h44m49.0s,+38d10m52s,161.2041667,38.18111111,0.025881,113.0446443,Sy 1.9
MCG+06-49-019,22h27m05.8s,+36d21m42s,336.7741667,36.36166667,0.021328,92.8408452,Sy 2
MCG+08-11-011,05h54m53.6s,+46d26m22s,88.72333333,46.43944444,0.020484,89.11037791,Sy 1.5
MCG+11-11-032,08h55m12.5s,+64d23m46s,133.8020833,64.39611111,0.036252,159.5642234,Sy 2
MCG+12-10-067,10h44m08.5s,+70d24m19s,161.0354167,70.40527778,0.033577,147.4993705,Sy 2
Mrk10,07h47m29.1s,+60d56m01s,116.87125,60.93361111,0.029255,128.1030409,Sy 1.2
Mrk1018,02h06m16.0s,-00d17m29s,31.56666667,-0.291388889,0.042436,187.6300936,Sy 1.5
Mrk1210,08h04m05.9s,+05d06m50s,121.0245833,5.113888889,0.013496,58.40162434,Sy 2
Mrk1310,12h01m14.4s,-03d40m41s,180.31,-3.678055556,0.01956,85.03161638,Sy 1
Mrk1392,15h05m56.6s,+03d42m26s,226.4858333,3.707222222,0.036135,159.0355708,Sy 1
Mrk18,09h01m58.4s,+60d09m06s,135.4933333,60.15166667,0.011088,47.8935712,Sy 2
Mrk198,12h09m14.1s,+47d03m30s,182.30875,47.05833333,0.02422,105.658466,Sy 2
Mrk202,12h17m55.0s,+58d39m35s,184.4791667,58.65972222,0.021015,91.45685052,Sy 1 (58 month)
Mrk279,13h53m03.4s,+69d18m30s,208.2641667,69.30833333,0.030451,133.4584651,Sy 1.5
Mrk290,15h35m52.4s,+57d54m09s,233.9683333,57.9025,0.029577,129.5439812,Sy 1
Mrk3,06h15m36.3s,+71d02m15s,93.901667,71.0375,0.013509,58.5,Sy 2
Mrk335,00h06m19.5s,+20d12m10s,1.58125,20.20277778,0.025785,112.6172637,Sy 1.2
Mrk348,00h48m47.1s,+31d57m25s,12.19625,31.95694444,0.015034,65.13302407,Sy 2 FSRQ
Mrk352,00h59m53.3s,+31d49m37s,14.97208333,31.82694444,0.014864,64.38822116,Sy 1
Mrk359,01h27m32.6s,+19d10m44s,21.88583333,19.17888889,0.017385,75.45255299,Sy 1.5
Mrk417,10h49m30.9s,+22d57m52s,162.37875,22.96444444,0.032756,143.8056573,Sy 2
Mrk477,14h40m38.1s,+53d30m16s,220.15875,53.50444444,0.037726,166.231824,Sy 1
Mrk50,12h23m24.1s,+02d40m45s,185.8504167,2.679166667,0.023433,102.1650421,Sy 1
Mrk509,20h44m09.7s,-10d43m25s,311.0404167,-10.72361111,0.034397,151.1928923,Sy 1.2
Mrk590,02h14m33.6s,-00d46m00s,33.64,-0.766666667,0.026385,115.2893685,Sy 1.2
Mrk595,02h41m34.9s,+07d11m14s,40.39541667,7.187222222,0.026982,117.9504184,Sy 1.5
Mrk6,06h52m12.3s,+74d25m37s,103.05125,74.42694444,0.018813,81.73823285,Sy 1.5
Mrk618,04h36m22.2s,-10d22m34s,69.0925,-10.37611111,0.03555,156.3936189,Sy 1
Mrk653,12h39m51.7s,+34d58m30s,189.9654167,34.975,0.043067,190.5075259,Sy 2
Mrk704,09h18m26.0s,+16d18m19s,139.6083333,16.30527778,0.029234,128.0090896,Sy 1.5
Mrk728,11h01m01.8s,+11d02m49s,165.2575,11.04694444,0.035645,156.8225052,Sy 1.9
Mrk739E,11h36m29.4s,+21d35m46s,174.1225,21.59611111,0.029717,130.170685,Sy 1
Mrk766,12h18m26.5s,+29d48m46s,184.6104167,29.81277778,0.012929,55.92392579,Sy 1.5
Mrk79,07h42m32.8s,+49d48m35s,115.6366667,49.80972222,0.022189,96.65121445,Sy 1.2
Mrk817,14h36m22.1s,+58d47m39s,219.0920833,58.79416667,0.031455,137.9612511,Sy 1.5
Mrk841,15h04m01.2s,+10d26m16s,226.005,10.43777778,0.036422,160.3325068,Sy 1
Mrk885,16h29m48.3s,+67d22m42s,247.45125,67.37833333,0.025328,110.5835699,Sy 1
Mrk926,23h04m43.5s,-08d41m09s,346.18125,-8.685833333,0.04686,207.857139,Sy 1.5
Mrk975,01h13m51.0s,+13d16m18s,18.4625,13.27166667,0.049634,220.6032227,Sy 1
NGC1052,02h41m04.8s,-08d15m21s,40.27,-8.255833333,0.005037,19.4,Sy 2
NGC1106,02h50m40.5s,+41d40m17s,42.66875,41.67138889,0.014467,62.64962268,Sy 2
NGC1125,02h51m40.3s,-16d39m04s,42.91791667,-16.65111111,0.010931,47.20977291,Sy 2
NGC1194,03h03m49.1s,-01d06m13s,45.95458333,-1.103611111,0.013596,58.83882645,Sy 2
NGC1365,03h33m36.4s,-36d08m25s,53.40166667,-36.14027778,0.005457,18,Sy 1.8
NGC2110,05h52m11.4s,-07d27m22s,88.0475,-7.456111111,0.007789,35.6,Sy 2
NGC235A,00h42m52.8s,-23d32m28s,10.72,-23.54111111,0.022229,96.82835193,Sy 1
NGC2655,08h55m37.7s,+78d13m23s,133.9070833,78.22305556,0.00467,23.8,Sy 2
NGC2885,09h27m18.5s,+23d01m12s,141.8270833,23.02,0.026315,114.9775032,Sy 1
NGC2992,09h45m42.1s,-14d19m35s,146.4254167,-14.32638889,0.00771,31.6,Sy 2
NGC3035,09h51m55.0s,-06d49m23s,147.9791667,-6.823055556,0.014523,62.89480339,Sy 1.8
NGC3079,10h01m57.8s,+55d40m47s,150.4908229,55.6797944,0.003723,25.8,Sy 2
NGC3081,09h59m29.5s,-22d49m35s,149.8729167,-22.82638889,0.007976,32.5,Sy 2
NGC3227,10h23m30.6s,+19d51m54s,155.8775,19.865,0.003859,26.4,Sy 1.5
NGC3281,10h31m52.1s,-34d51m13s,157.9670833,-34.85361111,0.010674,46.09078337,Sy 2
NGC3393,10h48m23.5s,-25d09m43s,162.0979167,-25.16194444,0.012509,54.08995046,Sy 2
NGC3431,10h51m15.0s,-17d00m29s,162.8125,-17.00805556,0.017522,76.05501502,Sy 2
NGC3516,11h06m47.5s,+72d34m07s,166.6979167,72.56861111,0.008836,38.9,Sy 1.5
NGC3718,11h32m34.9s,+53d04m05s,173.1454167,53.06805556,0.003312,17.1,LINER
NGC3783,11h39m01.8s,-37d44m19s,174.7575,-37.73861111,0.00973,38.5,Sy 1
NGC3786,11h39m42.6s,+31d54m33s,174.9275,31.90916667,0.008933,40,Sy 1.8
NGC4051,12h03m09.6s,+44d31m53s,180.79,44.53138889,0.002336,17.1,Sy 1.5
NGC4102,12h06m23.0s,+52d42m40s,181.5958333,52.71111111,0.002823,17.1,LINER
NGC4138,12h09m29.8s,+43d41m07s,182.3741667,43.68527778,0.002962,13.8,Sy 1.9
NGC4151,12h10m32.6s,+39d24m21s,182.6358333,39.40583333,0.003319,11.2,Sy 1.5
NGC4180,12h13m03.0s,+07d02m20s,183.2625,7.038888889,0.006992,31.5,Sy 2
NGC4235,12h17m09.9s,+07d11m30s,184.29125,7.191666667,0.008039,31.5,Sy 1
NGC424,01h11m27.6s,-38d05m00s,17.865,-38.08333333,0.011764,50.83967032,Sy 1
NGC4388,12h25m46.7s,+12d39m44s,186.4445833,12.66222222,0.008419,16.8,Sy 2
NGC4507,12h35m36.6s,-39d54m33s,188.9025,-39.90916667,0.011801,51.00100779,Sy 2
NGC4619,12h41m44.5s,+35d03m46s,190.4354167,35.06277778,0.023106,100.7146967,Sy 1
NGC4748,12h52m12.5s,-13d24m53s,193.0520833,-13.41472222,0.01463,63.36333068,Sy 1 NL
NGC4939,13h04m14.4s,-10d20m23s,196.06,-10.33972222,0.010374,44.78511824,Sy 2
NGC4941,13h04m13.1s,-05d33m06s,196.0545833,-5.551666667,0.003696,14,Sy 2
NGC4992,13h09m05.6s,+11d38m03s,197.2733333,11.63416667,0.025137,109.7340013,Sy 2 XBONG
NGC5033,13h13m27.5s,+36d35m38s,198.3645833,36.59388889,0.002919,18.5,Sy 1.9
