Name,RA_(J2000),DEC_(J2000),Redshift,Dist_[Mpc],BAT_Type,PACS70,PACS70_err,PACS160,PACS160_err,PSW,PSW_err,PMW,PMW_err,PLW,PLW_err,BAT_flux,L_X
2MASXJ10402231-4625264,10h40m22.5s,-46d25m26s,0.023923,104.33963829999999,Sy 2,1.202330943,0.064471445,1.40689835,0.105353418,0.5249344579999999,0.029544179,0.198668436,0.013232787,0.070472054,0.011292756999999999,2.49e-11,3.244140900307337e+43
2MASXJ11454045-1827149,11h45m40.5s,-18d27m16s,0.032949,144.6735842,Sy 1,0.311923945,0.02563625,0.33932609,0.024283002999999997,0.166873023,0.021743027999999998,0.084046317,0.01126612,0.0,0.040628145,5.33e-11,1.3350803332357804e+44
2MASXJ12005792+0648226,12h00m57.9s,+06d48m23s,0.036045,158.6289744,Sy 2,0.522450226,0.027144893,0.917067216,0.060493532,0.41115677,0.042031822,0.153679232,0.017283497,0.057815,0.010560517,2.12e-11,6.384142923419066e+43
2MASXJ12313717-4758019,12h31m37.2s,-47d58m02s,0.027652,120.9395932,Sy 1,1.507478782,0.07944835900000001,1.9550477469999998,0.118933224,0.685237029,0.074936571,0.352456139,0.03584341,0.10733571900000001,0.017117114,1.5499999999999998e-11,2.71312880684917e+43
2MASXJ12335145-2103448,12h33m51.4s,-21d03m45s,0.023036,100.4043152,Sy 1 (58 month),0.34881758399999996,0.018097459,0.285815321,0.027599368,0.10305614,0.008127155,0.04193682,0.007082056999999999,0.0,0.0507345,9.890000000000001e-12,1.1931711830126007e+43
2MASXJ12475784-5829599,12h47m57.8s,-58d30m00s,0.027999999999999997,122.49332109999999,Sy 1.9,0.0,0.09345738599999999,0.0,0.081327027,0.0,0.26594290800000003,0.0,0.223400822,0.0,0.167920965,9.56e-12,1.7166605187453943e+43
2MASXJ13411287-1438407,13h41m12.9s,-14d38m41s,0.04179,184.68687490000002,Sy 1,0.131912586,0.009493167,0.19789190199999998,0.022198222000000004,0.180952516,0.020083985,0.08434095800000001,0.011446783,0.0,0.07152328599999999,2.4100000000000003e-11,9.837637495398938e+43
2MASXJ13512953-1813468,13h51m29.5s,-18d13m47s,0.012218000000000001,52.81994512,Sy 1 NL,0.0,0.075831263,0.0,0.07910802900000001,0.0,0.066681873,0.0,0.08807447800000001,0.0,0.051382172999999996,1.7899999999999998e-11,5.976550998492346e+42
2MASXJ14080674-3023537,14h08m06.8s,-30d23m54s,0.023456,102.26708029999999,Sy 1.4,0.0,0.043070871,0.0,0.133761645,0.0,0.044387284000000006,0.0,0.043199314,0.0,0.08813379699999999,1.72e-11,2.1527909974922616e+43
2MASXJ14530794+2554327,14h53m07.9s,+25d54m33s,0.0465,206.2065531,Sy 1,0.0,0.130813538,0.0,0.129319937,0.0,0.04115611,0.0,0.051592764000000006,0.0,0.057384070999999995,2.3999999999999998e-11,1.22128739481819e+44
2MASXJ15064412+0351444,15h06m44.1s,+03d51m44s,0.0377,166.11409369999998,Sy 2,0.063514243,0.005690004,0.0,0.148222289,0.079356124,0.014462178000000001,0.0,0.050445366,0.0,0.070200366,1.57e-11,5.184588856118019e+43
