Name,IP_dist,IP12,IP12_err,IP25,IP25_err,IP60,IP60_err,IP100,IP100_err
MCG+08-11-011,3.057771,0.632,0.03792,1.98,0.1386,2.8,0.224,4.48,0.3584
MCG+11-11-032,,,,,,,,,
MCG+12-10-067,9.907083,,,0.264,0.02904,0.953,0.08577,2.82,0.1692
Mrk10,23.547124,,,0.283,0.03962,0.848,0.06784,2.23,0.1784
Mrk1018,,,,,,,,,
Mrk1210,1.589822,0.555,0.03885,2.09,0.1672,1.84,0.1656,1.51,0.1359
Mrk1310,,,,,,,,,
Mrk1392,,,,,,,,,
Mrk18,8.60872,,,,,2.08,0.1872,3.18,0.3498
Mrk198,7.265123,,,,,0.63,0.063,,
Mrk202,,,,,,,,,
Mrk279,14.17455,,,0.258,0.02838,1.08,0.1728,2.28,0.1824
Mrk290,,,,,,,,,
Mrk3,4.919031,0.7,0.042,2.84,0.1704,3.91,0.3128,3.49,0.3141
Mrk335,5.756572,0.323,0.05168,0.474,0.05688,0.452,0.0452,,
Mrk348,15.243728,,,0.773,0.0773,1.44,0.144,1.83,0.1647
Mrk352,103.885085,0.468,0.03744,,,,,,
Mrk359,3.28159,,,,,1.26,0.1386,1.83,0.2745
Mrk417,,,,,,,,,
Mrk477,1.645761,,,0.537,0.03759,1.35,0.081,1.85,0.1295
Mrk50,,,,,,,,,
Mrk509,6.529057,0.342,0.03078,0.744,0.05952,1.43,0.1144,1.43,0.2002
Mrk590,57.953903,,,,,0.533,0.0533,1.47,0.147
Mrk595,,,,,,,,,
Mrk6,4.851631,,,0.679,0.06111,1.12,0.1008,,
Mrk618,6.149089,0.334,0.02338,0.795,0.05565,2.75,0.1925,4.08,0.2856
Mrk653,,,,,,,,,
Mrk704,11.305696,,,0.593,0.06523,,,,
Mrk728,,,,,,,,,
Mrk739E,7.928636,,,,,1.43,0.143,2.43,0.243
Mrk766,3.773933,0.408,0.05304,1.38,0.1518,4.06,0.4872,4.25,0.4675
Mrk79,7.446421,0.269,0.0538,0.776,0.06208,1.5,0.12,2.19,0.1533
Mrk817,2.396255,0.36,0.0216,1.22,0.0732,2.24,0.1568,2.28,0.1368
Mrk841,16.639698,,,0.447,0.04917,0.487,0.05357,,
Mrk885,,,,,,,,,
Mrk926,,,,,,,,,
Mrk975,9.57583,,,0.413,0.06608,,,,
NGC1052,6.874957,,,0.501,0.05511,0.938,0.07504,,
NGC1106,13.952452,,,0.424,0.03816,1.27,0.1143,1.92,0.3264
NGC1125,9.617523,,,0.861,0.07749,3.56,0.356,3.91,0.3519
NGC1194,2.370358,,,0.537,0.0537,0.789,0.06312,,
NGC1365,5.43923,3.21,0.1284,11.1,0.555,78.2,7.82,142,9.94
NGC2110,1.547861,0.37,0.0333,0.881,0.07048,4.46,0.4014,6.26,0.6886
NGC235A,115.915912,,,1.1,0.165,10.2,1.122,19,2.47
NGC2655,7.868027,,,,,1.53,0.1377,5.09,0.4581
NGC2885,,,,,,,,,
NGC2992,4.195951,0.594,0.07722,1.37,0.1233,,,14.4,3.168
NGC3035,17.236738,,,,,0.703,0.06327,1.75,0.28
NGC3079,1.661778,1.24,0.0868,2.03,0.1421,42.9,4.719,89,8.01
NGC3081,,,,,,,,,
NGC3227,2.762907,0.667,0.04669,1.74,0.1392,7.98,0.798,17.5,2.1
NGC3281,14.493899,0.877,0.07893,2.56,0.2048,6.76,0.8112,7.68,0.9216
NGC3393,5.759572,,,0.711,0.07821,2.38,0.2856,3.94,0.4728
NGC3431,3.849091,,,,,0.756,0.08316,1.58,0.1738
NGC3516,2.806495,0.453,0.03624,0.919,0.06433,1.74,0.1218,2.17,0.1302
NGC3718,12.458822,,,,,,,2.93,0.293
NGC3783,8.309995,0.768,0.06144,2.44,0.1708,3.37,0.3707,5.12,0.5632
NGC3786,,,,,,,,,
NGC4051,5.327413,0.769,0.06152,1.4,0.126,8.28,0.828,20.9,2.717
NGC4102,3.84386,1.45,0.0725,6.83,0.4098,47.4,4.74,68.5,5.48
NGC4138,,,,,,,,,
NGC4151,,,,,,,,,
NGC4180,4.61149,,,,,4.31,0.5172,10.1,1.313
NGC4235,,,,,,,,,
NGC424,3.30843,1.09,0.0654,1.76,0.1232,1.84,0.1472,2.04,0.1632
NGC4388,3.493336,1,0.08,3.55,0.2485,10.9,1.199,17.8,2.492
