Name,PACS70,PACS70_err,PACS160,PACS160_err,PSW,PSW_err,PSW_flag,PMW,PMW_err,PMW_flag,PLW,PLW_err,PLW_flag
CGCG319-007,0.345076252,0.021561355,0.760401333,0.068180859,0.334556614,0.019643077,A,0.137487157,0.010604352,A,0,0.047139285,U
CGCG341-006,1.135366489,0.059664116,0.956778907,0.097922594,0.3402988,0.019814712,A,0.134855971,0.010355986,A,0.056592521,0.008844855,A
CGCG367-009,0.059152836,0.006668506,0.15370747,0.028582259,0,0.209998785,U,0,0.16639338,U,0,0.10107089,U
CGCG420-015,0.647664663,0.033588206,0.683673846,0.060973683,0.29088441,0.026682592,A,0.175455762,0.022889324,A,0,0.070535211,U
CGCG468-002NED01,2.323458613,0.119142463,2.378104505,0.14332088,1.166348578,0.085709181,AD,0.720293817,0.057160253,AD,0.3084462,0.05668857,AD
CGCG493-002,0.426111154,0.045465493,0.418861019,0.024533747,0.192252397,0.012305526,A,0.092851875,0.009034764,A,0,0.063507029,U
CGCG535-012,0.144537855,0.010973622,0,0.17731544,0.178163655,0.033825899,A,0,0.140484,U,0.061334597,0.011458733,A
ESO005-G004,7.616,0.386520653,22.206,1.111099841,11.9304188,0.810751149,A,5.492176338,0.377786416,A,2.104690636,0.178060017,A
ESO031-G008,0.06909431,0.00491946,0,0.258908693,0.218464715,0.02163721,A,0.114557974,0.019898821,A,0,0.07090221,U
ESO033-G002,0.696989491,0.037777976,0.688894572,0.083387137,0.397654872,0.072756089,A,0,0.265847945,U,0,0.249304995,U
ESO103-035,1.732273592,0.088176148,0.551429837,0.034249895,0.15866197,0.010681534,A,0.073796623,0.008747875,A,0,0.084197223,U
ESO121-IG028,0,0.07451606,0,0.232710871,0.182933263,0.020262467,A,0.089316192,0.015454337,A,0,0.090461146,U
ESO137-34,2.792921989,0.149857638,6.219763106,0.386469666,3.432896,0.4712904,A,1.415379,0.2585983,A,0,0.552903,U
ESO139-G012,0.413790275,0.027039105,2.704,0.141645035,2.310500577,0.207229585,A,1.065075778,0.117638312,A,0.33252773,0.040256845,A
ESO141-G055,0.612783158,0.04115642,1.309911597,0.087933395,0.62866125,0.071992336,A,0.29736314,0.052074165,A,0,0.15039878,U
ESO157-G023,0.082120889,0.007410131,0.588,0.034215036,0.5016085,0.04334299,Ad,0.1931375,0.02038665,AD,0.115694963,0.017920751,AD
ESO195-IG021NED03,0.410581243,0.021102542,0.824056681,0.106299518,0.414665846,0.023648297,A,0.193850276,0.012527259,A,0.071629336,0.01056969,A
ESO197-G027,0.736439791,0.0383325,1.561121137,0.085152378,0.753412076,0.051855478,A,0.354969368,0.030564031,A,0.124929799,0.020014735,A
ESO198-024,0.105601303,0.011680813,0,0.109714848,0.056642245,0.007221988,A,0,0.034262654,U,0,0.060969573,U
ESO209-G012,1.038901543,0.057715779,2.076944821,0.106524962,1.245910846,0.123358131,A,0.569663747,0.066362961,A,0,0.21818379,U
ESO244-IG030,1.425,0.07549602,2.207,0.116155696,1.035471012,0.074157332,A,0.444892368,0.050487106,A,0.11258842,0.019613148,A
ESO263-G013,0.164825852,0.010519179,0,0.196163957,0,1.035164715,U,0,0.69647699,U,0,0.249953145,U
ESO297-018,0.681,0.03720606,1.838,0.094156809,1.358254437,0.111076938,A,0.630654766,0.057968229,A,0.241062273,0.034321392,A
ESO323-077,7.017122307,0.35361738,7.531322177,0.455209617,2.896935393,0.200653968,A,1.148828409,0.090214674,A,0.382384955,0.033439357,A
ESO362-18,1.426137588,0.073190326,1.923211877,0.097530339,0.774014874,0.053301854,A,0.300089233,0.024919309,A,0.107326901,0.018041837,A
ESO374-G044,0.284921938,0.015060881,0.501284123,0.09032,0.400219876,0.058846813,A,0.199151657,0.036794433,A,0,0.107697065,U
ESO383-18,0.654306974,0.04098822,0.753059056,0.069870206,0.251920299,0.015059832,A,0.13221665,0.009652219,A,0.055399087,0.008716213,A
ESO399-20,0.621788682,0.040451967,1.44097872,0.073662848,0.852816093,0.060617161,A,0.404481865,0.041192104,A,0.120880983,0.019505906,A
ESO417-G006,0.244116604,0.013215872,0.142163113,0.027423346,0.044059486,0.00633864,A,0,0.093859499,U,0,0.105459102,U
ESO426-G002,0.196481454,0.01130861,0.630522306,0.339,0.551588196,0.10068721,A,0,0.34211615,U,0,0.16561861,U
ESO439-G009,0.6,0.043565116,1.486,0.078353208,1.205590113,0.100092128,A,0.540637347,0.055976219,A,0.168349024,0.033559659,A
ESO464-G016,0.466325805,0.024096233,0.524011073,0.028136734,0.243811599,0.014763696,Ad,0.136373145,0.018810609,AD,0,0.095920796,UD
ESO479-G031,0.086316659,0.010948945,0,0.15167882,0.046514816,0.007021997,A,0,0.059773109,U,0,0.066970131,U
ESO490-IG026,1.974766104,0.101650435,1.604453695,0.102579054,0.906935109,0.074042914,A,0.405160484,0.05673983,A,0,0.144032495,U
ESO499-G041,0.539730513,0.028158403,0.940264705,0.137384655,0.477197512,0.037165971,A,0.21324174,0.023765382,A,0,0.10105617,U
ESO506-G027,0.52894712,0.036098248,1.219,0.065795624,1.129101825,0.091105995,A,0.547266183,0.057703863,A,0,0.190365385,U
ESO509-G038,0.441310562,0.023404778,0.731621291,0.079455258,0.343821914,0.019829808,A,0.150269263,0.010638359,A,0.060339721,0.00912435,A
ESO509-IG066NED01,0.882703328,0.048252737,1.65590881,0.153646258,0.762615383,0.067706997,A,0.319108638,0.036430803,A,0,0.125088815,U
ESO511-G030,0.707039876,0.348,2.021,0.131985148,2.035090006,0.245447596,A,0.982226623,0.139149947,A,0,0.342311005,U
ESO533-G050,0.102944979,0.015492758,0.811,0.0405,0.658215769,0.07555058,A,0.31384718,0.057789555,A,0,0.168604095,U
