Name,IF_dist,IF12,IF12_err,IF25,IF25_err,IF60,IF60_err,IF100,IF100_err
MCG-01-40-001,6.831163,,,0.357,0.05355,1.94,0.097,,
MCG-02-02-095,117.769063,,,,,0.207,0.05382,,
MCG-02-08-014,12.212944,,,,,0.298,0.03874,,
MCG-02-08-038,,,,,,,,,
MCG-02-12-050,7.014093,,,,,0.636,0.05088,,
MCG-02-14-009,20.555379,,,0.184,0.02576,0.435,0.0609,,
MCG-03-04-072,,,,,,,,,
MCG-03-34-064,16.780749,0.879,0.07032,,,,,,
MCG-05-23-016,,,,,,,,,
MCG-06-30-015,12.23952,0.38,0.0342,0.809,0.05663,1.09,0.0763,,
MCG-07-03-007,15.625587,,,,,0.295,0.04425,,
MCG+00-09-042,10.930717,,,,,2.67,0.2136,,
MCG+01-57-016,4.862059,0.203,0.03654,0.344,0.05848,0.826,0.06608,,
MCG+02-21-013,19.925003,,,,,0.51,0.051,,
MCG+02-57-002,,,,,,,,,
MCG+04-22-042,,,,,,,,,
MCG+04-48-002,,,,,,,,,
MCG+05-03-013,35.160232,,,,,0.944,0.11328,,
MCG+05-28-032,9.644866,,,,,0.692,0.11072,,
MCG+06-16-028,15.64025,0.269,0.03228,0.651,0.05208,,,,
MCG+06-24-008,8.192478,,,,,0.472,0.0472,,
MCG+06-49-019,,,,,,,,,
MCG+08-11-011,3.627213,0.639,0.03834,1.95,0.117,,,,
MCG+11-11-032,,,,,,,,,
MCG+12-10-067,10.255673,,,0.254,0.01778,1,0.05,,
Mrk10,10.566368,0.14,0.0266,0.221,0.02873,0.813,0.04878,,
Mrk1018,,,,,,,,,
Mrk1210,5.863464,0.497,0.03976,2.08,0.1248,,,,
Mrk1310,,,,,,,,,
Mrk1392,24.000885,,,,,0.381,0.04191,,
Mrk18,5.320217,0.144,0.03168,0.252,0.03024,2.16,0.108,,
Mrk198,6.270349,,,,,0.624,0.05616,,
Mrk202,,,,,,,,,
Mrk279,27.41993,0.161,0.01932,,,1.26,0.063,,
Mrk290,67.481422,,,0.185,0.0222,0.171,0.02907,,
Mrk3,3.650191,0.713,0.04991,2.9,0.145,3.77,0.1508,,
Mrk335,20.047547,0.302,0.0302,0.378,0.04158,0.343,0.05145,,
Mrk348,13.797378,0.308,0.0308,0.835,0.0668,1.29,0.1161,,
Mrk352,111.418648,0.472,0.0472,,,,,,
Mrk359,12.41985,,,0.438,0.09636,1.13,0.0791,,
Mrk417,,,,,,,,,
Mrk477,9.800109,0.126,0.0189,0.509,0.02545,1.31,0.0524,,
Mrk50,,,,,,,,,
Mrk509,12.567856,0.316,0.02844,0.702,0.04914,1.36,0.068,,
Mrk590,6.721983,,,,,0.489,0.05868,,
Mrk595,,,,,,,,,
Mrk6,3.438544,0.224,0.02464,0.687,0.03435,1.18,0.059,,
Mrk618,14.949867,0.337,0.02359,0.788,0.0394,2.71,0.1084,,
Mrk653,,,,,,,,,
Mrk704,8.279952,0.354,0.03894,0.532,0.05852,0.364,0.04368,,
Mrk728,,,,,,,,,
Mrk739E,13.7677,,,0.309,0.04326,1.26,0.126,,
Mrk766,8.933652,0.386,0.03474,1.3,0.091,4.03,0.2821,,
Mrk79,8.129301,0.306,0.02754,0.763,0.04578,1.5,0.09,,
Mrk817,2.674033,0.336,0.02016,1.18,0.059,2.12,0.0848,,
Mrk841,6.196265,0.192,0.02496,0.473,0.0473,0.459,0.04131,,
Mrk885,18.046299,,,0.0877,0.013155,0.265,0.03445,,
Mrk926,,,,,,,,,
Mrk975,12.198177,0.249,0.03486,,,,,,
NGC1052,24.842042,0.203,0.02233,0.491,0.04419,0.903,0.05418,,
NGC1106,12.514337,,,0.421,0.03368,,,,
NGC1125,11.898028,0.174,0.0261,0.831,0.04986,3.31,0.2979,,
NGC1194,8.270636,0.266,0.0266,0.512,0.04096,0.77,0.0539,,
NGC1365,2.265864,3.37,0.1348,10.8,0.54,76.1,4.566,,
NGC2110,13.387769,0.349,0.02792,0.84,0.0504,,,,
NGC235A,107.429357,0.327,0.03597,1.08,0.0648,10,0.5,,
NGC2655,3.210601,0.176,0.02288,0.211,0.0211,1.67,0.0835,,
NGC2885,12.8062,,,,,0.222,0.03774,,
NGC2992,29.861212,0.493,0.03944,1.26,0.0756,,,,
NGC3035,17.245267,,,,,0.653,0.05877,,
NGC3079,3.742936,1.52,0.076,2.27,0.1135,44.5,2.67,,
NGC3081,,,,,,,,,
NGC3227,12.150318,0.667,0.04669,1.76,0.1056,7.83,0.3915,,
NGC3281,1.410866,0.89,0.1157,2.63,0.1841,,,,
NGC3393,1.406258,,,0.753,0.06024,2.25,0.225,,
NGC3431,6.859113,,,,,0.645,0.0645,,
NGC3516,8.730363,0.426,0.02556,0.894,0.0447,1.76,0.0704,,
NGC3718,4.10772,0.169,0.02873,,,0.697,0.0697,,
NGC3783,6.480336,0.84,0.0588,2.49,0.1494,3.26,0.1956,,
NGC3786,,,,,,,,,
NGC4051,3.691285,0.855,0.0513,1.59,0.0954,7.13,0.9269,,
NGC4102,6.422749,1.51,0.0755,6.76,0.338,46.9,1.876,,
NGC4138,,,,,,,,,
NGC4151,,,,,,,,,
NGC4180,2.646278,0.231,0.04389,0.446,0.05798,4.08,0.408,,
NGC4235,15.57991,,,,,0.316,0.04424,,
NGC424,9.580403,1.1,0.055,1.74,0.087,1.8,0.126,,
NGC4388,12.457955,0.996,0.0996,3.46,0.2422,10.2,0.816,,
NGC4507,7.109164,0.457,0.0457,1.39,0.139,4.31,0.3017,,
NGC4619,23.644967,,,,,1.07,0.0749,,
NGC4748,19.854512,,,,,1.16,0.0812,,
NGC4939,11.718865,,,,,2.02,0.1414,,
