Name,_r,_RAJ2000,_DEJ2000,RA2000,DE2000,GLON,GLAT,SGLON,SGLAT,name,altname,desig,PGC,type,typesr,T,e_T,lumcl,e_lumcl,o_lumcl,D25,u_D25,e_D25,R25,u_R25,e_R25,Do,Ae,e_Ae,PA,BT,BT_code,e_BT,Bmag,e_Bmag,BoT,m'25,e_m'25,m'e,e_m'e,mFIR,m21,e_m21,B-VT,e_B-VT,B-Ve,e_B-Ve,B-VoT,U-BT,e_U-BT,U-Be,e_U-Be,U-BoT,HI,Ai,A21,Ag,W20,e_W20,W50,e_W50,V21,e_V21,cz,e_cz,VGSR,V3K
Mrk975,0.116,18.4645,13.2719,11351.4,131619,131.3,-49.24,310.49,-0.85,,UGC774,MK975,PGC4428,.S?....,,,,,,,0.95,,0.07,0.14,,0.05,0.96,,,95.0,,,,14.76,0.18,14.23,,,,,,17.83,0.2,,,,,,,,,,,3.53,0.21,0.07,0.1,538.0,26.0,335.0,19.0,14880.0,10.0,14806.0,44.0,14981.0,14563.0
NGC1052,0.046,40.2707,-8.2561,24104.9,-81522,182.02,-57.93,295.24,-27.66,NGC1052,MCG-1-7-34,IRAS02386-0828,PGC10175,.E.4...,R,-5.0,0.3,,,,1.48,,0.03,0.16,,0.03,1.44,1.05,0.02,120.0,11.41,,0.13,11.48,0.22,11.35,13.41,0.2,12.15,0.07,13.35,14.97,0.1,0.94,0.01,1.0,0.01,0.91,0.43,0.01,0.53,0.01,0.42,3.62,0.0,,0.06,368.0,8.0,350.0,6.0,1507.0,5.0,1474.0,10.0,1485.0,1282.0
NGC1106,0.028,42.6694,41.6716,25040.6,414018,145.64,-15.88,344.91,-9.65,NGC1106,UGC2322,IRAS02474+4127,PGC10792,.LA.+..,U,-1.0,0.8,,,,1.25,,0.06,0.0,,0.03,1.28,,,,,,,13.3,0.3,12.92,,,,,12.96,,,,,,,,,,,,,,0.0,,0.32,,,,,,,4205.0,39.0,4321.0,4020.0
NGC1194,0.068,45.9557,-1.1039,30349.3,-10614,179.18,-48.96,304.9,-31.2,NGC1194,UGC2514,IRAS03012-0117,PGC11537,.LA.+*.,UE,-0.5,0.6,,,,1.25,,0.05,0.25,,0.05,1.23,0.91,0.04,140.0,13.83,,0.15,14.21,0.19,,14.32,0.3,13.87,0.13,,,,0.96,0.03,1.04,0.02,,0.45,0.05,0.52,0.04,,,0.0,,0.24,,,,,,,,,,
NGC1365,0.164,53.4027,-36.138,33336.6,-360817,237.95,-54.6,261.9,-40.97,NGC1365,ESO358-17,VV825,PGC13179,.SBS3..,R,3.0,0.3,1.3,0.4,4.0,2.05,,0.01,0.26,,0.02,2.05,1.44,0.03,32.0,10.32,M,0.07,10.23,0.15,9.93,14.77,0.11,12.93,0.07,8.24,11.84,0.1,0.69,0.01,0.77,0.01,0.59,0.16,0.03,0.13,0.03,0.09,1.78,0.36,0.13,0.0,398.0,6.0,370.0,6.0,1662.0,4.0,1675.0,11.0,1541.0,1558.0
NGC2110,0.047,88.0481,-7.4567,55211.5,-72724,212.93,-16.55,322.88,-72.55,NGC2110,MCG-1-15-4,,PGC18030,.LX.-..,E,-3.0,0.8,,,,1.23,,0.09,0.13,,0.07,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.56,,,,,,,2284.0,32.0,2153.0,2342.0
NGC235A,0.271,10.7232,-23.5444,4253.5,-233240,94.15,-85.93,272.97,-3.53,NGC235A,ESO474-17,,PGC2570,.E.0.?P,S,-5.0,1.7,,,,0.55,,0.17,0.0,,0.04,0.55,,,,,,,13.94,0.21,13.78,,,,,,,,,,,,,,,,,,,0.0,,0.06,,,,,,,6798.0,69.0,6807.0,6507.0
NGC2655,0.098,133.9112,78.2245,85538.7,781328,134.92,32.69,32.36,5.46,NGC2655,UGC4637,ARP225,PGC25069,.SXS0..,R,0.0,0.3,,,,1.69,,0.02,0.08,,0.03,1.69,1.11,0.02,,10.96,,0.13,10.9,0.14,10.82,14.07,0.18,12.0,0.05,12.36,13.42,0.1,0.86,0.01,0.91,0.01,0.83,0.43,0.02,0.46,0.01,0.42,2.6,0.06,,0.03,356.0,5.0,182.0,5.0,1404.0,5.0,1407.0,40.0,1540.0,1427.0
NGC2992,0.074,146.4257,-14.3275,94542.1,-141939,249.71,28.78,120.4,-48.83,NGC2992,MCG-2-25-14,IRAS09432-1405,PGC27982,.S..1P.,R,1.0,0.3,,,,1.55,,0.02,0.51,,0.04,1.57,0.76,0.01,,13.14,,0.13,12.63,0.19,12.16,14.44,0.2,12.43,0.04,10.98,14.11,0.1,0.96,0.02,1.01,0.01,0.75,0.4,0.03,0.38,0.02,0.24,1.7,0.52,0.25,0.27,433.0,6.0,355.0,5.0,2314.0,6.0,2334.0,24.0,2125.0,2644.0
NGC3035,0.012,147.9794,-6.8231,95155.0,-64923,244.27,34.89,110.01,-45.81,NGC3035,MCG-1-25-52,IRAS09494-0635,PGC28415,.SBT4..,E,4.0,0.8,3.1,0.8,1.0,1.21,,0.05,0.06,,0.05,1.23,,,,,,,,,,,,,,13.37,,,,,,,,,,,,,,0.09,0.03,0.19,,,,,,,,,,
NGC3079,0.092,150.4927,55.6787,100158.2,554043,157.81,48.36,50.98,-8.53,NGC3079,UGC5387,IRAS09585+5555,PGC29050,.SBS5./,R,7.0,0.4,3.0,1.3,1.0,1.9,,0.01,0.74,,0.02,1.9,1.21,0.02,165.0,11.54,,0.14,11.34,0.14,10.41,14.04,0.17,13.08,0.04,9.0,12.16,0.1,0.68,0.02,0.8,0.01,0.67,0.03,0.03,0.18,0.02,0.03,1.38,1.03,0.37,0.0,473.0,7.0,435.0,5.0,1125.0,6.0,1101.0,29.0,1182.0,1285.0
NGC3081,0.088,149.874,-22.825,95929.7,-224930,259.02,25.04,133.24,-46.05,NGC3081,ESO499-31,,PGC28876,RSXR0..,4,0.0,0.3,,,,1.32,,0.02,0.11,,0.03,1.33,0.91,0.03,158.0,12.85,M,0.05,12.84,0.15,12.59,14.04,0.15,12.91,0.1,,14.43,0.2,0.87,0.02,0.94,0.02,0.8,0.28,0.02,0.3,0.02,0.28,1.84,0.08,,0.14,266.0,6.0,254.0,5.0,2367.0,9.0,2391.0,34.0,2164.0,2694.0
NGC3227,0.255,155.8815,19.8634,102331.5,195148,217.0,55.45,83.38,-27.63,NGC3227,UGC5620,IRAS10207+2007,PGC30445,.SXS1P.,R,1.0,0.3,3.5,0.9,1.0,1.73,,0.02,0.17,,0.03,1.74,1.42,0.06,155.0,11.1,,0.2,11.59,0.17,11.18,14.19,0.24,13.71,0.2,10.79,14.02,0.1,0.82,0.03,0.83,0.01,0.76,0.27,0.04,0.25,0.02,0.23,2.76,0.17,0.08,0.02,419.0,4.0,391.0,5.0,1157.0,3.0,1145.0,18.0,1079.0,1472.0
NGC3281,0.232,157.9678,-34.8575,103152.2,-345127,273.01,19.78,148.72,-38.07,NGC3281,ESO375-55,IRAS10295-3435,PGC31090,.SAS2P*,RBCSr,2.1,0.3,,,,1.52,,0.03,0.3,,0.03,1.55,1.05,0.05,140.0,12.7,,0.2,12.6,0.15,11.92,14.4,0.26,13.44,0.15,11.25,,,0.98,0.03,1.05,0.02,0.78,,,0.47,0.07,,,0.37,0.15,0.31,,,,,,,3439.0,41.0,3224.0,3748.0
NGC3393,0.167,162.1007,-25.1611,104824.1,-250940,270.66,29.89,136.47,-34.92,NGC3393,ESO501-100,,PGC32300,PSBT1*.,Sr,1.0,0.4,,,,1.34,,0.03,0.04,,0.04,1.37,,,,,,,13.09,0.21,12.64,,,,,,,,,,,,,,,,,,,0.04,0.02,0.36,,,,,,,3730.0,60.0,3532.0,4067.0
NGC3431,0.01,162.8128,-17.0081,105115.0,-170029,266.03,37.11,126.71,-33.54,NGC3431,MCG-3-28-14,IRAS10487-1644,PGC32531,.SX.3?.,E,3.0,1.3,1.9,1.2,1.0,1.11,,0.06,0.62,,0.05,1.12,,,,,,,,,,,,,,13.38,,,,,,,,,,,,,,0.85,0.31,0.11,,,,,5376.0,,,,5195.0,5727.0
NGC3516,0.094,166.6973,72.5701,110647.3,723412,133.24,42.4,42.05,7.3,NGC3516,UGC6153,IRAS11033+7250,PGC33623,RLBS0*.,R,-2.0,0.4,,,,1.24,,0.03,0.11,,0.04,1.24,0.58,0.07,,12.5,v,0.2,12.28,0.13,12.14,13.33,0.27,10.92,0.25,12.69,,,0.81,0.03,0.79,0.03,0.76,-0.06,0.05,-0.08,0.05,-0.07,,0.0,,0.1,,,,,,,2624.0,21.0,2749.0,2696.0
NGC3718,0.148,173.149,53.0665,113235.7,530359,147.01,60.22,60.68,0.74,NGC3718,UGC6524,ARP214,PGC35616,.SBS1P.,R,1.0,0.3,,,,1.91,,0.02,0.31,,0.03,1.91,1.3,0.02,15.0,11.59,M,0.1,11.32,0.17,11.19,15.19,0.15,13.61,0.04,13.12,12.43,0.0,0.81,0.02,0.92,0.01,0.72,0.29,0.03,0.4,0.02,0.22,1.08,0.32,0.16,0.0,470.0,3.0,455.0,3.0,994.0,3.0,1031.0,40.0,1059.0,1180.0
NGC3783,0.039,174.7578,-37.7389,113901.8,-374420,287.46,22.95,151.24,-24.42,NGC3783,ESO378-14,IRAS11365-3727,PGC36101,PSBR2..,RBCSr,1.5,0.3,1.7,0.6,2.0,1.28,,0.04,0.05,,0.04,1.32,,,,,,,12.64,0.15,12.04,,,,,11.9,,,,,,,,,,,,,,0.07,0.03,0.5,,,,,,,2926.0,28.0,2728.0,3231.0
NGC3786,0.025,174.927,31.9098,113942.4,315435,191.58,73.7,80.48,-6.93,NGC3786,UGC6621,MK744,PGC36158,.SXT1P.,R,1.0,0.4,,,,1.34,,0.02,0.23,,0.03,1.34,,,77.0,,,,13.24,0.18,12.97,,,,,,14.58,0.1,,,,,,,,,,,1.49,0.24,0.12,0.0,451.0,4.0,308.0,5.0,2723.0,4.0,2722.0,24.0,2714.0,3006.0
NGC4051,0.012,180.7903,44.5315,120309.6,443153,148.88,70.08,70.48,2.06,NGC4051,UGC7030,IRAS12005+4448,PGC38068,.SXT4..,R,4.0,0.3,3.3,0.5,2.0,1.72,,0.02,0.13,,0.02,1.72,1.48,0.02,135.0,10.83,M,0.1,11.31,0.2,10.74,13.98,0.14,13.61,0.05,10.68,13.25,0.1,0.65,0.04,0.69,0.01,0.6,,,0.01,0.02,,2.45,0.18,0.06,0.0,293.0,4.0,247.0,5.0,725.0,5.0,688.0,13.0,765.0,945.0
NGC4102,0.062,181.5978,52.7115,120623.4,524241,138.08,63.07,62.95,5.31,NGC4102,UGC7096,IRAS12038+5259,PGC38392,.SXS3$.,R,3.0,0.6,3.1,0.6,2.0,1.48,,0.03,0.24,,0.03,1.48,,,38.0,11.99,S,0.15,11.92,0.15,11.61,13.64,0.21,,,9.05,14.67,0.1,,,,,,,,,,,2.94,0.33,0.12,0.01,315.0,8.0,283.0,6.0,837.0,7.0,877.0,40.0,911.0,1021.0
NGC4138,0.248,182.3786,43.6878,120930.8,434116,147.29,71.4,71.66,2.85,NGC4138,UGC7139,,PGC38643,.LAR+..,R,-1.0,0.3,,,,1.41,,0.03,0.18,,0.04,1.38,0.81,0.04,150.0,12.16,,0.15,12.08,0.12,12.1,13.63,0.24,11.7,0.14,,14.34,0.3,0.84,0.04,0.86,0.02,0.83,0.3,0.05,0.34,0.03,0.31,2.24,0.0,,0.0,335.0,11.0,284.0,5.0,923.0,6.0,1039.0,56.0,969.0,1151.0
NGC4151,0.156,182.6378,39.4078,121033.0,392428,155.07,75.06,75.78,1.63,NGC4151,UGC7166,KUG1208+396A,PGC38739,PSXT2*.,R,2.0,0.3,,,,1.8,,0.02,0.15,,0.03,1.8,0.66,0.05,50.0,11.5,v,0.2,10.9,0.15,10.71,14.97,0.23,10.29,0.15,,13.02,0.0,0.73,0.03,0.58,0.03,0.67,-0.17,0.04,-0.5,0.04,-0.21,2.24,0.18,0.07,0.0,143.0,3.0,115.0,3.0,995.0,3.0,956.0,11.0,1022.0,1238.0
NGC4180,0.169,183.2599,7.0389,121302.3,70220,276.78,67.94,106.74,-8.1,NGC4180,UGC7219,VCC73,PGC38964,.S..2*.,P,2.0,1.2,,,,1.21,,0.04,0.42,,0.04,1.21,,,22.0,,,,13.49,0.14,12.96,,,,,11.43,16.23,0.2,,,,,,,,,,,3.06,0.51,0.21,0.0,416.0,16.0,404.0,12.0,2082.0,11.0,,,2002.0,2423.0
NGC4235,0.234,184.2874,7.192,121708.9,71131,279.17,68.47,106.89,-7.08,NGC4235,UGC7310,VCC222,PGC39389,.SAS1./,R,1.0,0.3,,,,1.62,,0.02,0.65,,0.02,1.62,0.95,0.02,48.0,12.62,M,0.09,12.56,0.08,11.89,13.92,0.13,12.83,0.05,14.32,15.72,0.3,0.98,0.02,1.01,0.02,0.79,0.36,0.03,0.43,0.03,0.21,3.5,0.67,0.33,0.0,335.0,6.0,273.0,5.0,2410.0,10.0,2343.0,33.0,2327.0,2743.0
NGC424,0.077,17.8666,-38.0827,11127.9,-380458,283.19,-78.27,260.07,-12.79,NGC424,ESO296-4,,PGC4274,RSBR0*.,BSr,0.4,0.5,,,,1.26,,0.04,0.35,,0.05,1.24,,,60.0,,,,13.73,0.21,13.4,,,,,,,,,,,,,,,,,,,0.26,,0.02,,,,,,,3450.0,53.0,3397.0,3225.0
NGC4388,0.066,186.4461,12.6617,122547.0,123942,279.12,74.34,102.26,-3.45,NGC4388,UGC7520,VCC836,PGC40581,.SAS3*/,R,3.0,0.4,3.5,1.0,1.0,1.75,,0.01,0.64,,0.02,1.76,1.19,0.01,92.0,11.76,M,0.09,11.87,0.08,10.79,13.73,0.12,13.25,0.04,10.55,15.29,0.1,0.74,0.01,0.78,0.01,0.47,0.15,0.03,0.13,0.02,-0.04,4.18,0.89,0.32,0.12,385.0,5.0,371.0,6.0,2517.0,4.0,2538.0,26.0,2463.0,2843.0
NGC4507,0.112,188.9049,-39.9087,123537.1,-395431,299.64,22.86,154.59,-13.66,NGC4507,ESO322-29,IRAS12329-3938,PGC41960,PSXT3..,V,3.0,0.4,2.3,0.6,2.0,1.22,,0.04,0.1,,0.04,1.26,0.96,0.04,,12.92,S,0.1,12.78,0.15,12.28,13.64,0.26,12.91,0.11,11.65,,,0.85,0.02,0.9,0.01,0.69,0.13,0.03,0.14,0.02,0.0,,0.13,0.05,0.44,,,,,,,3499.0,29.0,3320.0,3782.0
