Name,_r,_RAJ2000,_DEJ2000,RA2000,DE2000,GLON,GLAT,SGLON,SGLAT,name,altname,desig,PGC,type,typesr,T,e_T,lumcl,e_lumcl,o_lumcl,D25,u_D25,e_D25,R25,u_R25,e_R25,Do,Ae,e_Ae,PA,BT,BT_code,e_BT,Bmag,e_Bmag,BoT,m'25,e_m'25,m'e,e_m'e,mFIR,m21,e_m21,B-VT,e_B-VT,B-Ve,e_B-Ve,B-VoT,U-BT,e_U-BT,U-Be,e_U-Be,U-BoT,HI,Ai,A21,Ag,W20,e_W20,W50,e_W50,V21,e_V21,cz,e_cz,VGSR,V3K
NGC6860,0.085,302.193,-61.0989,200846.2,-610556,335.79,-32.79,215.43,11.79,NGC6860,ESO143-9,IRAS20044-6114,PGC64166,PSBR3..,Sr,2.6,0.6,,,,1.13,,0.04,0.25,,0.04,1.13,,,34.0,,,,13.68,0.21,13.21,,,,,12.94,,,,,,,,,,,,,,0.34,0.12,0.09,,,,,,,4462.0,24.0,4385.0,4377.0
NGC7172,0.09,330.5071,-31.8686,220201.6,-315207,15.13,-53.06,249.34,24.66,NGC7172,ESO466-38,IRAS21591-3206,PGC67874,.S..1P/,PS,1.4,0.5,,,,1.39,,0.02,0.25,,0.03,1.39,1.01,0.01,100.0,12.85,M,0.1,12.72,0.21,12.54,14.01,0.17,13.28,0.03,11.12,,,0.94,0.02,1.03,0.01,0.85,0.39,0.03,0.48,0.01,0.32,,0.26,0.13,0.0,,,,,,,2586.0,15.0,2622.0,2317.0
NGC7213,0.131,332.3208,-47.1661,220916.9,-470958,349.59,-52.58,238.07,13.57,NGC7213,ESO288-43,IRAS22061-4724,PGC68165,.SAS1*.,R,1.0,0.3,,,,1.49,,0.04,0.05,,0.04,1.49,1.02,0.03,,11.01,,0.13,11.49,0.16,11.13,13.2,0.25,11.6,0.09,11.79,13.79,0.3,0.89,0.01,0.93,0.01,0.86,0.35,0.03,0.42,0.01,0.34,2.63,0.05,0.03,0.0,444.0,12.0,,,1792.0,9.0,1803.0,32.0,1767.0,1587.0
NGC7465,0.043,345.5037,15.9655,230200.8,155756,88.07,-39.39,305.94,30.83,NGC7465,UGC12317,MK313,PGC70295,PLBS0*.,PU,-1.5,0.6,,,,1.09,,0.03,0.19,,0.03,1.08,0.39,0.01,,13.31,,0.13,13.31,0.19,13.07,13.14,0.21,10.75,0.05,11.9,14.15,0.2,0.75,0.01,0.75,0.01,0.68,0.04,0.01,0.02,0.02,0.01,1.08,0.0,,0.21,298.0,34.0,142.0,13.0,1956.0,7.0,1999.0,21.0,2135.0,1606.0
NGC7469,0.062,345.8154,8.8747,230315.6,85229,83.1,-45.47,297.97,29.17,NGC7469,UGC12332,IRAS23007+0836,PGC70348,PSXT1..,R,1.0,0.4,,,,1.17,,0.02,0.14,,0.03,1.18,0.23,0.05,125.0,13.0,v,0.2,12.98,0.14,12.64,13.34,0.25,9.64,0.15,9.7,16.22,0.1,0.66,0.04,0.47,0.03,0.55,-0.4,0.03,-0.69,0.03,-0.44,3.51,0.15,0.07,0.13,386.0,8.0,350.0,15.0,4916.0,6.0,4846.0,10.0,5053.0,4536.0
NGC7479,0.147,346.2383,12.3217,230457.1,121918,86.27,-42.84,301.94,29.49,NGC7479,UGC12343,IRAS23024+1203,PGC70419,.SBS5..,R,5.0,0.3,1.8,0.6,2.0,1.61,,0.02,0.12,,0.02,1.63,1.28,0.02,25.0,11.6,M,0.05,11.47,0.15,11.22,14.22,0.11,13.53,0.04,10.37,13.5,0.1,0.75,0.01,0.83,0.01,0.66,0.14,0.02,0.23,0.01,0.07,2.22,0.18,0.06,0.17,377.0,3.0,348.0,3.0,2378.0,3.0,2394.0,21.0,2544.0,2021.0
NGC7582,0.07,349.5975,-42.3697,231823.3,-422211,348.08,-65.7,249.15,6.23,NGC7582,ESO291-16,IRAS23156-4238,PGC71001,PSBS2..,R,2.0,0.3,,,,1.7,,0.02,0.38,,0.02,1.7,1.21,0.02,157.0,11.37,M,0.07,11.26,0.15,10.83,13.76,0.13,12.79,0.05,9.02,13.32,0.3,0.75,0.01,0.82,0.01,0.6,0.25,0.02,0.26,0.01,0.15,2.3,0.46,0.19,0.04,382.0,8.0,224.0,11.0,1575.0,7.0,1564.0,22.0,1551.0,1334.0
NGC7603,0.016,349.7358,0.2436,231856.5,1437,80.07,-54.74,289.83,23.14,NGC7603,UGC12493,MK530,PGC71035,.SAT3*P,R,3.0,0.4,,,,1.19,,0.04,0.18,,0.04,1.2,,,165.0,,,,14.04,0.19,13.6,,,,,13.18,,,,,,,,,,,,,,0.25,0.09,0.12,,,,,,,8851.0,22.0,8978.0,8492.0
NGC7679,0.079,352.1958,3.5114,232846.9,33041,86.68,-53.44,293.96,21.69,NGC7679,UGC12618,MK534,PGC71554,.LB..P*,R,-2.0,0.4,,,,1.13,,0.03,0.19,,0.03,1.13,0.27,0.01,93.0,13.47,,0.13,13.0,0.12,12.89,13.5,0.19,10.31,0.02,11.1,15.5,0.2,0.54,0.01,0.49,0.02,0.43,-0.13,0.02,-0.15,0.03,-0.14,2.61,0.0,,0.25,304.0,4.0,286.0,5.0,5138.0,4.0,5119.0,16.0,5270.0,4778.0
NGC788,0.066,30.277,-6.8169,20106.4,-64901,165.26,-63.81,294.17,-17.7,NGC788,MCG-1-6-25,,PGC7656,.SAS0*.,R,0.0,0.6,,,,1.28,,0.04,0.12,,0.04,1.28,0.77,0.02,,13.0,,0.13,13.08,0.22,12.8,13.94,0.24,12.34,0.05,,,,0.91,0.01,0.95,0.01,0.84,0.43,0.02,0.48,0.02,0.42,,0.09,,0.07,,,,,,,4109.0,41.0,4125.0,3845.0
NGC931,0.149,37.0628,31.3127,22815.0,311846,146.12,-27.16,333.48,-10.65,NGC931,UGC1935,MK1040,PGC9399,.SA.4..,U,4.0,0.7,2.5,1.0,1.0,1.59,,0.03,0.67,,0.06,1.62,,,,,,,13.57,0.2,12.23,,,,,12.05,13.67,0.2,,,,,,,,,,,1.1,0.99,0.34,0.32,476.0,9.0,440.0,10.0,4993.0,7.0,4914.0,41.0,5096.0,4766.0
NGC985,0.183,38.6561,-8.7855,23437.4,-84708,180.83,-59.49,294.26,-26.23,NGC985,MCG-2-7-35,MK1048,PGC9817,.RINGP.,PE,10.0,0.8,,,,0.98,,0.05,0.01,,0.05,0.99,0.64,0.02,,14.01,,0.13,,,13.89,13.74,0.3,12.7,0.06,12.85,,,0.63,0.01,0.59,0.02,0.52,-0.56,0.02,-0.59,0.03,-0.63,,0.01,0.01,0.1,,,,,,,12929.0,30.0,12916.0,12703.0
PICTORA,0.137,79.9594,-45.7805,51950.2,-454650,251.6,-34.63,235.0,-53.93,A0518-45,ESO252-18A,,PGC17116,PLA.0*P,S,-2.0,1.3,,,,0.91,,0.09,0.11,,0.04,0.91,,,,16.2,,0.4,,,15.94,15.35,0.61,,,,,,0.85,0.08,,,0.73,-0.39,0.18,,,-0.35,,0.0,,0.1,,,,,,,10495.0,42.0,10308.0,10524.0
UGC01479,0.476,30.0753,24.4666,20018.0,242800,142.33,-35.79,324.64,-7.71,,UGC1479,IRAS01574+2413,PGC7594,.S?....,,,,,,,0.99,,0.06,0.57,,0.05,1.02,,,176.0,,,,14.94,0.22,13.64,,,,,12.57,,,,,,,,,,,,,,0.86,0.29,0.37,,,,,4927.0,,,,5032.0,4665.0
UGC03478,0.024,98.1972,63.6739,63247.3,634026,151.43,22.12,23.94,-10.5,,UGC3478,IRAS06280+6342,PGC19228,.S..3..,U,3.0,0.9,2.5,1.2,1.0,1.21,,0.05,0.49,,0.05,1.24,,,42.0,,,,13.6,0.2,12.52,,,,,12.64,14.89,0.1,,,,,,,,,,,2.12,0.68,0.25,0.37,389.0,34.0,361.0,8.0,3830.0,9.0,,,3928.0,3848.0
UGC03601,0.049,103.9573,40.0003,65549.7,400001,176.5,17.83,26.64,-34.29,,UGC3601,,PGC19875,.S?....,,,,,,,0.74,,0.12,0.13,,0.06,0.78,,,5.0,,,,14.8,0.3,14.08,,,,,,,,,,,,,,,,,,,0.18,0.06,0.46,,,,,,,5163.0,37.0,5170.0,5253.0
UGC03995A,0.323,116.0352,29.2478,74408.4,291452,190.88,23.56,41.27,-43.51,A0741+29,UGC3995,,PGC21673,.S...P.,R,,,,,,1.4,,0.04,0.35,,0.05,1.4,,,85.0,,,,13.28,0.18,12.6,,,,,,15.16,0.1,,,,,,,,,,,2.39,0.52,0.17,0.09,453.0,7.0,440.0,6.0,4750.0,5.0,4769.0,25.0,4705.0,4919.0
UGC05881,0.902,161.6753,25.9167,104642.0,255500,208.22,62.15,80.62,-19.96,,UGC5881,IRAS10439+2611,PGC32188,.S..1..,U,1.0,0.9,,,,1.05,,0.06,0.36,,0.05,1.05,,,55.0,,,,14.87,0.18,,,,,,12.64,,,,,,,,,,,,,,0.37,0.18,0.04,,,,,,,,,,
UGC06728,0.639,176.3752,79.6834,114530.0,794100,126.58,36.97,36.53,12.41,,UGC6728,,PGC36651,.SB.0..,U,0.0,0.9,,,,0.89,,0.1,0.19,,0.06,0.89,,,160.0,,,,14.89,0.19,,,,,,,,,,,,,,,,,,,,0.14,,0.19,,,,,,,,,,
UGC07064,0.14,181.1832,31.1762,120443.9,311034,188.5,79.04,83.14,-2.24,,UGC7064,KUG1202+314A,PGC38227,.S?....,,,,,,,0.93,,0.05,0.0,,0.04,0.93,,,,,,,14.22,0.19,14.11,,,,,,18.19,0.2,,,,,,,,,,,4.08,0.0,0.0,0.0,111.0,7.0,,,7494.0,6.0,7480.0,27.0,7492.0,7774.0
UGC10593,0.34,253.0755,55.9,165218.0,555400,84.36,38.71,49.67,43.5,,UGC10593,IRAS16513+5559,PGC59159,.S..2..,U,2.0,0.9,,,,1.18,,0.05,0.43,,0.05,1.18,,,87.0,,,,14.94,0.2,,,,,,13.91,,,,,,,,,,,,,,0.53,0.22,0.0,,,,,,,,,,
UGC12282,0.085,344.732,40.9316,225855.6,405554,101.05,-17.11,335.27,32.02,,UGC12282,IRAS22566+4039,PGC70163,.S..1..,U,1.0,0.9,,,,1.28,,0.04,0.56,,0.05,1.33,,,1.0,,,,14.49,0.19,,,,,,12.87,,,,,,,,,,,,,,0.57,0.28,0.55,,,,,,,,,,
UGC12741,0.149,355.4783,30.5811,234154.7,303452,105.67,-29.95,323.46,23.43,,UGC12741,IRAS23394+3018,PGC72148,.S..1..,U,1.0,1.0,,,,1.03,,0.06,0.55,,0.05,1.05,,,102.0,,,,14.57,0.23,13.65,,,,,,15.51,0.3,,,,,,,,,,,1.58,0.56,0.28,0.29,,,385.0,7.0,5230.0,10.0,5240.0,118.0,5418.0,4905.0
UM614,0.075,207.4708,2.0781,134952.9,20441,334.6,61.3,118.18,13.76,,CGCG17-73,,PGC49078,,,,,,,,,,,,,,,,,,,,,15.03,0.18,14.84,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,9830.0,150.0,9792.0,10110.0
