Name,J_2MASS,J_2MASS_err,H_2MASS,H_2MASS_err,K_2MASS,K_2MASS_err,2MASS_cat
IIZw083,,11.915,12.263,0.082,11.159,0.039,PSC
IRAS03219+4031,14.178,0.051,13.307,0.044,12.84,0.059,XSC
IRAS04124-0803,12.734,0.033,11.924,0.038,10.916,0.023,PSC
IRAS05078+1626,13.391,0.05,12.587,0.06,11.606,0.035,PSC
IRAS05218-1212,12.73,0.024,11.883,0.023,11.184,0.036,XSC
IRAS05589+2828,12.231,0.028,11.222,0.031,10.14,0.02,PSC
KAZ320,13.575,0.037,12.721,0.041,12.058,0.04,XSC
KUG1141+371,12.937,0.036,12.232,0.051,11.801,0.06,XSC
KUG1208+386,12.295,0.026,11.541,0.036,11.055,0.043,XSC
LCRSB034324.7-394349,12.517,0.025,11.604,0.026,10.912,0.033,XSC
LCRSB232242.2-384320,12.264,0.023,11.586,0.029,11.212,0.043,XSC
LEDA138501,13.974,0.029,13.441,0.034,12.743,0.027,PSC
LEDA170194,12.225,0.038,11.555,0.047,11.083,0.071,XSC
LEDA214543,12.647,0.031,11.887,0.038,11.489,0.05,XSC
LEDA38038,11.745,0.033,10.812,0.038,10.065,0.031,XSC
M106,6.512,0.016,5.841,0.016,5.598,0.016,LGA
MCG-01-05-047,10.763,0.015,9.879,0.017,9.47,0.022,XSC
MCG-01-09-045,11.593,0.021,10.896,0.028,10.654,0.05,XSC
MCG-01-13-025,11.276,0.018,10.555,0.023,10.159,0.036,XSC
MCG-01-24-012,12.668,0.032,11.868,0.037,11.618,0.067,XSC
MCG-01-30-041,11.772,0.025,11.054,0.037,10.732,0.047,XSC
MCG-01-33-063,12.217,0.033,11.404,0.041,11.121,0.068,XSC
MCG-01-40-001,11.38,0.029,10.711,0.037,10.357,0.055,XSC
MCG-02-02-095,13.06,0.026,12.3,0.031,12.04,0.058,XSC
MCG-02-08-014,11.792,0.021,10.995,0.025,10.663,0.043,XSC
MCG-02-08-038,12.327,0.039,11.61,0.052,11.276,0.079,XSC
MCG-02-12-050,12.308,0.025,11.59,0.034,11.202,0.052,XSC
MCG-02-14-009,12.012,0.029,11.196,0.034,10.585,0.046,XSC
MCG-03-04-072,13.223,0.037,12.551,0.051,12.041,0.061,XSC
MCG-03-34-064,10.902,0.017,10.177,0.021,9.85,0.028,XSC
MCG-05-23-016,10.613,0.017,9.855,0.02,9.401,0.022,XSC
MCG-06-30-015,10.899,0.012,10.128,0.013,9.618,0.017,XSC
MCG-07-03-007,11.974,0.019,11.26,0.026,10.956,0.041,XSC
MCG+00-09-042,12.271,0.028,11.431,0.031,10.921,0.044,XSC
MCG+01-57-016,12.007,0.025,11.289,0.034,10.841,0.043,XSC
MCG+02-21-013,11.733,0.022,10.975,0.033,10.661,0.036,XSC
MCG+02-57-002,12.733,0.033,11.962,0.05,11.572,0.055,XSC
MCG+04-22-042,12.033,0.024,11.252,0.036,10.691,0.034,XSC
MCG+04-48-002,11.312,0.021,10.39,0.021,9.926,0.028,XSC
MCG+05-03-013,12.121,0.025,11.429,0.033,11.045,0.046,XSC
MCG+05-28-032,12.084,0.018,11.228,0.022,10.753,0.026,XSC
MCG+06-16-028,11.458,0.018,10.686,0.027,10.185,0.021,XSC
MCG+06-24-008,11.967,0.021,11.214,0.031,10.806,0.036,XSC
MCG+06-49-019,11.293,0.021,10.553,0.028,10.254,0.029,XSC
MCG+08-11-011,10.632,0.019,9.797,0.02,9.253,0.022,XSC
MCG+11-11-032,12.78,0.031,11.998,0.047,11.434,0.049,XSC
MCG+12-10-067,11.978,0.028,11.159,0.042,10.805,0.042,XSC
Mrk10,11.521,0.025,10.852,0.037,10.512,0.045,XSC
Mrk1018,11.749,0.021,11.061,0.028,10.659,0.042,XSC
Mrk1210,11.733,0.026,11.082,0.033,10.706,0.05,XSC
Mrk1310,12.883,0.028,12.185,0.034,11.752,0.057,XSC
Mrk1392,12.195,0.025,11.477,0.027,11.09,0.057,XSC
Mrk18,11.681,0.02,10.951,0.03,10.463,0.031,XSC
Mrk198,12.245,0.026,11.595,0.04,11.202,0.041,XSC
Mrk202,13.261,0.047,12.636,0.061,12.109,0.077,XSC
Mrk279,11.639,0.017,10.843,0.021,10.161,0.02,XSC
Mrk290,13.161,0.031,12.51,0.041,11.829,0.047,XSC
Mrk3,10.117,0.014,9.376,0.017,9.054,0.02,XSC
Mrk335,12.048,0.025,11.054,0.024,10.063,0.02,LGA
Mrk348,11.53,0.029,10.809,0.041,10.337,0.046,XSC
Mrk352,12.631,0.032,11.932,0.05,11.505,0.051,XSC
Mrk359,11.688,0.019,10.925,0.028,10.538,0.028,XSC
Mrk417,12.95,0.03,12.254,0.043,11.809,0.052,XSC
Mrk477,13.238,0.037,12.614,0.047,12.111,0.061,XSC
Mrk50,13.069,0.036,12.39,0.039,12.097,0.072,XSC
Mrk509,11.64,0.02,10.841,0.026,10.037,0.021,XSC
Mrk590,10.925,0.016,10.176,0.021,9.666,0.025,XSC
Mrk595,12.216,0.02,11.46,0.025,11.062,0.039,XSC
Mrk6,11.155,0.019,10.325,0.021,9.65,0.018,XSC
Mrk618,11.999,0.021,11.169,0.023,10.467,0.022,LGA
Mrk653,12.622,0.037,11.928,0.046,11.491,0.065,XSC
Mrk704,12.057,0.022,11.184,0.029,10.413,0.026,XSC
Mrk728,13.273,0.046,12.476,0.053,11.953,0.069,XSC
Mrk739E,11.818,0.022,11.051,0.03,10.545,0.035,XSC
Mrk766,11.198,0.019,10.468,0.028,9.93,0.025,XSC
Mrk79,11.336,0.022,10.539,0.03,9.9,0.024,XSC
Mrk817,11.911,0.021,11.085,0.026,10.406,0.023,XSC
Mrk841,12.668,0.028,11.934,0.039,11.212,0.041,XSC
Mrk885,11.838,0.029,11.165,0.039,10.825,0.055,XSC
Mrk926,12.032,0.024,11.291,0.037,10.762,0.042,XSC
Mrk975,12.666,0.035,11.804,0.036,11.12,0.055,XSC
NGC1052,8.436,0.006,7.758,0.008,7.508,0.012,XSC
NGC1106,10.342,0.017,9.624,0.021,9.325,0.024,XSC
NGC1125,10.84,0.017,10.137,0.018,9.853,0.022,LGA
NGC1194,10.92,0.019,10.272,0.028,9.893,0.032,XSC
NGC1365,7.6,0.017,6.934,0.017,6.599,0.018,LGA
NGC2110,9.338,0.012,8.543,0.014,8.208,0.019,XSC
NGC235A,11.213,0.015,10.515,0.021,10.175,0.024,XSC
NGC2655,8.064,0.015,7.387,0.016,7.143,0.016,LGA
NGC2885,11.57,0.017,10.811,0.022,10.501,0.028,XSC
NGC2992,9.829,0.016,9.052,0.016,8.706,0.018,LGA
NGC3035,10.948,0.023,10.245,0.031,9.966,0.047,XSC
NGC3079,8.552,0.016,7.728,0.016,7.345,0.016,LGA
NGC3081,10.006,0.016,9.311,0.02,9.057,0.031,XSC
NGC3227,8.782,0.016,8.101,0.017,7.802,0.017,LGA
NGC3281,9.417,0.016,8.731,0.019,8.425,0.026,XSC
NGC3393,10.201,0.026,9.472,0.029,9.188,0.041,XSC
NGC3431,11.512,0.022,10.756,0.028,10.393,0.042,XSC
NGC3516,9.696,0.016,9.033,0.017,8.644,0.018,LGA
NGC3718,8.878,0.016,8.164,0.017,7.938,0.018,LGA
NGC3783,9.887,0.013,9.137,0.014,8.708,0.018,XSC
NGC3786,10.517,0.02,9.761,0.027,9.46,0.027,XSC
NGC4051,8.829,0.017,8.234,0.018,7.882,0.019,LGA
NGC4102,8.819,0.015,8.144,0.016,7.764,0.016,LGA
NGC4138,9.184,0.008,8.49,0.012,8.268,0.014,XSC
NGC4151,8.657,0.016,7.937,0.016,7.503,0.016,LGA
NGC4180,10.212,0.014,9.488,0.017,9.151,0.023,XSC
