Name,SDSS_u_petro,SDSS_u_petro_err,SDSS_g_petro,SDSS_g_petro_err,SDSS_r_petro,SDSS_r_petro_err,SDSS_i_petro,SDSS_i_petro_err,SDSS_z_petro,SDSS_z_petro_err
NGC1052,13.61892,0.008876462,11.37847,0.007046368,10.49922,0.006389155,10.03546,0.005766535,9.794551,0.004439076
NGC1106,,,,,,,,,,
NGC1125,,,,,,,,,,
NGC1194,15.33312,0.0267946,13.6992,0.0338851,12.58683,0.02511144,12.14355,0.01886084,11.94652,0.01876167
NGC1365,,,,,,,,,,
NGC2110,,,,,,,,,,
NGC235A,15.60841,0.01228894,13.91892,0.005283881,13.16177,0.00565811,12.78588,0.006189549,12.52984,0.006649119
NGC2655,,,,,,,,,,
NGC2885,16.17401,0.01830805,14.36197,0.01894309,13.51726,0.01691027,13.07619,0.01605961,12.81783,0.01225642
NGC2992,,,,,,,,,,
NGC3035,,,,,,,,,,
NGC3079,13.32177,0.008810419,11.77682,0.003554492,11.04317,0.00584637,10.59258,0.007506302,10.23963,0.007250886
NGC3081,,,,,,,,,,
NGC3227,13.19598,0.003961196,12.03433,0.008365076,11.93925,0.0103012,12.88093,0.02211883,10.9619,0.006904513
NGC3281,,,,,,,,,,
NGC3393,,,,,,,,,,
NGC3431,,,,,,,,,,
NGC3516,,,,,,,,,,
NGC3718,14.01354,0.01551739,12.58322,0.008352171,11.46904,0.00527638,10.8938,0.004622233,10.49663,0.003587321
NGC3783,,,,,,,,,,
NGC3786,15.14129,0.02871194,13.20279,0.009737024,12.35812,0.01094898,12.05944,0.01010885,11.81118,0.005393571
NGC4051,,,,,,,,,,
NGC4102,13.97266,0.07406615,12.22622,0.01634216,11.11591,0.00652136,10.99045,0.005044064,10.30866,0.01781453
NGC4138,13.78763,0.0106544,11.76814,0.004874095,11.03967,0.003982429,10.6567,0.003325226,10.35135,0.006964107
NGC4151,12.34387,0.002102108,11.55878,0.003249411,11.25732,0.001239731,11.15918,0.002349315,10.53592,0.002266124
NGC4180,14.93431,0.01487643,13.00617,0.01163348,12.21729,0.01214735,11.76052,0.01591496,11.48209,0.01493595
NGC4235,14.41856,0.02174968,12.40783,0.05551846,11.515,0.06523096,11.10398,0.06146145,10.86834,0.05181083
NGC424,,,,,,,,,,
NGC4388,13.30719,0.006200276,11.6711,0.03557055,11.08589,0.0233032,10.71607,0.02385551,10.65924,0.01174729
NGC4507,,,,,,,,,,
NGC4619,15.06613,0.01683281,13.28712,0.002579226,12.58706,0.001607719,12.24944,0.001538319,12.13243,0.004243557
NGC4748,,,,,,,,,,
NGC4939,,,,,,,,,,
NGC4941,,,,,,,,,,
NGC4992,15.63705,0.01954137,13.97999,0.007058885,13.19376,0.006905352,12.75685,0.008886614,12.4684,0.00996884
NGC5033,13.57496,0.02020711,11.79798,0.01966476,10.83603,0.01647915,10.36289,0.01069861,10.03997,0.008874483
NGC5106,15.67877,0.01512044,14.30038,0.007025812,13.59882,0.006595925,13.20085,0.006865765,12.94414,0.006175491
NGC513,15.26918,0.008899947,13.8773,0.00608619,13.10956,0.007239281,12.74878,0.008191448,12.42991,0.007306827
NGC5231,15.27462,0.01361937,13.7694,0.002829368,13.01141,0.003274642,12.61082,0.00358651,12.35345,0.004950159
NGC5252,15.19013,0.0505799,13.57333,0.03309469,12.77705,0.03090141,12.35837,0.03115453,12.16566,0.02700542
NGC526A,,,,,,,,,,
NGC5273,13.90009,0.006501464,12.21541,0.001087273,11.51882,0.000925067,11.19282,0.0009295,11.00793,0.002216116
NGC5290,14.15811,0.04903611,12.59674,0.01893737,11.74316,0.01967493,11.26776,0.02125327,10.90442,0.03370666
NGC5506,14.57079,0.01483149,12.70699,0.008334407,11.84701,0.006908214,11.43928,0.004238699,11.12797,0.008298606
NGC5548,14.65501,0.007962376,13.14583,0.002658888,12.48723,0.001785693,12.16862,0.002681219,12.02695,0.00332403
NGC5610,15.09741,0.01489585,13.58798,0.006447243,12.91028,0.006712719,12.54441,0.005153727,12.28662,0.006648388
NGC5674,16.37745,0.06567764,13.72404,0.004685035,12.92894,0.002193645,12.53905,0.001877992,12.40477,0.005008233
NGC5683,16.02183,0.005385294,15.63481,0.001684869,15.17879,0.001545712,14.8757,0.001663353,14.50013,0.003809403
NGC5728,,,,,,,,,,
NGC5899,14.88624,0.02915157,12.62857,0.01370495,11.7258,0.005571813,11.28491,0.008544202,10.828,0.01280695
NGC5995,,,,,,,,,,
NGC6221,,,,,,,,,,
NGC6240,16.00554,0.06713163,13.79177,0.1303455,12.97435,0.08515734,12.49409,0.08181909,11.95159,0.07618067
NGC6300,,,,,,,,,,
NGC6552,,,,,,,,,,
NGC6814,,,,,,,,,,
NGC6860,,,,,,,,,,
NGC7172,,,,,,,,,,
NGC7213,,,,,,,,,,
NGC7465,14.76114,0.01120092,13.21457,0.01736095,12.50422,0.01845525,12.13139,0.01859667,11.8978,0.0155919
NGC7469,13.84564,0.006428879,13.01654,0.01922297,12.41866,0.0190455,12.29651,0.0163411,11.91321,0.01500487
NGC7479,14.22474,0.03402801,12.39858,0.04344569,11.45934,0.01315192,11.25291,0.0562642,10.9582,0.03869477
NGC7582,,,,,,,,,,
NGC7603,13.69507,0.003478057,13.2866,0.001241599,12.89419,0.001210773,13.03478,0.006085558,12.13798,0.009606583
NGC7679,14.52513,0.008862811,13.2626,0.003597975,12.79451,0.003712351,12.58591,0.004101716,12.40807,0.004062037
NGC788,14.40461,0.009650805,12.6722,0.003438046,11.9008,0.00325194,11.56093,0.002233117,11.27895,0.003558548
NGC931,16.47252,0.09529932,15.11529,0.1044416,14.67218,0.04119303,14.21529,0.0740836,13.26778,0.1105836
NGC985,14.66422,0.003124961,14.50138,0.004501321,14.43047,0.006458104,14.20709,0.006374341,14.14115,0.007399812
PG2304+042,17.46116,0.03657847,15.90178,0.0157288,15.10648,0.01516283,14.66483,0.01391794,14.37653,0.01553974
PICTORA,,,,,,,,,,
PKS2331-240,,,,,,,,,,
SBS0915+556,18.13652,0.02680102,16.66943,0.004536403,16.34441,0.005489803,15.86881,0.004717321,15.60834,0.01029797
SBS1301+540,17.09861,0.02512356,15.89125,0.06687654,15.25943,0.05527066,14.92309,0.06369155,14.75406,0.01950928
SDSSJ104326.47+110524.2,16.89293,0.006904894,16.63,0.003152393,16.52815,0.004195678,16.10304,0.004419252,16.14599,0.01272763
SWIFTJ212745.6+565636,,,,,,,,,,
UGC01479,16.66927,0.05814879,14.54962,0.02562421,13.65041,0.02983803,13.16054,0.0137469,12.76218,0.008013357
UGC03142,,,,,,,,,,
UGC03478,,,,,,,,,,
UGC03601,,,,,,,,,,
UGC03995A,17.12206,0.1493601,15.06001,0.1169058,14.32214,0.1216311,14.01082,0.1499628,15.1286,0.5916454
UGC05881,16.14018,0.01696924,14.5106,0.0130668,13.76025,0.0124008,13.37903,0.01209744,13.11036,0.01051683
UGC06728,,,,,,,,,,
UGC07064,15.35473,0.01049408,13.86613,0.001740546,13.19642,0.001551207,12.86907,0.001710551,12.7168,0.003835445
UGC08327NED02,16.68283,0.08198553,15.10191,0.04781036,14.34634,0.0508283,13.95429,0.04418541,13.69352,0.05606536
UGC10593,,,,,,,,,,
UGC11185NED02,17.42552,0.3751152,15.72516,0.8175757,15.32557,1.268989,14.43505,0.2374252,14.71325,1.167459
UGC12237,17.5268,0.2825643,15.07496,0.04816439,14.1767,0.04418892,13.69553,0.03084371,13.5105,0.04574079
UGC12282,,,,,,,,,,
UGC12741,16.07453,0.0241295,14.54572,0.02323313,13.76718,0.02273013,13.35122,0.02101386,13.04305,0.01813476
UM614,16.9178,0.01369233,15.6923,0.01069854,15.04061,0.01042153,14.69721,0.01071292,14.43777,0.01085149
VIIZw073,16.72209,0.02620464,15.43158,0.1313075,14.84505,0.1335833,14.41268,0.05273932,14.19931,0.2471605
WKK1263,,,,,,,,,,
WKK4374,,,,,,,,,,
WKK4438,,,,,,,,,,
WKK6092,,,,,,,,,,
WKK6471,,,,,,,,,,
