Name,P857,P857_err,P545,P545_err,P353,P353_err,P217,P217_err,P143,P143_err,P100,P100_err,P70,P70_err,P44,P44_err,P30,P30_err
NGC4051,10049,273.317,2872.9,159.121,740.356,91.358,,,,,,,,,,,,
NGC4102,8712.44,182.493,1981.09,155.33,605.187,134.634,,,,,,,,,,,,
NGC4138,2513.5,317.382,861.263,177.401,192.29,105.868,,,,,,,,,,,,
NGC4151,2658.31,324.933,809.725,140.825,,,,,,,,,,,,,,
NGC4180,,,,,,,,,,,,,,,,,,
NGC4235,,,,,,,,,,,,,,,,,,
NGC424,,,,,,,,,,,,,,,,,,
NGC4388,4408.38,274.565,1091.78,200.912,,,,,,,,,,,,,,
NGC4507,,,,,,,,,,,,,,,,,,
NGC4619,816.285,325.093,,,,,,,,,,,,,,,,
NGC4748,,,,,777.149,104.026,985.989,72.1631,1098.08,126.305,994.304,163.878,1245.5,287.688,1081.67,484.533,1235.97,305.891
NGC4939,4153.35,401.706,1217.12,184.971,,,,,,,,,,,,,,
NGC4941,2847.57,197.937,816.019,170.779,,,,,,,,,,,,,,
NGC4992,,,,,,,,,,,,,,,,,,
NGC5033,17340.2,453.011,5197.95,269.5,1319.4,91.2522,208.723,73.6133,,,,,,,,,,
NGC5106,953.791,276.643,,,,,,,,,,,,,,,,
NGC513,,,,,,,,,,,,,,,,,,
NGC5231,,,,,,,,,,,,,,,,,,
NGC5252,,,,,,,,,,,,,,,,,,
NGC526A,,,,,,,,,,,,,,,,,,
NGC5273,,,,,,,,,,,,,,,,,,
NGC5290,2314.03,173.29,645.36,177.475,,,,,,,,,,,,,,
NGC5506,,,,,,,,,,,,,,,,,,
NGC5548,,,,,,,,,,,,,,,,,,
NGC5610,,,,,,,,,,,,,,,,,,
NGC5674,1289.31,254.013,,,,,,,,,,,,,,,,
NGC5683,,,71.6798,133.355,,,,,,,,,,,,,,
NGC5728,4458.97,337.032,,,,,,,,,,,,,,,,
NGC5899,4273.88,477.774,1212.75,185.118,327.03,84.422,,,,,,,,,,,,
NGC5995,2009.32,916.319,,,,,,,,,,,,,,,,
NGC6221,14817.4,1768.21,3691.09,713.046,770.908,141.449,84.3221,73.0488,,,,,,,,,,
NGC6240,3259.81,228.936,0,0,,,,,,,,,,,,,,
NGC6300,13396.4,472.062,3772.39,175.582,926.444,197.546,319.074,75.5487,,,,,,,,,,
NGC6552,,,,,,,,,,,,,,,,,,
NGC6814,6940.84,1535.71,2243.6,523.864,528.215,116.603,,,,,,,,,,,,
NGC6860,882.318,247.401,,,,,,,,,,,,,,,,
NGC7172,2826.49,334.566,733.256,218.891,,,,,,,,,,,,,,
NGC7213,3821.5,280.859,1064.18,173.289,468.871,88.8268,347.542,66.5745,306.116,103.811,270.095,160.189,,,,,,
NGC7465,,,,,,,,,,,,,,,,,,
NGC7469,,,,,,,,,,,,,,,,,,
NGC7479,7915.38,458.491,2257.83,291.725,384.336,88.2537,,,,,,,,,,,,
NGC7582,13334,568.812,3350.07,272.701,786.092,87.1762,211.923,77.9402,,,,,,,,,,
NGC7603,,,,,,,,,,,,,,,,,,
NGC7679,1335.74,331.281,,,,,,,,,,,,,,,,
NGC788,,,,,,,,,,,,,,,,,,
NGC931,2313.09,852.989,,,,,,,,,,,,,,,,
NGC985,,,,,,,,,,,,,,,,,,
PG2304+042,,,,,,,,,,,,,,,,,,
PICTORA,,,661.168,765.273,,,,,,,,,,,,,,
PKS2331-240,,,621.562,186.536,,,,,,,,,,,,,,
SBS0915+556,,,,,,,,,,,,,,,,,,
SBS1301+540,,,,,,,,,,,,,,,,,,
SDSSJ104326.47+110524.2,,,,,,,,,,,,,,,,,,
SWIFTJ212745.6+565636,,,,,,,,,,,,,,,,,,
UGC01479,,,,,,,,,,,,,,,,,,
UGC03142,,,,,,,,,,,,,,,,,,
UGC03478,,,,,,,,,,,,,,,,,,
UGC03601,,,,,,,,,,,,,,,,,,
UGC03995A,,,,,,,,,,,,,,,,,,
UGC05881,,,,,,,,,,,,,,,,,,
UGC06728,,,,,,,,,,,,,,,,,,
UGC07064,,,,,,,,,,,,,,,,,,
UGC08327NED02,,,,,,,,,,,,,,,,,,
UGC10593,,,,,,,,,,,,,,,,,,
UGC11185NED02,,,,,,,,,,,,,,,,,,
UGC12237,,,,,,,,,,,,,,,,,,
UGC12282,,,,,,,,,,,,,,,,,,
UGC12741,,,,,,,,,,,,,,,,,,
UM614,,,,,,,,,,,,,,,,,,
VIIZw073,,,,,,,,,,,,,,,,,,
WKK1263,,,,,,,,,,,,,,,,,,
WKK4374,,,,,,,,,,,,,,,,,,
WKK4438,,,,,,,218.372,96.4392,,,,,,,,,,
WKK6092,,,,,,,,,,,,,,,,,,
WKK6471,,,,,,,,,,,,,,,,,,
