Name,GALEX_FUV,GALEX_FUV_err,GALEX_NUV,GALEX_NUV_err
UGC08327NED02,18.73875427,0.083624996,18.08972931,0.036394186
UGC10593,18.33039856,0.061385337,17.93398476,0.031099914
UGC11185NED02,,,,
UGC12237,20.61391,0.2032343,19.62608,0.07709341
UGC12282,,,,
UGC12741,17.94126129,0.034175146,17.59278488,0.018367304
UM614,18.43239784,0.020783,18.03568649,0.010713335
VIIZw073,18.72067261,0.082847603,18.06404114,0.034529667
WKK1263,,,,
WKK4374,,,,
WKK4438,,,19.74899,0.1852586
WKK6092,,,,
WKK6471,,,18.43276,0.08131089
