Name,Asmus_12,Asmus_12_err,Asmus_18,Asmus_18_err
UGC03995A,,,,
UGC05881,,,,
UGC06728,,,,
UGC07064,,,,
UGC08327NED02,,,,
UGC10593,,,,
UGC11185NED02,,,,
UGC12237,,,,
UGC12282,,,,
UGC12741,,,,
UM614,,,,
VIIZw073,,,,
WKK1263,,,,
WKK4374,,,,
WKK4438,,,,
WKK6092,,,,
WKK6471,,,,
