name,ra,dec,objid,distance,Column1,run,rerun,camcol,field,type,petroRad_u,petroMag_u,petroMagErr_u,petroRad_g,petroMag_g,petroMagErr_g,petroRad_r,petroMag_r,petroMagErr_r,petroRad_i,petroMag_i,petroMagErr_i,petroRad_z,petroMag_z,petroMagErr_z
MCG+04-22-042,140.9292,22.90917,1.23767E+18,0.006521678,1.23767E+18,5071,301,4,181,3,1.419207,15.59799,0.03654682,13.68853,14.609,0.07779329,14.50084,13.97248,0.09806243,15.51586,13.57771,0.02436739,14.004,13.3967,0.06710922
MCG+05-03-013,12.89583,29.40139,1.23768E+18,0.006674776,1.23768E+18,8116,301,3,305,3,1.945966,16.45107,7.228949,27.78783,14.6067,0.4268329,32.96424,13.8977,0.2193925,26.84604,13.56523,0.3244016,8.177028,13.47635,1.059322
MCG+05-28-032,177.1913,29.64111,1.23767E+18,0.007900129,1.23767E+18,5071,301,3,402,3,2.969825,16.77587,0.0477333,15.57451,15.11244,0.02009015,13.19357,14.25501,0.01456236,12.13799,13.77834,0.01317242,10.50203,13.38271,0.01417212
MCG+06-24-008,161.2042,38.18111,1.23766E+18,0.009286342,1.23766E+18,4469,301,5,325,3,19.892,16.22465,0.04290153,17.92914,14.71523,0.01459239,17.09716,13.97885,0.01677915,16.90091,13.5766,0.01566514,15.97119,13.26913,0.02276329
MCG+06-49-019,336.7742,36.36167,1.23767E+18,0.009081,1.23767E+18,6354,301,1,69,3,15.73888,15.9922,0.03778159,21.88632,14.02519,0.08541399,20.20413,13.16193,0.07194934,21.27967,12.71866,0.05940552,16.95943,12.49781,0.04070598
MCG+11-11-032,133.8021,64.39611,1.23766E+18,0.008249229,1.23766E+18,4264,301,5,208,3,15.73833,18.03659,0.06972883,12.64181,16.18038,0.01767273,11.40291,15.11943,0.01553666,10.45059,14.59299,0.01249663,9.663368,14.17043,0.007965447
Mrk1018,31.56667,-0.2913889,1.23766E+18,0.005464569,1.23766E+18,4263,301,3,326,3,1.223597,14.94001,0.005922729,1.892525,14.18674,0.01272535,10.63132,13.60739,0.01385722,10.22847,13.2696,0.01376718,8.705136,13.11292,0.01062782
Mrk1210,121.0246,5.113889,1.23766E+18,0.010574577,1.23766E+18,3630,301,2,29,3,12.72681,15.40831,0.008908176,12.92619,13.96184,0.003389418,14.15005,13.33928,0.004311905,15.49553,13.02651,0.005661373,14.4752,12.79916,0.005175931
Mrk1310,180.31,-3.678056,1.23765E+18,0.011095283,1.23765E+18,1231,301,1,74,3,2.888643,15.63861,0.006172458,5.729903,14.93608,0.004162958,6.655948,14.39877,0.004326092,7.523282,14.14829,0.004870678,7.494866,13.90795,0.006629023
Mrk1392,226.4858,3.707222,1.23765E+18,0.013123002,1.23765E+18,2190,301,3,297,3,1.790026,15.28388,0.01175643,17.14628,14.32118,0.002064236,18.18221,13.72621,0.00316435,18.47789,13.38013,0.00345735,17.28971,13.19288,0.006336203
