AGN	Redshift	R.A.	Decl.	l	b	Instrument	ObsID	Obs. Date	Source Counts	Obs. Time (ks)	Usable % of obs.	Optical Type	BAT Flux (SNR)
2MASX J14530794+2554327	0.049	223.283	25.91	37.352	62.817	XRT	37322001	2/1/08	1613	4.2	-	Sy1	23.43 (10.56)
Mrk 464	0.0501	208.973	38.575	77.329	72.322	XMM	72340701	12/10/02	11416	8.1	100	Sy1.5	20.26 (10.35)
Mrk 463	0.0504	209.011	18.371	5.821	72.747	XMM	94401201	12/22/01	4022	26.8	90	Sy1/dual AGN	11.61 (5.22)
2MASX J13105723+0837387	0.0527	197.738	8.627	317.846	70.932	XRT	41174001	8/20/10	50	8.8	-	Sy2	10.94 (5.19)
SBS 1136+594	0.0601	174.786	59.198	139.255	55.58	XRT	35265001	12/14/05	3521	9.2	-	Sy1.5	20.85 (12.12)
Ark 374	0.063	188.016	20.158	269.447	81.739	XMM	301450201	7/9/05	95204	25.5	100	Sy2	14.84 (6.17)
2MASX J12055599+4959561	0.0631	181.483	49.999	140.753	65.525	XRT	40963001	4/26/10	204	7.8	-	BLAGN	12.37 (5.30)
PG 1138+222	0.0632	175.317	21.939	227.137	73.238	XRT	37371001	10/26/08	2693	9.1	-	Sy1	17.19 (8.13)
2MASX J13542913+1328068	0.0635	208.621	13.467	353.206	69.912	XRT	40970001	6/1/10	39	3.4	-	galaxy	9.70 (5.00)
Was 49b	0.064	183.574	29.529	194.394	81.484	ASCA	73036000	5/22/95	1693	39.6	-	Sy2/binary AGN	15.40 (7.96)
2MASX J12135456-0530193	0.066	183.477	-5.506	286.006	56.128	XRT	40964003	11/21/10	534	4	-	Sy1	11.94 (5.18)
MRK 0783	0.0672	195.746	16.407	317.528	78.95	XRT	37318001	5/9/08	679	5.8	-	Sy1.5	17.93 (9.00)
2MASX J11475508+0902284	0.0688	176.98	9.041	260.274	66.498	XRT	40962001	7/2/10	1357	8.9	-	Sy1.5	11.06 (6.38)
MCG +09-19-015	0.0703	168.833	54.389	149.169	57.569	XRT	31290001	11/7/08	94	4.6	-	Sy2	9.08 (5.58)
2MASX J14391186+1415215	0.0714	219.799	14.256	11.223	61.795	XRT	37321001	4/27/08	163	4.7	-	XBONG	15.79 (6.53)
H 1419+480	0.0723	215.376	47.79	88.564	62.886	XMM	94740201	5/27/02	59341	21.5	55	Sy1.5	19.42 (10.55)
FBQS J110340.2+372925	0.0739	165.918	37.49	181.567	65.101	XRT	39831001	7/12/09	1049	8.2	-	Sy1	8.86 (5.38)
B2 1204+34	0.0791	181.887	33.879	174.707	78.396	XRT	37315003	10/20/08	110	8.6	-	Sy2	16.91 (5.04)
2MASX J13000533+1632151	0.08	195.024	16.537	314.092	79.22	XMM	149170701	7/14/03	1136	6.4	69	Sy1?	14.83 (5.31)
2MASX J13462846+1922432	0.084	206.618	19.379	4.296	75.19	XRT	90327001	4/4/10	629	5.3	-	galaxy	10.71 (6.54)
2MASX J11491868-0416512	0.0845	177.327	-4.28	275.039	55.192	XRT	38057001	11/9/09	634	5	-	Sy1	11.83 (5.99)
Mrk 1383	0.0865	217.278	1.285	349.218	55.125	XMM	102040501	7/28/00	22461	17.6	100	Sy1	17.66 (7.16)
2MASX J10523297+1036205	0.0878	163.137	10.606	237.757	57.525	XRT	37131004	7/13/08	190	16.2	-	Sy1	17.52 (6.63)
2MASX J13553383+3520573	0.1016	208.892	35.35	67.887	74.047	XRT	40971001	8/26/10	135	7.2	-	galaxy	7.31 (4.91)
1RXS J1127+1909	0.1055	171.818	19.156	230.898	69.111	XMM	601780301	5/29/09	25011	11.9	100	Sy1.8	16.84 (8.59)
Mrk 813	0.1105	216.854	19.831	19.7	66.861	XRT	35307003	1/10/07	1873	6.2	-	Sy1	12.29 (6.23)
3C 303.0	0.1412	220.761	52.027	90.528	57.501	ASCA	73008000	5/22/95	3131	18.2	-	Sy1.5/FR-II	8.12 (4.90)
PG 1114+445	0.1438	169.277	44.226	164.675	64.494	XMM	109080801	5/14/02	42913	43.5	97	Sy1	8.93 (4.93)
