SWIFT Name	R.A.	Decl.	Flux (15-55 keV)	S/N	ID	Type^a	Redshift	Ph. Index	log(N_H)	Reference
J1044.0+7023	161.003	70.4	0.99 +or- 0.17	5.9	MCG+12-10-067	Sy2	0.03	1.60^+0.37_-0.35	23.3	-2
J1353.2+6919	208.305	69.327	2.78 +or- 0.17	16.7	Mrk 279	Sy1.5	0.03	1.96^+0.15_-0.15	20.5	-1
J1822.1+6421	275.541	64.361	1.10 +or- 0.21	5.3	QSO B1821+643	Sy1	0.3	2.91^+0.97_-0.65	20	-15
J0552.3+5929	88.1	59.5	1.14 +or- 0.21	5.3	IRAS 05480+5927	Sy1	0.06	3.44^+1.00_-0.73	21.1	-2
J1139.1+5912	174.783	59.212	1.25 +or- 0.15	8.1	SBS 1136+594	Sy1.5	0.06	2.76^+0.46_-0.39	19.6	-1
J1536.2+5753	234.061	57.89	1.43 +or- 0.18	7.9	Mrk 290	Sy1	0.03	2.19^+0.39_-0.34	20.4	-1
J1001.8+5542	150.453	55.7	1.43 +or- 0.16	8.8	NGC 3079	Sy2	0.004	1.88^+0.26_-0.25	24.7	-4
J1115.9+5426	168.999	54.45	0.88 +or- 0.15	5.7	SDSS J111519.98+542316.6	Sy2	0.07	1.80^+0.57_-0.42	22.4	-2
J1125.4+5421	171.352	54.351	0.97 +or- 0.15	6.3	ARP 151	Sy1	0.02	1.72^+0.48_-0.37	20	-2
J1441.2+5330	220.3	53.5	0.85 +or- 0.16	5.1	Mrk 477	Sy2	0.04	1.47^+0.88_-0.46	24	-14
J1206.2+5242	181.565	52.71	1.24 +or- 0.15	8.3	NGC 4102	LINER	0.003	1.74^+0.30_-0.28	20.9	-1
J0742.5+4947	115.644	49.793	2.98 +or- 0.21	14.4	Mrk 79	Sy1.2	0.02	2.06^+0.17_-0.16	20.8	-1
J1421.6+4750	215.42	47.838	1.03 +or- 0.16	6.4	QSO B1419+480	Sy1	0.07	1.73^+0.35_-0.27	21.3	-3
J1219.0+4715	184.75	47.252	0.96 +or- 0.15	6.3	NGC 4258	Sy1	0.001	1.92^+0.37_-0.34	22.9	-11
J1209.1+4700	182.3	47	0.76 +or- 0.15	5	Mrk 198	Sy2	0.02	1.76^+0.47_-0.36	22.8	-2
J1203.0+4432	180.773	44.534	2.33 +or- 0.15	15.1	NGC 4051	Sy1.5	0.002	2.45^+0.18_-0.17	20.5	-1
J0718.0+4405	109.517	44.084	1.67 +or- 0.24	7.1	2MASX J07180060+4405271	Sy1	0.06	2.22^+0.41_-0.35	20	-2
J1209.4+4341	182.37	43.686	1.56 +or- 0.15	10.1	NGC 4138	Sy1.9	0.003	1.90^+0.22_-0.21	22.9	-1
J1515.4+4201	228.868	42.033	1.05 +or- 0.18	5.9	NGC 5899	Sy2	0.01	1.72^+0.56_-0.51	23.1	-2
J2258.9+4053	344.749	40.899	1.31 +or- 0.18	7.2	UGC 12282	Sy1	0.02	1.65^+0.28_-0.22	23.9	-2
J0656.1+3959	104.027	39.986	2.29 +or- 0.26	8.7	UGC 3601	Sy1	0.02	1.97^+0.29_-0.27	21.3	-2
J2245.7+3941	341.449	39.695	1.71 +or- 0.18	9.2	3C 452	Sy2	0.08	1.61^+0.24_-0.19	23.4	-1
