|     cntr_01|	dist_x|	pang_x|	ra_01|	dec_01|	designation|	ra|	dec|	r_k20fe|	j_m_k20fe|	j_msig_k20fe|	j_flg_k20fe|	h_m_k20fe|	h_msig_k20fe|	h_flg_k20fe|	k_m_k20fe|	k_msig_k20fe|	k_flg_k20fe|	k_ba|	k_phi|	sup_ba|	sup_phi|	r_ext|	j_m_ext|	j_msig_ext|	h_m_ext|	h_msig_ext|	k_m_ext|	k_msig_ext|	cc_flg|
|         int|	double|	double|	double|	double|	char|	double|	double|	double|	double|	double|	int|	double|	double|	int|	double|	double|	int|	double|	int|	double|	int|	double|	double|	double|	double|	double|	double|	double|	char|
|            |	arcsec|	deg|	degree|	degree|	|	deg|	deg|	arcsec|	mag|	mag|	|	mag|	mag|	|	mag|	mag|	|	|	deg|	|	deg|	arcsec|	mag|	mag|	mag|	mag|	mag|	mag|	|
|        null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|
217	0.631227	-0.636094	18.4625	13.271667	01135099+1316186	18.462498	13.271842	12.4	12.666	0.035	3	11.804	0.036	3	11.12	0.055	3	0.9	-50	0.64	65	23.73	12.182	0.031	11.583	0.037	11.032	0.052	0
218	0.1121	80.138606	40.27	-8.255833	02410480-0815209	40.270031	-8.255828	74.6	8.436	0.006	0	7.758	0.008	0	7.508	0.012	0	0.7	-60	0.76	-60	103.42	8.373	0.007	7.705	0.008	7.451	0.013	0
219	0.292046	57.899224	42.66875	41.671389	02504052+4140171	42.668842	41.671432	35.8	10.342	0.017	1	9.624	0.021	3	9.325	0.024	3	0.9	35	0.84	50	52.98	10.244	0.018	9.508	0.02	9.209	0.023	0
220	null	null	42.917917	-16.651111	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
221	0.008982	-32.207494	45.954583	-1.103611	03034909-0106129	45.954582	-1.103609	32.2	10.92	0.019	0	10.272	0.028	0	9.893	0.032	0	0.6	-35	0.58	-40	48.43	10.754	0.018	10.193	0.026	9.758	0.029	0
222	1.542662	152.826374	53.401667	-36.140278	03333645-3608263	53.401909	-36.140659	135.4	7.6	0.017	1	6.934	0.017	1	6.599	0.018	1	0.8	49	0.825	49	276.1	7.363	0.026	6.737	0.031	6.373	0.036	Z
223	0.233493	165.841666	88.0475	-7.456111	05521140-0727222	88.047516	-7.456174	54.9	9.338	0.012	0	8.543	0.014	0	8.208	0.019	0	0.8	-20	0.82	-15	77.73	9.257	0.012	8.474	0.014	8.144	0.019	0
224	0.362461	-15.311071	10.72	-23.541111	00425279-2332276	10.719971	-23.541014	17.5	11.213	0.015	0	10.515	0.021	0	10.175	0.024	0	0.9	-10	0.5	-45	45.41	10.582	0.022	9.979	0.022	10.086	0.038	0
225	0.136244	43.526542	133.907083	78.223056	08553773+7813230	133.907211	78.223083	93.3	8.064	0.015	1	7.387	0.016	1	7.143	0.016	1	0.8	85	0.902	77	190.5	7.878	0.019	7.184	0.022	6.951	0.025	Z
226	0.209322	-40.823435	141.827083	23.02	09271849+2301121	141.827042	23.020044	20	11.57	0.017	0	10.811	0.022	0	10.501	0.028	0	0.7	70	0.74	70	32.61	11.401	0.02	10.661	0.021	10.39	0.026	0
227	0.811386	-82.635553	146.425417	-14.326389	09454204-1419348	146.425186	-14.32636	50.9	9.829	0.016	0	9.052	0.016	0	8.706	0.018	0	0.4	22	0.45	20	95.3	9.666	0.018	8.932	0.02	8.596	0.025	Z
228	0.640264	38.825816	147.979167	-6.823056	09515502-0649225	147.979279	-6.822917	32	10.948	0.023	0	10.245	0.031	0	9.966	0.047	0	0.8	-25	0.66	-30	55.07	10.698	0.027	10.045	0.032	9.748	0.046	0
229	1.446177	46.252107	150.490833	55.679722	10015792+5540480	150.491348	55.68	130.3	8.552	0.016	3	7.728	0.016	3	7.345	0.016	3	0.2	-10	0.264	-12	221.4	8.439	0.017	7.636	0.018	7.262	0.019	Z
230	0.808848	32.311257	149.872917	-22.826389	09592953-2249343	149.873047	-22.826199	54.3	10.006	0.016	0	9.311	0.02	0	9.057	0.031	0	0.5	70	0.68	70	77.03	9.913	0.016	9.205	0.019	8.91	0.028	0
231	0.211858	148.170988	155.8775	19.865	10233060+1951538	155.877533	19.86495	92.6	8.782	0.016	1	8.101	0.017	1	7.802	0.017	1	0.5	-27	0.57	-27	182.5	8.588	0.021	7.932	0.024	7.639	0.029	Z
232	0.433611	-157.021391	157.967083	-34.853611	10315208-3451133	157.967026	-34.853722	82	9.417	0.016	0	8.731	0.019	0	8.425	0.026	0	0.4	-50	0.44	-40	112.93	9.312	0.015	8.616	0.018	8.309	0.025	0
233	0.544902	-123.963344	162.097917	-25.161944	10482346-2509433	162.097778	-25.162029	52.1	10.201	0.026	1	9.472	0.029	1	9.188	0.041	1	0.7	-20	0.78	-50	74.38	10.086	0.027	9.348	0.028	9.059	0.039	0
234	0.631079	56.576173	162.8125	-17.008056	10511503-1700286	162.812653	-17.007959	36.5	11.512	0.022	0	10.756	0.028	0	10.393	0.042	0	0.3	-50	0.3	-45	54.27	11.427	0.032	10.658	0.031	10.305	0.037	0
235	0.304062	-174.770134	166.697917	72.568611	11064749+7234066	166.697891	72.568527	40.8	9.696	0.016	0	9.033	0.017	0	8.644	0.018	0	0.7	7	0.88	27	85.2	9.53	0.02	8.933	0.025	8.512	0.027	Z
236	0.892297	156.072972	173.145417	53.068056	11323494+5304041	173.145584	53.067829	75.5	8.878	0.016	3	8.164	0.017	3	7.938	0.018	3	0.8	12	0.8	12	162.2	8.653	0.022	7.979	0.029	7.761	0.034	Z
237	1.017278	-66.625495	174.7575	-37.738611	11390172-3744185	174.757172	-37.738499	52	9.887	0.013	6	9.137	0.014	6	8.708	0.018	6	0.6	-15	0.94	-80	73.97	9.83	0.014	9.094	0.016	8.649	0.02	0
238	1.767268	-66.170965	174.9275	31.909167	11394247+3154337	174.926971	31.909365	49	10.517	0.02	0	9.761	0.027	0	9.46	0.027	0	0.4	60	0.52	70	70.14	10.398	0.02	9.654	0.025	9.338	0.025	0
239	1.029943	116.552449	180.79	44.531389	12030968+4431525	180.790359	44.531261	102.6	8.829	0.017	1	8.234	0.018	1	7.882	0.019	1	0.6	-37	0.605	-55	202.5	8.578	0.024	8.059	0.032	7.67	0.035	Z
240	1.19799	119.152982	181.595833	52.711111	12062311+5242394	181.596313	52.710949	68.6	8.819	0.015	3	8.144	0.016	3	7.764	0.016	3	0.6	38	0.59	38	105.8	8.759	0.017	8.105	0.018	7.715	0.018	Z
241	0.197686	-42.909028	182.374167	43.685278	12092978+4341071	182.374115	43.685318	61.8	9.184	0.008	6	8.49	0.012	6	8.268	0.014	6	0.6	-30	0.66	-35	87.02	9.12	0.008	8.417	0.012	8.202	0.014	0
242	0.727487	110.669573	182.635833	39.405833	12103265+3924207	182.636078	39.405762	88.2	8.657	0.016	3	7.937	0.016	3	7.503	0.016	3	0.8	-50	0.59	-47	180.9	8.5	0.02	7.788	0.024	7.381	0.025	Z
243	0.886875	114.43038	183.2625	7.038889	12130305+0702196	183.262726	7.038787	40	10.212	0.014	0	9.488	0.017	0	9.151	0.023	0	0.4	20	0.38	20	58.46	10.151	0.017	9.442	0.018	9.108	0.024	0
244	0.202433	98.866397	184.29125	7.191667	12170991+0711299	184.291306	7.191658	82.4	9.448	0.016	0	8.801	0.019	0	8.5	0.028	0	0.3	50	0.28	50	113.55	9.331	0.017	8.681	0.02	8.396	0.028	0
245	1.034733	127.423814	17.865	-38.083333	01112766-3805006	17.86529	-38.083508	35.1	10.666	0.016	0	9.836	0.02	0	9.183	0.02	0	0.5	65	0.44	65	54.22	10.502	0.017	9.737	0.02	9.129	0.021	0
246	1.84208	107.306584	186.444583	12.662222	12254682+1239434	186.445084	12.66207	92.9	9.179	0.016	0	8.448	0.017	0	8.171	0.017	0	0.3	89	0.33	87	190.3	8.975	0.021	8.254	0.025	8.004	0.027	Z
247	0.254889	127.733141	188.9025	-39.909167	12353661-3954331	188.902573	-39.90921	37.6	10.043	0.015	3	9.319	0.017	3	8.971	0.023	3	0.9	60	0.84	60	55.43	9.925	0.015	9.2	0.016	8.87	0.022	0
248	0.534322	45.937227	190.435417	35.062778	12414453+3503463	190.435547	35.062881	30.8	10.982	0.02	0	10.314	0.028	0	10.012	0.034	0	0.7	0	0.88	-35	46.4	10.822	0.019	10.211	0.026	9.888	0.03	0
249	0.735404	-75.47897	193.052083	-13.414722	12521245-1324528	193.05188	-13.414671	29.7	10.971	0.017	1	10.269	0.021	1	9.941	0.037	1	0.6	35	0.72	45	45.35	10.897	0.018	10.198	0.02	9.849	0.033	0
250	0.438301	-22.820648	196.06	-10.339722	13041438-1020225	196.059952	-10.33961	62.7	9.616	0.017	1	8.946	0.018	1	8.682	0.022	1	0.7	5	0.71	2	115.1	9.324	0.022	8.692	0.026	8.435	0.037	Z
251	0.66891	75.454033	196.054583	-5.551667	13041314-0533058	196.054764	-5.55162	82.3	9.269	0.017	0	8.596	0.017	0	8.365	0.021	0	0.6	20	0.53	17	140.5	9.091	0.02	8.44	0.022	8.217	0.033	Z
252	0.41099	-137.129461	197.273333	11.634167	13090558+1138026	197.273254	11.634083	26.2	11.34	0.025	3	10.613	0.032	3	10.295	0.051	3	0.6	10	0.58	15	40.45	11.227	0.026	10.511	0.031	10.179	0.045	0
253	0.956911	153.504173	198.364583	36.593889	13132753+3635371	198.364731	36.593651	107.2	8.18	0.015	1	7.449	0.016	1	7.155	0.016	1	0.5	-5	0.561	-5	276.1	7.916	0.022	7.241	0.027	6.956	0.03	Z
254	0.241372	47.069456	200.248333	8.978333	13205961+0858421	200.248383	8.978379	21.9	11.644	0.026	0	10.867	0.029	0	10.517	0.045	0	0.6	25	0.54	30	34.92	11.551	0.027	10.782	0.028	10.414	0.04	0
255	1.331419	-65.297058	21.112083	33.799444	01242680+3347585	21.111679	33.799599	22.3	11.005	0.014	0	10.268	0.02	0	9.951	0.021	0	0.6	70	0.58	70	35.46	10.958	0.016	10.228	0.02	9.914	0.02	0
256	0.849215	113.454151	203.950833	2.998889	13354825+0259556	203.95105	2.998795	20.7	11.397	0.023	0	10.67	0.029	0	10.369	0.044	0	0.9	-10	0.66	-45	43.3	10.994	0.029	10.307	0.029	10.14	0.049	0
257	1.976765	-88.747743	204.566667	4.5425	13381586+0432330	204.566116	4.542512	39.7	10.978	0.023	0	10.186	0.028	0	9.894	0.041	0	0.4	15	0.5	15	58.01	10.888	0.026	10.103	0.026	9.768	0.037	0
258	0.604808	-39.539994	20.976667	-35.065556	01235436-3503555	20.976536	-35.065426	13.9	11.973	0.022	0	11.117	0.027	0	10.498	0.03	0	0.8	55	0.82	-80	41.6	11.599	0.034	10.657	0.035	10.436	0.05	0
259	1.084798	75.91542	205.534583	35.654167	13420838+3539152	205.534943	35.65424	50.9	9.724	0.014	0	9.065	0.018	0	8.836	0.025	0	0.9	10	0.84	5	73.9	9.501	0.013	8.837	0.016	8.665	0.024	0
260	0.971265	-127.168357	206.33	41.7125	13451913+4142444	206.329712	41.712337	89	9.572	0.007	0	8.824	0.008	0	8.498	0.012	0	0.2	-85	0.242	-85	123.33	9.511	0.013	8.764	0.008	8.436	0.018	0
261	0.21666	175.527965	213.312083	-3.2075	14131490-0312272	213.312088	-3.20756	74.6	9.804	0.017	0	8.913	0.017	0	8.237	0.017	0	0.2	90	0.28	90	122.4	9.712	0.02	8.837	0.02	8.188	0.022	Z
262	0.488006	21.262027	214.497917	25.136667	14175951+2508124	214.497971	25.136793	26.3	10.802	0.015	0	10.038	0.018	0	9.495	0.019	0	0.9	60	0.86	-40	41.83	10.643	0.018	9.884	0.017	9.387	0.019	0
263	0.745047	59.084199	216.095417	24.614167	14242294+2436513	216.095612	24.614273	39.4	11.163	0.018	3	10.412	0.023	3	10.081	0.027	3	0.3	90	0.38	90	58.14	11.088	0.02	10.33	0.023	10.003	0.038	0
264	1.208022	97.764146	218.4675	5.458333	14335228+0527298	218.467834	5.458288	37.6	11.194	0.03	0	10.524	0.037	0	10.124	0.051	0	0.5	-5	0.82	25	57.38	11.033	0.033	10.504	0.038	9.955	0.046	0
265	0.812833	94.684433	218.718333	48.661944	14345248+4839429	218.718674	48.661926	11.9	12.914	0.032	0	12.153	0.045	0	11.803	0.049	0	0.8	-30	0.72	-5	34.23	12.739	0.056	11.658	0.058	11.498	0.065	0
266	0.577474	135.514265	220.599583	-17.253056	14422392-1715114	220.599701	-17.25317	80.4	9.29	0.016	1	8.572	0.017	1	8.274	0.019	1	0.4	35	0.44	32	122.5	9.183	0.018	8.483	0.02	8.171	0.025	Z
267	0.748758	50.684176	228.763333	42.049722	15150325+4202594	228.76355	42.049854	67.8	9.662	0.015	0	8.99	0.02	0	8.666	0.024	0	0.4	25	0.32	20	94.6	9.62	0.028	8.99	0.029	8.585	0.022	0
268	1.398434	-64.41073	237.104167	-13.757778	15482491-1345273	237.103806	-13.75761	24.3	10.838	0.015	0	9.991	0.016	0	9.46	0.021	0	0.8	-35	0.88	-30	38.01	10.752	0.018	9.936	0.015	9.393	0.019	0
269	null	null	253.192083	-59.218611	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	Z
270	0.797738	-46.808688	253.245417	2.400833	16525886+0224035	253.245255	2.400985	39.9	10.414	0.016	0	9.58	0.02	0	9.175	0.02	0	0.5	25	0.56	15	58.63	10.304	0.017	9.455	0.018	9.107	0.019	0
271	0.188454	-82.801149	259.247917	-62.820556	17165947-6249139	259.247803	-62.820549	116.8	7.956	0.016	1	7.287	0.016	1	7.007	0.017	1	0.6	-57	0.671	-62	174.5	7.864	0.017	7.198	0.019	6.931	0.02	Z
272	0.382361	8.661633	270.030417	66.615	18000730+6636543	270.030457	66.615105	36.9	11.519	0.023	0	10.828	0.03	0	10.463	0.047	0	0.3	-80	0.46	-80	54.86	11.435	0.028	10.728	0.029	10.323	0.041	0
273	0.61212	-144.769763	295.669167	-10.323611	19424057-1019255	295.669067	-10.32375	71.7	8.8	0.016	1	8.095	0.019	1	7.787	0.024	1	0.9	-70	0.94	65	99.68	8.662	0.015	7.952	0.018	7.657	0.023	0
274	1.573874	-26.929818	302.195417	-61.100278	20084680-6105595	302.195007	-61.099888	29	10.682	0.014	0	9.893	0.018	0	9.448	0.022	0	0.6	35	0.64	30	44.41	10.595	0.014	9.843	0.018	9.39	0.021	0
275	0.605255	-176.321894	330.507917	-31.869722	22020189-3152116	330.507904	-31.86989	60.3	9.519	0.016	3	8.75	0.017	3	8.39	0.018	3	0.5	-82	0.5	-82	97.8	9.439	0.019	8.685	0.021	8.317	0.023	Z
276	0.41339	-83.163068	332.317917	-47.166667	22091625-4709599	332.317749	-47.166653	80.2	8.035	0.009	1	7.403	0.011	1	7.125	0.016	1	1	20	0.94	70	110.55	7.967	0.009	7.346	0.011	7.035	0.016	0
277	0.885566	-51.307098	345.504167	15.964722	23020095+1557535	345.503967	15.964876	27.8	10.605	0.011	0	9.909	0.013	0	9.605	0.022	0	0.6	-20	0.74	-20	42.59	10.539	0.012	9.842	0.012	9.542	0.021	0
278	1.308755	123.167256	345.815	8.873889	23031567+0852252	345.815308	8.87369	31.8	10.299	0.017	1	9.491	0.017	1	9.01	0.018	1	0.7	-60	0.91	-42	75.2	10.112	0.025	9.245	0.026	8.847	0.029	Z
279	0.598514	-52.495205	346.23625	12.322778	23045666+1219223	346.236115	12.322879	87.9	9.337	0.012	3	8.654	0.012	3	8.362	0.021	3	0.3	10	0.4	15	120.81	9.194	0.011	8.508	0.011	8.202	0.019	0
280	1.337116	92.382645	349.597917	-42.370556	23182362-4222140	349.598419	-42.370571	115.2	8.486	0.016	0	7.785	0.016	0	7.413	0.017	0	0.3	-23	0.352	-20	194.5	8.354	0.017	7.676	0.018	7.316	0.021	Z
281	0.682845	123.210001	349.735833	0.243889	23185663+0014376	349.735992	0.243785	31.2	10.736	0.015	0	9.958	0.018	0	9.42	0.018	0	0.7	-10	0.68	-15	46.86	10.61	0.015	9.845	0.016	9.325	0.017	0
282	0.450285	-90.865336	352.194583	3.511389	23284666+0330409	352.194458	3.511387	19.8	11.079	0.015	0	10.448	0.024	0	10.113	0.026	0	0.9	40	0.9	55	32.21	10.978	0.015	10.327	0.021	10.02	0.024	0
283	1.230042	143.158437	30.276667	-6.815556	02010644-0648569	30.276873	-6.815829	37.6	10.127	0.015	0	9.459	0.019	0	9.196	0.027	0	0.7	-80	0.82	-75	55.38	10.018	0.015	9.381	0.019	9.071	0.025	0
284	0.747851	-138.953434	37.060417	31.311667	02281446+3118414	37.060257	31.31151	54.1	10.556	0.014	3	9.801	0.019	3	9.38	0.022	3	0.3	80	0.34	75	76.82	10.399	0.018	9.667	0.025	9.272	0.02	0
285	2.352888	148.961324	38.6575	-8.7875	02343788-0847170	38.657841	-8.78806	15.5	11.992	0.02	0	11.181	0.021	0	10.608	0.022	0	0.7	77	0.9	117	32.1	11.633	0.023	11.096	0.03	10.541	0.034	Z
286	0.243678	178.565391	346.762083	4.549167	23070290+0432567	346.762085	4.549099	10.1	13.218	0.039	0	12.52	0.052	0	12.039	0.059	0	0.7	30	0.52	20	20.04	13.02	0.046	12.364	0.062	11.914	0.063	0
287	0.476251	50.644769	79.957083	-45.778889	05194973-4546436	79.95723	-45.778805	9.9	13.746	0.062	0	12.966	0.07	0	12.04	0.068	0	0.7	-80	0.66	75	19.52	13.631	0.084	12.901	0.099	11.946	0.075	0
288	0.349501	5.953787	353.48	-23.728056	23335520-2343406	353.480011	-23.727959	10.6	13.393	0.038	0	12.639	0.046	0	12.17	0.07	0	0.8	70	0.82	75	22.29	13.055	0.043	12.417	0.056	11.97	0.077	0
289	0.314662	48.23428	139.805	55.465278	09191322+5527552	139.805115	55.465336	6.1	14.241	0.042	0	13.641	0.049	0	13	0.055	0	0.8	65	0.8	65	11.51	14.089	0.058	13.61	0.083	12.922	0.079	0
290	0.550169	-76.633358	195.997917	53.791667	13035943+5347301	195.997665	53.791702	8.1	13.655	0.045	0	13.006	0.058	0	12.495	0.067	0	0.7	90	0.46	-75	18.27	13.403	0.055	12.747	0.073	12.372	0.086	0
291	null	null	160.860417	11.09	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
292	null	null	321.940833	56.952	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
293	0.635087	-82.872106	30.079583	24.473611	02001905+2428250	30.079391	24.473633	39.1	11.409	0.02	0	10.634	0.028	0	10.28	0.037	0	0.3	0	0.26	0	57.13	11.343	0.025	10.569	0.027	10.196	0.041	0
294	0.635725	-173.457163	70.945	28.971944	04434679+2858183	70.944977	28.971769	26.4	12.012	0.039	0	11.095	0.047	0	10.696	0.058	0	0.6	50	0.78	30	55.56	11.6	0.053	10.698	0.052	10.354	0.059	0
295	0.25581	-77.904152	98.196667	63.673611	06324716+6340250	98.19651	63.673626	34.3	10.827	0.017	3	10.058	0.02	3	9.696	0.025	3	0.6	45	0.48	45	51.24	10.71	0.018	9.916	0.018	9.599	0.024	0
296	0.313249	-162.053463	103.95625	40.000278	06554949+4000007	103.956215	40.000195	14.7	12.086	0.022	0	11.372	0.027	0	10.967	0.039	0	0.8	35	0.8	30	27.62	11.854	0.023	11.197	0.027	10.857	0.036	0
297	null	null	116.029167	29.249167	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
298	0.311777	-89.781658	161.677083	25.931667	10464247+2555540	161.676987	25.931667	14.5	11.879	0.026	0	11.179	0.034	0	10.852	0.044	0	0.8	85	0.74	40	31.57	11.635	0.029	10.987	0.036	10.769	0.047	0
299	0.41123	2.633324	176.316667	79.681389	11451600+7940534	176.316696	79.681503	22.9	11.791	0.026	3	11.156	0.04	1	10.793	0.047	3	0.5	-65	0.64	-60	39.91	11.623	0.028	10.978	0.038	10.609	0.041	0
300	1.137522	90.583791	181.180417	31.177222	12044338+3110379	181.180786	31.177219	21.9	11.413	0.021	0	10.739	0.024	0	10.333	0.025	0	0.9	17	0.9	22	50.2	11.252	0.033	10.581	0.043	10.193	0.046	Z
301	0.518761	-98.870225	198.822083	44.407222	13151725+4424259	198.821884	44.4072	15.6	12.559	0.033	0	11.69	0.043	0	11.227	0.048	0	0.7	80	0.56	75	46.92	12.248	0.061	11.624	0.091	10.821	0.065	0
302	0.65696	-127.289587	253.07875	55.905556	16521883+5554196	253.078491	55.905445	22.2	11.908	0.024	0	11.207	0.034	0	10.878	0.046	0	0.4	75	0.48	80	35.17	11.765	0.03	11.037	0.032	10.776	0.041	0
303	null	null	274.047917	42.660278	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
304	0.426955	-110.740463	343.582083	11.7825	22541967+1146568	343.58197	11.782458	32.9	12.194	0.034	3	11.44	0.047	3	11.085	0.066	3	0.2	90	0.24	-85	49.24	12.063	0.038	11.288	0.047	10.96	0.062	0
305	3.851435	-39.61804	344.73125	40.931389	22585528+4055559	344.730347	40.932213	57.8	10.216	0.015	0	9.436	0.018	0	9.107	0.022	0	0.3	5	0.3	0	82.45	10.168	0.015	9.382	0.033	9.035	0.02	0
306	0.66336	-69.898289	355.48125	30.581667	23415545+3034542	355.481049	30.58173	23.1	11.778	0.02	0	11.058	0.027	0	10.751	0.041	0	0.4	-80	0.32	-80	36.43	11.623	0.025	10.915	0.032	10.659	0.037	0
307	0.796847	38.870441	207.47	2.079167	13495283+0204456	207.470139	2.079339	9.6	13.052	0.034	0	12.24	0.035	0	11.553	0.046	0	0.7	45	0.64	35	18.91	12.927	0.041	12.15	0.041	11.492	0.046	0
308	0.159417	32.276676	97.606667	63.678056	06302561+6340411	97.60672	63.678093	9	12.887	0.026	1	12.22	0.032	1	11.816	0.044	1	0.9	-40	0.9	15	17.18	12.72	0.029	12.061	0.036	11.735	0.047	0
309	0.273152	50.326329	190.357083	-57.834444	12412572-5750038	190.357193	-57.834396	12.4	12.492	0.057	3	11.572	0.054	3	11.093	0.068	3	1	-70	0.74	-85	34.49	12.286	0.096	11.102	0.066	10.951	0.094	0
310	0.971844	148.339618	222.887917	-55.677222	14513316-5540388	222.888168	-55.677452	27.6	11.168	0.06	5	10.171	0.05	5	9.828	0.055	5	0.7	25	0.5	15	42.48	11.142	0.066	10.045	0.045	9.736	0.05	0
311	0.198624	104.345317	223.8225	-51.570833	14551742-5134150	223.822586	-51.570847	20.8	11.769	0.042	1	10.917	0.046	1	10.484	0.05	1	0.8	-60	0.8	-50	33.44	11.672	0.046	10.783	0.043	10.364	0.044	0
312	0.132828	61.792145	242.964167	-60.631944	16115141-6037549	242.964233	-60.631927	29.4	11.682	0.059	2	10.926	0.065	2	10.501	0.064	2	0.5	75	0.96	20	55.14	11.446	0.068	10.733	0.069	10.242	0.06	0
313	0.563594	158.619701	244.651667	-59.454722	16183642-5927175	244.651779	-59.454868	13.5	12.465	0.06	3	11.674	0.062	3	11.231	0.066	3	0.8	25	0.88	10	23.93	12.363	0.069	11.408	0.057	11.143	0.061	0
