|     cntr_01|	dist_x|	pang_x|	ra_01|	dec_01|	designation|	ra|	dec|	r_k20fe|	j_m_k20fe|	j_msig_k20fe|	j_flg_k20fe|	h_m_k20fe|	h_msig_k20fe|	h_flg_k20fe|	k_m_k20fe|	k_msig_k20fe|	k_flg_k20fe|	k_ba|	k_phi|	sup_ba|	sup_phi|	r_ext|	j_m_ext|	j_msig_ext|	h_m_ext|	h_msig_ext|	k_m_ext|	k_msig_ext|	cc_flg|
|         int|	double|	double|	double|	double|	char|	double|	double|	double|	double|	double|	int|	double|	double|	int|	double|	double|	int|	double|	int|	double|	int|	double|	double|	double|	double|	double|	double|	double|	char|
|            |	arcsec|	deg|	degree|	degree|	|	deg|	deg|	arcsec|	mag|	mag|	|	mag|	mag|	|	mag|	mag|	|	|	deg|	|	deg|	arcsec|	mag|	mag|	mag|	mag|	mag|	mag|	|
|        null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|
35	0.762877	74.957043	188.464167	-21.0625	12335145-2103448	188.464386	-21.062445	7.2	13.626	0.037	3	12.876	0.04	3	12.425	0.062	3	0.7	-50	0.88	-35	21.69	13.334	0.052	12.727	0.065	12.356	0.099	0
36	0.33924	85.130045	191.990833	-58.5	12475784-5829599	191.991013	-58.499992	9.9	12.967	0.059	3	12.138	0.055	3	11.724	0.068	3	0.6	-70	0.6	-85	19.22	12.933	0.075	12.004	0.061	11.677	0.072	0
37	0.416106	-45.357029	205.30375	-14.644722	13411287-1438407	205.303665	-14.644641	18.4	12.25	0.029	0	11.463	0.037	0	10.771	0.048	0	0.6	-50	0.6	-65	32.74	12.121	0.033	11.412	0.042	10.648	0.043	0
38	0.479479	68.312085	207.872917	-18.229722	13512953-1813468	207.873047	-18.229673	7.4	12.89	0.025	0	12.138	0.039	0	11.663	0.045	0	0.8	15	0.78	-10	14.56	12.719	0.028	11.944	0.04	11.57	0.044	0
39	0.807329	-68.736261	212.028333	-30.398333	14080674-3023537	212.028091	-30.398252	6.8	13.879	0.05	0	13.107	0.055	0	12.5	0.069	0	0.9	-40	0.94	-30	12.27	13.731	0.065	13.04	0.078	12.419	0.084	0
40	0.616604	109.676038	223.282917	25.909167	14530794+2554327	223.283096	25.909109	8.6	13.823	0.047	0	12.988	0.049	0	12.457	0.061	0	0.6	-15	0.7	-20	16.63	13.807	0.071	12.978	0.073	12.357	0.072	0
41	0.579074	33.081934	226.68375	3.862222	15064412+0351444	226.683838	3.862357	10.5	13.412	0.042	1	12.689	0.042	1	12.428	0.09	1	0.6	0	0.64	5	20.28	13.128	0.047	12.41	0.047	12.283	0.104	0
42	0.411636	-2.661731	227.999167	-21.317222	15115979-2119015	227.999161	-21.317108	12.2	12.271	0.023	1	11.434	0.026	3	10.678	0.026	3	0.9	-30	0.78	90	22.25	12.206	0.027	11.339	0.027	10.62	0.024	0
43	0.395442	-49.120631	236.60125	69.486111	15462424+6929102	236.601013	69.486183	12.9	12.775	0.027	0	12.022	0.032	0	11.739	0.053	0	0.4	85	0.36	85	29.3	12.665	0.036	11.776	0.039	11.673	0.062	0
44	0.829614	-74.537385	252.06375	-30.584444	16481523-3035037	252.063492	-30.584383	10.8	12.656	0.05	3	11.879	0.051	3	11.398	0.059	3	0.8	-55	0.72	-65	23.48	12.561	0.066	11.606	0.053	11.337	0.069	0
45	0.453534	-129.421226	284.2825	-78.4725	18570768-7828212	284.282013	-78.47258	14.5	12.397	0.038	0	11.536	0.052	0	10.896	0.05	0	0.8	-40	0.56	-45	31.75	12.079	0.044	11.329	0.059	10.88	0.058	0
46	0.307622	-12.087709	294.3875	-6.218056	19373299-0613046	294.387482	-6.217972	19.8	11.014	0.02	1	10.23	0.025	1	9.74	0.026	1	0.9	10	0.86	85	32.06	10.88	0.02	10.141	0.024	9.666	0.025	0
47	0.381064	-42.621352	294.518333	-51.163889	19380437-5109497	294.518219	-51.163811	12.3	13.271	0.063	0	12.563	0.085	0	12.023	0.086	0	0.8	-10	0.62	-10	36.45	12.762	0.093	12.103	0.126	11.633	0.118	0
48	0.842622	118.401332	300.232083	-18.174167	20005575-1810274	300.2323	-18.174278	12.1	12.302	0.024	0	11.243	0.024	0	10.272	0.022	0	0.8	0	0.68	0	25.73	12.177	0.03	11.111	0.026	10.245	0.025	0
49	0.463838	2.976563	302.5725	48.005833	20101740+4800214	302.57251	48.005962	15.9	12.762	0.043	3	11.993	0.053	3	11.477	0.06	3	0.6	40	0.52	55	28.06	12.6	0.049	11.883	0.059	11.332	0.056	0
50	0.427442	24.930877	304.66125	40.683333	20183871+4041003	304.661316	40.683441	18.6	13.004	0.108	3	11.492	0.076	3	10.709	0.074	3	0.8	40	0.74	50	30.72	12.988	0.15	11.402	0.081	10.594	0.065	0
51	0.637915	-64.840921	317.291667	-9.670833	21090996-0940147	317.291504	-9.670758	18.3	12.14	0.036	4	11.346	0.045	4	10.583	0.04	4	0.6	-65	0.68	-55	36.84	12.117	0.05	11.325	0.055	10.46	0.039	0
52	0.264925	-167.264856	323.975	47.472778	21355399+4728217	323.974976	47.472706	13.1	12.873	0.046	3	11.987	0.05	3	11.458	0.053	3	0.5	65	0.42	65	23.57	12.792	0.056	11.873	0.054	11.401	0.052	0
53	0.876419	-54.5439	351.841667	15.410278	23272195+1524375	351.841461	15.410419	13.9	12.334	0.028	0	11.594	0.033	0	11.096	0.054	0	0.8	-5	0.74	5	25.68	12.081	0.039	11.382	0.032	10.975	0.049	0
54	0.281077	-177.455153	42.6775	54.705	02504259+5442177	42.677494	54.704922	28.5	12.021	0.029	3	11.036	0.032	3	10.595	0.035	3	0.3	-35	0.28	-35	43.62	11.932	0.038	10.927	0.029	10.51	0.03	0
55	0.771416	-103.953203	64.58875	38.026667	04182123+3801358	64.588486	38.026615	10.3	13.805	0.069	0	12.573	0.061	0	11.65	0.05	0	0.9	85	0.8	20	30.82	13.633	0.142	12.54	0.129	11.383	0.066	0
